"";"Symbol";"Chromosome";"Description";"Cluster";"WT_00Hr_1";"WT_00Hr_2";"WT_00Hr_3";"WT_02Hr_1";"WT_02Hr_2";"WT_02Hr_3";"WT_04Hr_1";"WT_04Hr_2";"WT_04Hr_3";"WT_06Hr_1";"WT_06Hr_2";"WT_06Hr_3";"WT_08Hr_1";"WT_08Hr_2";"WT_08Hr_3";"WT_10Hr_1";"WT_10Hr_2";"WT_10Hr_3";"WT_12Hr_1";"WT_12Hr_2";"WT_12Hr_3";"WT_14Hr_1";"WT_14Hr_2";"WT_14Hr_3";"WT_16Hr_1";"WT_16Hr_2";"WT_16Hr_3";"WT_18Hr_1";"WT_18Hr_2";"WT_18Hr_3";"WT_20Hr_1";"WT_20Hr_2";"WT_20Hr_3";"WT_22Hr_1";"WT_22Hr_2";"WT_22Hr_3"
"225994";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=225994"" target=""_blank"">Nmrk1</a>";"19";"nicotinamide riboside kinase 1";"Cluster_4";-0,0111;-0,5374;0,5485;0,1751;-0,5906;0,0034;-0,2245;-0,7826;0,0531;-0,6391;-0,6391;0,26;0,051;-0,1474;0,1179;1,8409;0,8715;1,422;1,3309;1,2698;3,2496;1,8419;1,9728;2,3651;1,0822;2,0995;1,8937;1,3554;0,5092;2,0685;0,478;-0,006;1,2163;0,2981;0,2981;0,5849
"226418";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=226418"" target=""_blank"">Yod1</a>";"1";"YOD1 OTU deubiquitinating enzyme 1 homologue (S. cerevisiae)";"Cluster_4";0,3735;0,4448;-0,8183;-1,1529;-0,6216;-0,7261;-0,6839;-0,002;-1,0033;-0,9266;-0,1092;-0,9852;0,2957;-0,028;-0,113;1,5256;0,8609;0,3152;0,879;2,3023;2,5536;2,252;2,9157;0,7419;0,2341;0,4909;0,3545;0,3899;1,1651;-0,0601;-0,0351;0,2495;0,5915;-0,0566;0,332;0,084
"228357";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=228357"" target=""_blank"">Lrp4</a>";"2";"low density lipoprotein receptor-related protein 4";"Cluster_4";0,2568;-0,1844;-0,0724;-0,0626;0,0337;-0,3084;0,0079;-0,1997;-0,1187;0,1134;0,5216;-0,0117;1,3513;1,074;1,7611;1,8977;1,9881;2,0911;2,5127;1,1913;2,2712;2,1522;1,7081;1,9475;2,8582;2,4511;2,7821;2,0708;2,0465;2,115;1,7162;0,6391;1,5005;0,7117;1,6366;1,4202
"228859";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=228859"" target=""_blank"">Fitm2</a>";"2";"fat storage-inducing transmembrane protein 2";"Cluster_4";0,2113;0,3772;-0,5885;-0,2866;0,1981;-1,0954;1,5362;0,0382;0,5245;0,5381;-0,6804;0,5358;1,1408;-0,0197;-0,0529;1,5504;2,0411;0,8019;2,4311;0,0404;2,5274;2,1889;2,7644;1,0848;2,2197;1,5157;1,8821;1,3725;1,6744;0,9673;0,5245;-0,0361;-0,2866;0,5934;0,2692;-0,2402
"229599";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=229599"" target=""_blank"">Ciart</a>";"3";"circadian associated repressor of transcription";"Cluster_4";-0,0556;-0,0039;0,0595;-0,0449;0,0474;-0,0417;-0,0119;-0,0561;0,1055;0,1955;0,0382;0,2027;1,5279;1,5849;1,4562;2,6995;2,1259;2,1518;2,5207;1,7248;2,8623;2,3253;2,2761;2,813;0,9016;1,384;1,3405;0,9837;0,5822;0,5844;0,2081;0,2982;0,4926;-0,0042;0,048;0,1408
"231691";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=231691"" target=""_blank"">Sds</a>";"5";"serine dehydratase";"Cluster_4";-0,0266;-0,2025;0,2291;-0,2935;0,2726;0,2188;0,4949;-0,4125;-0,3215;0,2653;0,2329;-0,0817;0,1047;1,0597;-0,0109;2,199;1,4485;1,0902;1,3315;2,2085;2,8489;2,1167;1,5842;2,1371;0,7447;1,7469;0,9265;0,0045;-0,2976;-0,0736;-0,3155;2,9616;1,0566;0,2749;-0,017;-0,853
"232087";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=232087"" target=""_blank"">Mat2a</a>";"6";"methionine adenosyltransferase II, alpha";"Cluster_4";0,209;-0,4512;0,2422;-0,4075;-1,2398;-0,1282;-0,3052;0,1204;-0,1725;-0,1829;-0,3315;1,8787;1,2164;0,2741;1,5447;0,5564;0,6332;2,0924;1,0192;2,7811;2,246;2,3156;1,0865;2,3224;1,2992;2,1003;1,6993;0,773;1,5522;1,7876;-0,1343;0,93;0,4738;-0,2737;0,2968;0,591
"232493";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=232493"" target=""_blank"">Gys2</a>";"6";"glycogen synthase 2";"Cluster_4";-0,0386;-0,2284;0,267;0,1158;0,1202;-0,0657;-0,104;-0,3969;-0,6529;0,3278;0,7353;-0,1058;1,4961;1,4232;0,7344;2,8441;1,6472;0,9387;3,0035;0,8142;1,5954;2,9522;2,3916;1,3379;1,9621;2,6085;1,6714;1,3648;1,9583;1,7094;1,1418;0,2979;0,69;0,4227;0,6828;0,3743
"321022";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=321022"" target=""_blank"">Cdv3</a>";"9";"carnitine deficiency-associated gene expressed in ventricle 3";"Cluster_4";-0,2378;0,4085;-0,1707;-0,2152;1,2116;-0,1144;-0,7674;-0,259;-0,8133;-0,6321;0,0808;-1,4244;0,6894;0,097;1,2103;1,3634;1,1503;1,6879;0,9668;0,1207;2,7824;2,214;1,1089;2,0734;1,522;0,9425;1,7313;0,2728;0,7652;2,4258;0,2661;1,6933;1,6574;0,0584;0,4733;-0,1112
"432720";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=432720"" target=""_blank"">Akr1c19</a>";"13";"aldo-keto reductase family 1, member C19";"Cluster_4";-0,3907;0,5148;-0,124;-0,0707;-1,6277;0,1134;-1,1575;-1,207;-1,8147;-0,4091;-1,2987;0,6332;-0,578;-0,1859;0,323;1,3907;0,1989;1,1926;1,9454;-1,4749;1,291;1,5641;1,6917;1,7907;0,7106;0,6195;1,3907;0,7716;0,97;0,1989;-0,0707;0,7106;0,3951;-0,0596;-0,3393;0,0922
"13198";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=13198"" target=""_blank"">Ddit3</a>";"10";"DNA-damage inducible transcript 3";"Cluster_5";0,4167;0,8012;-1,2179;-1,3282;-1,5975;-2,0582;-2,6738;-2,3323;-2,3069;-2,3202;-2,4105;-1,9814;-2,426;-1,5578;-2,0832;-2,7053;-1,9005;-1,6489;-2,467;-2,2449;-2,1647;0,742;0,275;-0,5352;-0,6604;-1,4633;0,4705;-1,9873;-0,9326;-1,1362;-1,7069;-1,5396;-0,8897;-2,5665;-1,6829;-2,1329
"15547";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=15547"" target=""_blank"">Trmt2a</a>";"16";"TRM2 tRNA methyltransferase 2A";"Cluster_5";-0,4063;0,2229;0,1834;-0,6423;-0,9481;-2,6475;-1,262;-2,4249;-0,3167;-2,0863;-1,7403;0,5132;-1,7502;-2,5816;-1,7732;-0,621;-2,477;-1,3231;-1,8949;-1,8902;-0,7106;0,0679;-0,0919;1,3264;-0,4598;0,2595;0,2823;-1,3799;-0,827;-0,576;-1,9547;-2,2731;-1,8665;-1,1606;-1,0021;-0,8453
"27362";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=27362"" target=""_blank"">Dnajb9</a>";"12";"DnaJ (Hsp40) homolog, subfamily B, member 9";"Cluster_5";0,2462;-0,2049;-0,0413;0,2592;-0,0574;-1,9773;-2,526;-1,6171;-2,531;-2,9061;-2,9242;-1,5342;-2,5446;-2,0852;-1,6313;-2,0234;-1,2538;-0,6444;-1,7438;-0,4739;-1,0886;0,2845;-0,7223;-0,5036;-0,4237;-2,0361;-0,1911;-1,5461;-1,187;-2,0375;-2,4131;-2,9049;-2,5957;-2,1349;-1,3093;-2,0216
"30877";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=30877"" target=""_blank"">Gnl3</a>";"14";"guanine nucleotide binding protein-like 3 (nucleolar)";"Cluster_5";0,6601;-0,3869;-0,2732;0,1695;-0,9355;-1,4362;-0,0398;-1,3085;-0,1571;-1,3697;-1,6526;0,7166;0,1417;0,2047;0,319;0,9907;-0,0742;0,4511;0,3731;0,013;1,7553;1,7533;1,6351;2,3275;-0,7345;-0,5103;0,1585;-1,0825;-1,0806;-0,7623;-1,9856;-0,7922;-0,7956;0,2892;-0,3593;-0,2537
"54399";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=54399"" target=""_blank"">Bet1l</a>";"7";"blocked early in transport 1 homolog (S. cerevisiae)-like";"Cluster_5";-0,0751;0,9714;-0,8963;-1,6166;-1,852;-1,443;-1,6522;-2,2045;-1,0324;-2,4634;-1,9675;0,583;-1,8961;-2,1055;-1,9209;-0,7977;-0,9802;-1,0047;-2,2647;-1,7351;-0,3456;0,3976;1,1613;1,0477;-0,8818;-1,2421;-0,6669;-1,2663;-0,8612;-1,4326;-1,9744;-2,8489;-1,2693;-0,7882;-1,7543;-1,5017
"56737";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=56737"" target=""_blank"">Alg2</a>";"4";"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)";"Cluster_5";-0,1306;0,3439;-0,2133;0,535;-0,9493;-1,4496;-2,4041;-2,6105;-2,1456;-3,2754;-3,4435;-0,2264;-1,6663;-1,8137;-2,1081;-1,447;-1,7583;-1,4167;-1,0503;-2,1634;-1,5395;-0,3809;-0,7092;-0,666;-0,5723;-2,1634;-0,8404;-1,8101;-1,7121;-3,0602;-2,0052;-2,902;-2,6698;-1,0315;-2,1252;-0,9432
"66409";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=66409"" target=""_blank"">Rsl1d1</a>";"16";"ribosomal L1 domain containing 1";"Cluster_5";-0,7209;0,651;0,0699;-0,0786;-1,8453;0,1187;-0,3344;-1,6642;-0,8555;-2,0291;-1,799;0,8564;-0,7996;-0,7932;-0,1642;0,0513;-0,8063;-0,9087;0,323;-1,2234;0,104;0,9299;2,0935;2,072;-0,4095;0,0644;0,3986;-0,9124;-0,944;-1,5938;-1,5491;-1,088;-1,1981;-1,3121;-1,0114;-0,963
"66583";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=66583"" target=""_blank"">Exosc1</a>";"19";"exosome component 1";"Cluster_5";-0,2508;-0,0656;0,3164;-1,2283;-1,0066;-1,8383;-1,2882;-2,5475;-1,3827;-2,8692;-2,61;-1,3861;-2,9326;-2,1479;-2,3486;-1,714;-2,0551;-2,3779;-1,9651;-1,5226;-0,8253;-0,0065;0,5049;1,0197;-1,2156;0,0418;-1,0245;-1,5712;-0,3092;-1,2511;-2,1455;-1,1025;-1,7108;-2,5031;-0,3756;-1,0738
"67619";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=67619"" target=""_blank"">Nob1</a>";"8";"NIN1/RPN12 binding protein 1 homolog (S. cerevisiae)";"Cluster_5";0,9482;0,148;-1,0962;-0,3745;0,484;-0,5992;0,2438;-1,1105;-0,7671;-1,753;-1,1305;-0,6531;-1,2035;-1,3132;-1,1105;0,4384;0,1294;-1,1595;-0,5996;0,0385;1,3985;2,1774;1,724;2,3907;0,6714;1,0108;0,3165;0,0712;0,0166;0,0625;-0,5597;0,2245;0,2095;1,323;0,247;0,0185
"67832";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=67832"" target=""_blank"">Brix1</a>";"15";"BRX1, biogenesis of ribosomes, homolog (S. cerevisiae)";"Cluster_5";0,087;-0,346;0,2591;0,3448;-0,8109;-0,7082;-0,3187;-1,1573;-0,7083;-1,4595;-1,4493;0,7843;-0,9233;-0,1099;-0,0089;-0,2394;-0,7502;-0,8485;-1,2318;-0,3538;0,9604;1,0781;1,1379;1,7924;-2,5236;-1,5206;-0,7695;-1,8505;-1,5969;-1,3548;-2,3294;-2,0499;-0,9955;-1,3894;-0,3289;-0,6318
"67846";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=67846"" target=""_blank"">Tmem39a</a>";"16";"transmembrane protein 39a";"Cluster_5";-0,182;0,7325;-0,5505;-0,2325;-1,8446;-2,0147;-2,2676;-2,8488;-2,0221;-2,9833;-3,4706;-0,4322;-2,4252;-2,9063;-2,5797;-2,3105;-1,5717;-1,537;-2,535;-1,6514;-1,7996;-0,9281;-0,2821;-0,6929;-1,7085;-2,2091;-1,6033;-2,5761;-1,5822;-2,6534;-2,7056;-3,6837;-2,7983;-1,9321;-2,0761;-1,5969
"67920";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=67920"" target=""_blank"">Mak16</a>";"8";"MAK16 homolog (S. cerevisiae)";"Cluster_5";0,5644;-0,1311;-0,4333;-1,0692;-1,3021;-1,0355;-1,4916;-1,7871;-1,9288;-2,0883;-2,0577;0,2252;-1,8098;-1,4652;-0,9497;-0,3411;-0,5628;-1,2319;-1,0711;-0,0039;1,2815;1,7097;0,9368;1,635;-0,7718;-0,1276;-0,6409;-1,0228;-1,0851;-0,9647;-2,1406;-1,3755;-0,647;-0,4297;-0,1483;-0,9969
"68147";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=68147"" target=""_blank"">Gar1</a>";"3";"GAR1 ribonucleoprotein homolog (yeast)";"Cluster_5";0,6793;-0,3782;-0,3011;-0,5214;-0,949;-1,8014;-0,0076;-2,0728;-1,4369;-2,1884;-2,1513;-0,4308;-2,0057;-1,7141;-1,9674;-1,669;-1,9567;-2,1287;-1,5921;-0,3782;0,1252;0,9657;0,4239;1,0125;-1,2367;0,8984;-0,8801;-0,7738;-1,0025;-1,6362;-1,6775;-0,0548;-2,2853;-0,2403;-0,2598;-0,6232
"69237";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=69237"" target=""_blank"">Gtpbp4</a>";"13";"GTP binding protein 4";"Cluster_5";0,5665;-0,5105;-0,056;-1,0849;-1,3478;-1,2156;-0,8021;-1,7304;-1,4853;-2,2507;-2,7153;0,2803;-1,8131;-1,5797;-0,9077;0,0312;-1,1273;-0,5172;-0,7794;-1,0523;1,3666;1,2817;1,0077;1,8002;-0,3731;0,1022;-0,722;0,0756;-0,944;-0,6109;-1,1237;-1,2919;-1,2104;-0,0179;-0,786;-0,0976
"70333";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=70333"" target=""_blank"">Cd3eap</a>";"7";"CD3E antigen, epsilon polypeptide associated protein";"Cluster_5";-0,1251;0,2426;-0,1175;-0,2708;0,1498;-0,1025;0,4969;-0,3721;-0,3705;-0,2455;0,2193;1,3247;-0,0245;0,4641;1,1062;0,4927;0,6426;-0,1597;0,2204;0,9528;2,2318;2,5276;2,6294;3,8314;0,2084;0,7684;0,7994;0,2686;0,447;0,2943;-0,895;1,429;-0,3118;1,6163;0,067;-0,4908
"70369";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=70369"" target=""_blank"">Bag5</a>";"12";"BCL2-associated athanogene 5";"Cluster_5";-0,2125;0,6899;-0,4773;-1,154;-1,3477;-1,9014;-0,4938;-1,2783;-1,0743;-1,9379;-2,0604;0,1207;-0,8701;-1,3514;-0,3185;-0,3377;0,0548;-0,9453;-0,8831;-1,1344;0,9662;0,8765;1,8311;2,0608;-0,2332;-0,7151;-0,0339;-1,0762;-0,3104;-1,0018;-2,0446;-1,6338;-1,0975;-0,5185;-0,3104;-1,9126
"75678";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=75678"" target=""_blank"">Ippk</a>";"13";"inositol 1,3,4,5,6-pentakisphosphate 2-kinase";"Cluster_5";0,2606;0,4588;-0,7194;0,8312;-0,4045;-1,4118;-1,196;-1,7489;-0,9358;-1,4392;-0,6945;-0,3391;-1,1021;-1,2251;-0,7299;0,1273;-0,9005;-1,0813;0,8674;-1,1818;0,3083;2,5012;1,9001;1,8973;0,1273;-0,951;0,1352;-0,4553;0,9701;-0,028;-1,0529;0,472;-0,6945;-0,1767;-0,5595;-0,4089
"193740";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=193740"" target=""_blank"">Hspa1a</a>";"17";"heat shock protein 1A";"Cluster_5";-0,7447;1,3726;-0,6279;-0,2411;-1,6604;-0,3848;-1,5303;-0,8317;-0,9273;-0,8358;-1,723;-1,099;-1,4865;-0,4914;-1,2377;-0,9315;-1,1945;-1,0189;-1,1484;-0,9852;-1,0966;1,3201;0,6346;2,6138;-1,4556;-0,2733;1,3497;-1,2527;0,2015;0,6282;-0,5256;-1,1377;-1,3858;-1,1223;-0,6445;-1,4456
"217431";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=217431"" target=""_blank"">Nol10</a>";"12";"nucleolar protein 10";"Cluster_5";-0,3243;0,3866;-0,0623;-0,1967;-1,1586;-1,714;-0,8686;-2,3049;-0,4018;-2,1278;-2,0339;-0,5273;-2,1343;-2,1377;-1,9301;-0,2745;-0,5338;-0,5988;-1,1216;-1,2006;-0,4126;1,2606;1,4434;1,7891;-0,1783;-0,8893;0,1771;-0,8048;-1,0804;-1,0843;-1,5691;-1,5533;-1,4759;-0,0605;-0,3533;-0,1783
"230734";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=230734"" target=""_blank"">Yrdc</a>";"4";"yrdC domain containing (E.coli)";"Cluster_5";0,0537;0,7646;-0,8183;0,8323;-0,7918;-1,2161;-1,2518;-1,1439;-1,4211;-1,4315;-2,4493;0,3244;-0,3935;-0,0954;-0,7909;0,3138;0,1733;0,0362;0,9701;0,3053;1,0658;1,0353;0,7679;1,2549;-0,8727;0,4694;-0,3506;-1,5046;-0,3858;-1,188;-1,709;-2,2862;-1,4413;0,2846;-0,5613;-1,4907
"328162";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=328162"" target=""_blank"">Trmt61a</a>";"12";"tRNA methyltransferase 61A";"Cluster_5";0,3043;0,0059;-0,3103;-1,0058;-1,0556;-1,3068;-0,9988;-2,6282;-0,5564;-2,6493;-1,7413;-0,1146;-1,7143;-2,154;-1,8909;0,1524;-1,2532;-1,2861;-1,279;-1,1847;0,7138;1,1724;0,81;1,5103;-0,3719;0,5108;-0,4074;-0,1615;-0,6726;-0,4556;-1,2949;-1,2345;-1,7697;0,0865;-0,958;-0,4815
"100034361";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=100034361"" target=""_blank"">Mfap1b</a>";"2";"microfibrillar-associated protein 1B";"Cluster_5";1,0866;-0,8082;-0,2784;-0,7929;-0,8364;-0,8523;-0,5457;-0,2629;-1,7642;-1,1526;-0,2293;0,5984;-0,7681;-0,3484;0,5153;-0,4716;0,7332;1,0758;-0,835;0,8985;0,5947;2,695;1,7057;2,2461;-0,31;-1,4828;0,2724;-0,2255;-0,8645;-0,6846;-1,3912;0,1822;-0,0083;-0,2985;0,5254;-0,0809
"11938";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=11938"" target=""_blank"">Atp2a2</a>";"5";"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2";"Cluster_6";-0,4889;0,2658;0,2231;-0,2509;-0,0385;-1,4823;-1,8112;-1,8888;-0,2977;-2,4519;-1,9703;-1,7129;-2,9826;-3,1366;-2,7488;-2,5909;-2,7841;-2,0421;-2,8967;-2,2688;-1,4167;-1,2866;-1,387;-1,0232;-0,7767;-1,2149;0,2976;-1,1086;-0,4363;0,2101;-1,3595;-0,6782;-1,0276;-2,1793;-1,2143;-1,2792
"12282";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=12282"" target=""_blank"">Hyou1</a>";"9";"hypoxia up-regulated 1";"Cluster_6";-0,524;1,325;-0,801;0,4868;1,9574;-0,0945;-0,234;0,1237;1,0475;-0,5875;1,4383;-1,2565;-1,2328;-0,6411;-1,6343;-1,2506;-1,2788;-1,4733;-1,6606;-0,991;-1,4067;-0,5291;-0,2828;0,1536;0,959;0,8086;0,7402;0,361;0,5483;1,0104;0,6773;1,428;0,1941;0,3408;-0,3009;-1,0317
"13667";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=13667"" target=""_blank"">Eif2b4</a>";"5";"eukaryotic translation initiation factor 2B, subunit 4 delta";"Cluster_6";-0,6033;1,1534;-0,5501;0,3417;0,2503;-0,0888;-0,5432;-2,2086;0,2973;-1,3811;-1,1781;0,3485;-1,6598;-2,0721;-2,8483;-0,7261;-1,437;-1,8426;-1,1245;-1,688;-1,1132;-0,3111;-0,256;-0,1091;1,3536;0,5856;-0,6621;-0,1424;1,9006;-0,5501;-0,8015;-0,6737;-1,1479;-0,6678;-0,5821;-0,5569
"15481";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=15481"" target=""_blank"">Hspa8</a>";"9";"heat shock protein 8";"Cluster_6";0,1091;0,0618;-0,1709;0,2817;1,0286;-0,0667;0,1091;-0,5101;0,2817;-1,1712;-0,158;-0,7424;-0,6596;-0,4243;-1,434;0,0076;-0,4636;-0,779;0,4149;-0,0088;-0,2722;1,4125;1,0791;0,5635;1,2929;1,9163;1,6343;-0,0999;1,7325;1,4307;-1,2512;-2,0033;0,1457;-1,8443;-0,9423;-1,1604
"15903";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=15903"" target=""_blank"">Id3</a>";"4";"inhibitor of DNA binding 3";"Cluster_6";-0,1835;1,4805;-1,297;-1,4522;-0,3731;-1,6425;-0,8464;-0,8982;-1,37;-1,514;-2,1799;-1,8981;-1,3585;-0,623;-1,475;-1,951;-1,7268;-1,4936;-1,2881;-1,0437;-1,9797;-1,2361;0,0518;-0,6662;2,654;0,4435;-0,2107;0,5627;-0,4251;-0,3908;-1,0079;-1,9413;-0,6428;-1,1709;-1,3502;-1,304
"20333";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=20333"" target=""_blank"">Sec22b</a>";"3";"SEC22 vesicle trafficking protein homolog B (S. cerevisiae)";"Cluster_6";-0,7206;0,7535;-0,0329;0,7202;0,4291;-0,0278;0,2707;-0,0695;0,5712;-1,0194;0,0489;-0,6052;-1,9882;-2,0569;-2,1747;-1,9321;-2,8596;-2,0025;-1,7962;-1,1435;-1,1484;-1,0373;-0,3401;-0,1739;0,2143;0,5252;0,6172;0,1953;0,9201;0,2618;-0,6405;-1,7239;-1,005;-1,0416;-0,9458;-0,4954
"20641";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=20641"" target=""_blank"">Snrpd1</a>";"18";"small nuclear ribonucleoprotein D1";"Cluster_6";-0,4659;0,5717;-0,1058;-0,1302;-0,0433;-0,4377;-0,0407;-0,9855;-0,9343;-2,2175;-0,8895;-1,015;-1,6668;-0,6378;-1,6583;-1,6904;-1,5808;-2,074;-2,0178;-0,9038;-1,6967;-0,1403;0,508;0,1208;-1,074;2,5253;0,8184;-1,6516;0,5515;-0,3905;-0,4058;0,1269;-0,8269;-0,7163;0,7064;0,2678
"20867";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=20867"" target=""_blank"">Stip1</a>";"19";"stress-induced phosphoprotein 1";"Cluster_6";-0,2316;0,1084;0,1232;-0,0148;0,7921;0,3888;-0,0104;-0,2573;0,9731;-0,6218;0,2744;-1,4028;-1,1152;-1,1462;-1,5193;-1,3013;-1,2007;-1,6008;-1,1994;-1,3838;-0,9925;0,0665;0,1102;-0,0552;1,4723;1,4924;0,6819;0,5841;1,7334;1,578;1,1083;1,783;0,7018;0,4121;-0,1061;-0,0188
"21787";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=21787"" target=""_blank"">Tfg</a>";"16";"Trk-fused gene";"Cluster_6";-0,7625;0,99;-0,2275;0,3941;0,2938;-0,3304;-0,9676;-0,9834;-0,7162;-2,2056;-1,298;-1,3074;-2,3105;-2,2056;-2,4847;-2,0977;-2,1077;-1,96;-0,8234;-2,4689;-1,6084;-1,5521;-0,7067;-0,9179;-0,8234;-0,5663;-0,5414;-0,3144;1,2726;-0,912;-1,447;-3,2474;-2,3838;-1,0738;-1,6084;-0,9962
"52004";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=52004"" target=""_blank"">Cdk2ap2</a>";"19";"CDK2-associated protein 2";"Cluster_6";0,0774;0,6208;-0,6982;0,7267;1,0146;-0,49;0,3206;-0,4922;-0,0538;-1,1428;0,0524;-1,3588;-1,3414;-1,7202;-1,8713;-1,6226;-1,6576;-2,0483;-1,0153;-3,0812;-1,5134;-0,7313;-0,3155;-1,2911;0,5527;0,9874;0,0824;-0,3282;1,7504;-0,5333;-0,254;-0,0309;-0,7114;-0,9616;-1,0064;-0,9562
"54369";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=54369"" target=""_blank"">Nme6</a>";"9";"NME/NM23 nucleoside diphosphate kinase 6";"Cluster_6";-0,8704;1,3638;-0,4934;1,2307;1,1382;-0,3604;0,0441;0,0731;0,1596;-1,3753;-0,0495;-1,1362;-0,5919;-0,8484;-2,0785;-1,3292;-1,1019;-1,4678;-0,5157;-2,4314;-0,9563;-0,3611;0,1773;-0,179;0,8149;0,9334;-0,0723;0,3355;1,7412;-0,8135;-0,4852;-1,1936;-2,0891;-1,1333;-1,1799;-1,2416
"56041";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=56041"" target=""_blank"">Uso1</a>";"5";"USO1 vesicle docking factor";"Cluster_6";0,1357;0,3615;-0,4972;1,3751;0,4089;-0,5344;0,1087;-0,6493;-0,8643;-0,8804;0,9631;-0,8618;-1,428;-1,3085;-1,537;-1,4455;-2,2238;-1,2248;0,0641;-1,6001;-0,6022;1,1105;-0,3382;-0,0265;0,5458;0,6826;0,3709;0,9797;1,6904;-0,1841;0,1296;-0,9744;-1,4984;-1,9716;-1,5677;-1,0592
"56455";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=56455"" target=""_blank"">Dynll1</a>";"5";"dynein light chain LC8-type 1";"Cluster_6";-0,0271;0,6987;-0,6716;-0,5494;0,272;-0,129;0,2376;-1,3511;1,2376;-1,5449;-0,2668;-1,3577;-1,4943;-1,3939;-2,5725;-1,7241;-1,3454;-1,9593;-1,9933;-0,1525;-1,9389;-1,0444;0,2331;0,1259;0,7193;1,3187;0,2786;-0,0552;1,0145;0,1841;0,0227;-0,981;-0,4954;-0,4091;0,5503;0,1524
"57267";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=57267"" target=""_blank"">Apba3</a>";"10";"amyloid beta (A4) precursor protein-binding, family A, member 3";"Cluster_6";-0,4674;1,2336;-0,7661;0,0315;-0,5214;-0,1603;-1,1609;-0,9481;-0,0871;-1,4498;-1,0206;-0,9012;-1,9166;-1,4862;-1,9675;-2,0925;-1,3778;-2,3244;-1,1833;-1,6462;-1,2308;-0,3729;0,0927;-0,6011;0,409;1,7595;0,5727;0,2285;0,9576;0,9932;-0,2079;0,5214;0,6832;-0,7661;-0,9541;-0,924
"57377";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=57377"" target=""_blank"">Mogs</a>";"6";"mannosyl-oligosaccharide glucosidase";"Cluster_6";-0,6884;0,7444;-0,056;0,3558;1,1406;-1,3835;-0,649;-0,0887;-0,0711;-0,0652;-0,5573;-1,7594;-1,7317;-1,2873;-1,7618;-2,904;-1,9712;-1,5058;-1,6767;-1,4654;-1,9596;-0,9955;-1,3161;-0,3736;1,3824;0,6528;-0,0272;-0,0682;-0,2575;0,5221;0,532;-1,2263;-1,5516;0,1512;-0,6803;-0,5902
