"";"Symbol";"Chromosome";"Description";"Cluster";"Mean_WT_00Hr";"Mean_WT_02Hr";"Mean_WT_04Hr";"Mean_WT_06Hr";"Mean_WT_08Hr";"Mean_WT_10Hr";"Mean_WT_12Hr";"Mean_WT_14Hr";"Mean_WT_16Hr";"Mean_WT_18Hr";"Mean_WT_20Hr";"Mean_WT_22Hr";"Min";"Max";"Range";"pANOVA";"FDR"
"74450";"Pank2";"2";"pantothenate kinase 2";"Cluster_3";7,4283;7,4139;7,3729;7,4642;7,4874;7,5118;7,5396;7,5088;7,2862;7,3719;7,2711;7,3322;7,2542;7,6886;0,4344;0,0017;0,0075
"74769";"Pik3cb";"9";"phosphatidylinositol 3-kinase, catalytic, beta polypeptide";"Cluster_3";7,5046;7,4318;7,4743;7,5901;7,6215;7,6287;7,7153;7,6038;7,4843;7,5236;7,5029;7,4167;7,32;7,767;0,447;0,0097;0,031
"75613";"Med25";"7";"mediator complex subunit 25";"Cluster_3";8,5555;8,4381;8,4575;8,7018;8,6455;8,7219;8,7843;8,5362;8,4716;8,5514;8,4222;8,4937;8,3347;9,0294;0,6947;0,0091;0,029
"75735";"Pank1";"19";"pantothenate kinase 1";"Cluster_3";8,9138;8,9149;8,9627;9,0684;9,1525;9,2491;9,1341;9,0444;8,8128;8,8348;8,8718;8,9418;8,7124;9,3375;0,6251;0,00022;0,0014
"78610";"Uvrag";"7";"UV radiation resistance associated gene";"Cluster_3";7,9966;8,0147;8,0237;8,119;8,2302;8,3801;8,4272;8,1206;8,0458;8,0914;8,0997;7,9844;7,852;8,601;0,749;0,00036;0,0021
"78938";"Fbxo34";"14";"F-box protein 34";"Cluster_3";7,3667;7,4444;7,4066;7,4486;7,6066;7,6875;7,487;7,5044;7,4118;7,4535;7,4509;7,3923;7,3155;7,7709;0,4554;4,4e-05;0,00041
"99138";"Stard7";"2";"START domain containing 7";"Cluster_3";8,1369;8,1225;8,1255;8,2249;8,3248;8,2995;8,2462;8,2818;8,0263;8,0524;8,0914;8,1483;7,9756;8,4254;0,4497;0,0015;0,0068
"100737";"Dcun1d4";"5";"DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae)";"Cluster_3";7,6876;7,6931;7,7029;7,872;8,0184;7,9994;7,9178;7,8237;7,6923;7,6566;7,5098;7,5172;7,3752;8,1568;0,7816;0,00036;0,0021
"102032";"Smim19";"8";"small integral membrane protein 19";"Cluster_3";8,7789;8,6763;8,7813;8,9144;8,9672;8,9988;9,1189;8,7556;8,6313;8,5294;8,5659;8,6666;8,4515;9,238;0,7865;1,6e-06;2,9e-05
"102462";"Imp3";"9";"IMP3, U3 small nucleolar ribonucleoprotein, homolog (yeast)";"Cluster_3";9,6204;9,6341;9,6764;9,7476;9,8861;9,8519;9,876;9,9266;9,6739;9,6427;9,6156;9,7198;9,43;9,9745;0,5445;0,0042;0,016
"107569";"Nt5c3";"6";"5'-nucleotidase, cytosolic III";"Cluster_3";7,9917;8,0013;8,0718;8,1908;8,4308;8,3007;8,1652;8,1515;7,971;7,9599;7,955;7,97;7,7513;8,5727;0,8214;0,0042;0,016
"109711";"Actn1";"12";"actinin, alpha 1";"Cluster_3";7,8199;7,8364;7,99;8,1131;8,1884;8,232;8,2503;8,1625;7,9229;7,7971;7,6252;7,8569;7,3969;8,3866;0,9896;6,4e-06;9e-05
"116701";"Fgfrl1";"5";"fibroblast growth factor receptor-like 1";"Cluster_3";7,0881;7,0777;7,0731;7,2659;7,6195;7,5417;7,4196;7,2685;7,0881;7,0873;7,1201;7,0948;6,9542;7,7652;0,811;0,00023;0,0015
"208263";"Tor1aip1";"1";"torsin A interacting protein 1";"Cluster_3";7,7014;7,634;7,7715;7,8327;7,9571;7,949;8,0005;7,8906;7,4724;7,5076;7,5857;7,607;7,4017;8,044;0,6423;1,4e-06;2,6e-05
"223920";"Soat2";"15";"sterol O-acyltransferase 2";"Cluster_3";7,6691;7,7717;7,8712;7,9322;8,0673;8,0595;7,9234;7,9051;7,8487;7,6165;7,518;7,5687;7,3563;8,1014;0,7451;3,7e-06;5,8e-05
"226976";"Kansl3";"1";"KAT8 regulatory NSL complex subunit 3";"Cluster_3";7,7526;7,7993;7,7916;8,0082;7,9949;8,0876;7,9988;7,8964;7,7038;7,8513;7,9315;7,6973;7,628;8,2534;0,6254;0,0027;0,011
"228730";"Kiz";"2";"kizuna centrosomal protein";"Cluster_3";7,1128;7,0754;7,1085;7,1237;7,2423;7,2123;7,3896;7,2438;7,1112;7,0767;7,1143;7,0404;6,9893;7,4375;0,4482;9,9e-07;2e-05
"230789";"Fam76a";"4";"family with sequence similarity 76, member A";"Cluster_3";7,0546;7,0018;7,0325;7,1176;7,2775;7,3035;7,3727;7,1686;7,0712;7,0802;7,1568;7,0727;6,9093;7,5794;0,6701;0,0066;0,022
"268534";"Sntg2";"12";"syntrophin, gamma 2";"Cluster_3";6,8479;6,862;7,007;6,9085;6,9883;6,9877;7,0638;6,9432;6,8128;6,827;6,7942;6,8576;6,7228;7,1319;0,4091;0,00029;0,0018
"319876";"Cobll1";"2";"Cobl-like 1";"Cluster_3";7,2795;7,2752;7,2427;7,3493;7,5994;7,6393;7,7013;7,5311;7,2337;7,2616;7,2909;7,3066;7,1389;7,7568;0,6179;2,3e-06;3,9e-05
"353187";"Nr1d2";"14";"nuclear receptor subfamily 1, group D, member 2";"Cluster_3";6,6985;6,764;6,9407;7,0403;7,2403;7,312;7,209;7,03;6,9017;6,869;6,8141;6,7378;6,6915;7,4184;0,7269;8,8e-09;4,3e-07
"432442";"Akap7";"10";"A kinase (PRKA) anchor protein 7";"Cluster_3";7,2976;7,3057;7,4371;7,3989;7,5242;7,5822;7,6719;7,5234;7,4018;7,3721;7,2811;7,292;7,1769;7,6952;0,5183;3,5e-05;0,00034
"545056";"Gm5801";"14";"ubiquitin-conjugating enzyme E2, J2 homolog pseudogene";"Cluster_3";8,937;8,8073;8,8376;8,8331;9,0621;9,043;8,9723;9,119;8,7952;8,8092;8,7402;8,8042;8,5275;9,1953;0,6678;0,0051;0,018
"11655";"Alas1";"9";"aminolevulinic acid synthase 1";"Cluster_4";12,057;11,1888;11,3895;11,2234;11,5896;13,1017;13,4529;13,6354;13,3119;12,9469;12,3489;11,89;10,0971;13,7816;3,6845;8,6e-05;7e-04
"14245";"Lpin1";"12";"lipin 1";"Cluster_4";7,0063;7,3482;7,0216;7,3054;7,7283;9,0061;9,2819;9,8089;8,5329;8,1461;7,7542;7,3401;6,9109;10,2593;3,3484;5,6e-07;1,3e-05
"76654";"Upp2";"2";"uridine phosphorylase 2";"Cluster_4";8,6682;8,7711;8,2396;9,0022;10,1548;10,5447;10,4612;10,7182;9,7617;9,4104;9,3437;8,9177;8,0649;10,9554;2,8905;2e-09;1,3e-07
"12608";"Cebpb";"2";"CCAAT/enhancer binding protein (C/EBP), beta";"Cluster_4";9,2511;9,5788;9,6731;9,6663;10,0566;10,518;10,998;10,3631;10,2537;9,9977;10,1176;9,5959;8,9964;11,4726;2,4762;2,2e-07;6,4e-06
"12457";"Ccrn4l";"3";"CCR4 carbon catabolite repression 4-like (S. cerevisiae)";"Cluster_4";7,2713;6,9758;6,7873;6,8273;7,0111;8,1896;8,1253;8,5703;8,0968;7,9037;7,6199;7,2677;6,7154;8,6572;1,9418;8,1e-10;7,7e-08
"231691";"Sds";"5";"serine dehydratase";"Cluster_4";9,1952;9,2288;9,1547;9,2658;9,3908;9,9986;10,2786;10,1852;9,7748;9,133;9,8231;9,0943;8,7613;10,7018;1,9405;0,00034;0,002
"67876";"Coq10b";"1";"coenzyme Q10 homolog B (S. cerevisiae)";"Cluster_4";7,5014;7,3867;7,1051;7,2257;7,9599;8,7058;8,8656;8,7497;7,9797;7,7202;7,5228;7,4206;7,0171;8,9505;1,9334;9,5e-15;8,1e-12
"64209";"Herpud1";"8";"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1";"Cluster_4";12,1202;12,0764;11,4796;11,7666;12,2018;12,3912;12,3733;12,8504;12,3551;12,1867;11,8676;11,4479;11,0748;12,9249;1,8501;1,7e-05;2e-04
"22329";"Vcam1";"3";"vascular cell adhesion molecule 1";"Cluster_4";7,306;7,2689;7,4155;7,3834;7,4746;7,6807;8,2863;8,0025;7,7678;7,5499;7,4983;7,4778;7,187;8,9493;1,7623;0,0012;0,0056
"21685";"Tef";"15";"thyrotroph embryonic factor";"Cluster_4";7,2309;7,0634;7,177;7,4173;8,1329;8,4488;8,0365;8,2928;8,1823;7,7606;7,8232;7,5183;7,005;8,7637;1,7587;2,4e-08;1e-06
"229599";"Ciart";"3";"circadian associated repressor of transcription";"Cluster_4";6,6723;6,6644;6,6798;6,7599;7,5894;8,0728;8,099;8,1605;7,4001;7,1039;6,8728;6,7093;6,6385;8,3959;1,7574;5,8e-14;3,7e-11
"18984";"Por";"5";"P450 (cytochrome) oxidoreductase";"Cluster_4";7,9699;7,7846;7,726;7,9342;8,1777;8,7313;9,0291;9,07;9,0337;8,6413;8,5486;8,0417;7,6364;9,1832;1,5467;1,9e-11;4,1e-09
"98952";"Fam102a";"2";"family with sequence similarity 102, member A";"Cluster_4";8,4966;8,123;8,1741;8,2526;8,6254;9,3192;9,1813;9,2236;9,3072;9,1434;8,573;8,3733;7,9772;9,4913;1,5141;1,4e-10;2e-08
"11931";"Atp1b1";"1";"ATPase, Na+/K+ transporting, beta 1 polypeptide";"Cluster_4";8,3559;8,2938;8,1771;8,3462;8,5831;8,9317;8,6556;9,0024;8,7885;8,526;8,8014;8,3151;8,0685;9,4887;1,4202;0,0037;0,014
"232493";"Gys2";"6";"glycogen synthase 2";"Cluster_4";7,1612;7,1832;7,0124;7,2847;7,6325;7,8616;7,8594;8,023;7,9663;7,8103;7,4359;7,3521;6,9086;8,3234;1,4148;1,6e-05;0,00019
"225994";"Nmrk1";"19";"nicotinamide riboside kinase 1";"Cluster_4";7,2879;7,2415;7,1804;7,1731;7,2903;7,7538;7,9472;7,9843;7,8599;7,7311;7,4782;7,421;7,0233;8,3866;1,3632;1,4e-05;0,00017
"18441";"P2ry1";"3";"purinergic receptor P2Y, G-protein coupled 1";"Cluster_4";7,2163;7,0852;7,0085;7,1015;7,3339;7,6357;7,8722;7,5255;7,6687;7,608;7,5447;7,2019;6,9729;8,3195;1,3467;4,4e-05;0,00042
"18631";"Pex11a";"7";"peroxisomal biogenesis factor 11 alpha";"Cluster_4";8,5756;8,4865;8,4563;8,5837;8,6622;8,9445;9,0767;9,2185;9,164;9,1885;8,7;8,6702;8,3458;9,6447;1,2989;0,0015;0,0067
"52829";"Lurap1l";"4";"leucine rich adaptor protein 1-like";"Cluster_4";8,6939;8,9494;8,8751;8,9271;9,0248;9,216;9,6118;9,2776;9,0061;9,0395;9,085;8,9691;8,5756;9,8741;1,2985;0,0083;0,027
"12401";"Serpina6";"12";"serine (or cysteine) peptidase inhibitor, clade A, member 6";"Cluster_4";9,4026;9,5197;9,1883;9,4539;9,9346;10,0211;10,0204;10,0441;10,154;9,8915;10,1054;9,7;9,0654;10,332;1,2666;0,00014;0,001
"432720";"Akr1c19";"13";"aldo-keto reductase family 1, member C19";"Cluster_4";11,097;10,9306;10,6582;10,9841;11,0507;11,3891;11,2819;11,6268;11,3826;11,3007;11,2056;11,0648;10,5254;11,7097;1,1843;0,0046;0,017
"228859";"Fitm2";"2";"fat storage-inducing transmembrane protein 2";"Cluster_4";8,4788;8,3585;8,6922;8,5188;8,5874;8,9254;8,987;9,0926;9,0499;8,8869;8,4994;8,5421;8,1448;9,3219;1,1771;0,0015;0,0067
"217684";"Susd6";"12";"sushi domain containing 6";"Cluster_4";7,3509;7,3936;7,4345;7,3425;7,5557;7,7407;7,9264;7,7678;7,5181;7,4558;7,4527;7,4608;7,2217;8,3671;1,1453;0,0049;0,018
"18606";"Enpp2";"15";"ectonucleotide pyrophosphatase/phosphodiesterase 2";"Cluster_4";8,6762;8,5651;8,5835;8,6659;9,0996;9,155;9,1266;9,1718;9,1704;9,1259;9,045;8,7364;8,2383;9,3568;1,1185;0,00067;0,0035
"16529";"Kcnk5";"14";"potassium channel, subfamily K, member 5";"Cluster_4";7,4978;7,4259;7,2243;7,379;7,4795;7,9922;7,6759;8,0102;7,7522;7,6754;7,581;7,4579;7,1533;8,2368;1,0835;6,7e-05;0,00058
"76454";"Fbxo31";"8";"F-box protein 31";"Cluster_4";7,3222;7,2889;7,3505;7,4614;7,6999;7,8309;8,0934;7,939;7,8692;7,6095;7,5256;7,2777;7,175;8,2227;1,0477;1,2e-09;1e-07
"11891";"Rab27a";"9";"RAB27A, member RAS oncogene family";"Cluster_4";6,9389;6,9833;6,8754;6,9476;6,9563;7,0852;7,2108;7,0784;6,9929;7,0185;7,0318;6,956;6,8148;7,4185;0,6037;0,002;0,0087
"11928";"Atp1a1";"3";"ATPase, Na+/K+ transporting, alpha 1 polypeptide";"Cluster_4";10,7514;10,651;10,7839;10,7477;11,0123;11,1329;11,1547;11,1692;11,4159;11,1384;11,102;11,0564;10,5382;11,4997;0,9615;1,8e-09;1,3e-07
"12355";"Nr1i3";"1";"nuclear receptor subfamily 1, group I, member 3";"Cluster_4";8,2357;8,0429;8,0471;8,2181;8,3856;8,5872;8,6438;8,6716;8,4954;8,4599;8,2913;8,2414;7,8999;8,8577;0,9579;0,0047;0,017
"14132";"Fcgrt";"7";"Fc receptor, IgG, alpha chain transporter";"Cluster_4";9,7996;9,8053;10,095;9,9085;10,1103;10,2364;10,1973;10,0991;10,2081;9,9911;10,0278;9,9134;9,6024;10,4114;0,809;0,0052;0,018
"14884";"Gtf2h1";"7";"general transcription factor II H, polypeptide 1";"Cluster_4";7,7179;7,679;7,6244;7,7093;7,7685;7,8064;7,9028;7,9523;7,7634;7,8356;7,7879;7,6846;7,5864;8,0084;0,422;4,6e-06;6,9e-05
"15451";"Hpn";"7";"hepsin";"Cluster_4";8,2264;8,2268;8,1627;8,2065;8,3108;8,3354;8,3853;8,4363;8,3762;8,2934;8,266;8,2286;8,1313;8,5159;0,3846;0,0091;0,029
"17346";"Mknk1";"4";"MAP kinase-interacting serine/threonine kinase 1";"Cluster_4";7,5452;7,6112;7,525;7,6326;7,6238;7,7013;7,8655;7,7587;7,7448;7,7645;7,6614;7,5439;7,4316;7,9747;0,5431;0,00098;0,0048
"18551";"Pcsk4";"10";"proprotein convertase subtilisin/kexin type 4";"Cluster_4";6,7374;6,7497;6,7706;6,8868;7,3;7,4183;7,3546;7,3922;7,2597;7,0781;6,8803;6,7978;6,7238;7,563;0,8392;5,7e-10;6,1e-08
"18605";"Enpp1";"10";"ectonucleotide pyrophosphatase/phosphodiesterase 1";"Cluster_4";7,4369;7,4703;7,4057;7,5271;7,7143;7,7057;7,8278;7,721;7,7246;7,6892;7,6108;7,5361;7,3165;7,8691;0,5526;1,6e-07;5e-06
"18626";"Per1";"11";"period circadian clock 1";"Cluster_4";6,7813;6,7625;6,6846;6,7137;7,0833;7,4966;7,5105;7,4648;7,1699;7,0959;7,2109;6,9608;6,6371;7,6332;0,9961;1,8e-09;1,3e-07
"19652";"Rbm3";"X";"RNA binding motif protein 3";"Cluster_4";6,9667;6,9477;6,9532;6,9861;7,1256;7,1112;7,1986;7,2205;7,1349;7,1187;7,0293;6,9707;6,8907;7,2522;0,3615;2,8e-06;4,5e-05
"19679";"Pitpnm2";"5";"phosphatidylinositol transfer protein, membrane-associated 2";"Cluster_4";7,6997;7,6593;7,676;7,7221;7,872;7,9558;7,9833;7,7616;7,9322;7,9338;7,8322;7,6916;7,5292;8,116;0,5868;0,0033;0,013
"20520";"Slc22a5";"11";"solute carrier family 22 (organic cation transporter), member 5";"Cluster_4";7,1163;7,1513;7,2791;7,2236;7,3109;7,376;7,492;7,431;7,3529;7,2882;7,2293;7,2563;7,0422;7,5753;0,5331;0,00036;0,0021
"23950";"Dnajb6";"5";"DnaJ (Hsp40) homolog, subfamily B, member 6";"Cluster_4";7,4225;7,4439;7,4425;7,4652;7,5139;7,629;7,7762;7,9217;7,6121;7,4824;7,3951;7,4536;7,2756;8,017;0,7414;0,00012;9e-04
"26397";"Map2k3";"11";"mitogen-activated protein kinase kinase 3";"Cluster_4";9,7479;9,6707;9,6002;9,7324;9,8183;9,9898;10,1312;10,1079;10,0377;10,1075;9,9115;9,7249;9,3369;10,2891;0,9522;0,00034;0,002
"28250";"Slco1a4";"6";"solute carrier organic anion transporter family, member 1a4";"Cluster_4";6,7972;6,8707;6,8129;6,8647;6,9698;7,012;6,9648;7,096;6,946;6,9084;6,9831;6,8425;6,7439;7,1833;0,4394;0,0025;0,01
"54473";"Tollip";"7";"toll interacting protein";"Cluster_4";7,8576;7,8084;7,7721;7,8378;7,9032;7,9669;8,102;8,0232;7,9281;7,8364;7,938;7,8652;7,7332;8,3194;0,5862;0,0029;0,011
"57317";"Srsf4";"4";"serine/arginine-rich splicing factor 4";"Cluster_4";7,9678;8,053;7,9662;7,9824;8,1996;8,3558;8,2073;8,2303;8,1453;8,191;8,0443;8,0466;7,8129;8,405;0,5921;0,0022;0,0092
"57435";"Plin4";"17";"perilipin 4";"Cluster_4";6,9247;6,7591;6,8107;6,7667;6,8172;6,9555;7,2132;7,1659;7,0864;6,9953;6,9581;6,8316;6,7016;7,4485;0,7469;0,00092;0,0045
"59027";"Nampt";"12";"nicotinamide phosphoribosyltransferase";"Cluster_4";6,8626;6,8464;6,8107;6,7608;6,8712;7,0962;7,2807;7,1536;7,0307;6,9398;6,9627;6,9187;6,7107;7,5802;0,8695;0,0051;0,018
"66333";"Aqp11";"7";"aquaporin 11";"Cluster_4";7,4102;7,3628;7,3812;7,472;7,5223;7,5979;7,6424;7,6857;7,6563;7,5757;7,56;7,5176;7,3182;7,8036;0,4854;0,00037;0,0022
"66847";"Hint3";"10";"histidine triad nucleotide binding protein 3";"Cluster_4";8,61;8,6153;8,6011;8,596;8,7077;8,7272;8,8696;8,9017;8,8193;8,7995;8,653;8,4971;8,3924;9,0019;0,6095;5e-04;0,0028
"66866";"Nhlrc2";"19";"NHL repeat containing 2";"Cluster_4";7,2704;7,2839;7,2663;7,2735;7,4963;7,62;7,5009;7,6696;7,5618;7,45;7,4342;7,2787;7,2131;7,7475;0,5343;1e-05;0,00013
"67155";"Smarca2";"19";"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2";"Cluster_4";8,1481;8,2647;8,2644;8,3226;8,2926;8,3931;8,4926;8,6121;8,5131;8,4285;8,4781;8,2207;8,1133;8,6743;0,561;3,1e-06;4,9e-05
"67608";"Narf";"11";"nuclear prelamin A recognition factor";"Cluster_4";7,2101;7,131;7,1027;7,1;7,2879;7,436;7,4835;7,4532;7,37;7,3437;7,2521;7,1963;7,0203;7,5625;0,5423;7,5e-08;2,8e-06
"68842";"Tulp4";"17";"tubby like protein 4";"Cluster_4";7,8639;7,8079;7,8106;7,7846;7,9124;8,0953;8,2875;8,0432;8,0019;7,9469;7,9426;7,793;7,7002;8,4137;0,7134;3,2e-06;5e-05
"69955";"Fars2";"13";"phenylalanine-tRNA synthetase 2 (mitochondrial)";"Cluster_4";9,4592;9,3704;9,3716;9,5148;9,5493;9,6451;9,6522;9,6202;9,6238;9,5598;9,4725;9,3258;9,2368;9,8049;0,5681;0,0051;0,018
"70790";"Ubr5";"15";"ubiquitin protein ligase E3 component n-recognin 5";"Cluster_4";8,3267;8,3104;8,4435;8,4794;8,5549;8,5294;8,8162;8,6999;8,4697;8,4932;8,5322;8,3895;8,2638;8,9353;0,6715;4,2e-06;6,4e-05
"72388";"Ripk4";"16";"receptor-interacting serine-threonine kinase 4";"Cluster_4";7,3737;7,2285;7,2314;7,2037;7,3498;7,5148;7,49;7,6122;7,5607;7,4581;7,4568;7,4092;7,1331;7,6446;0,5115;2,5e-05;0,00027
"83431";"Ndel1";"11";"nuclear distribution gene E-like homolog 1 (A. nidulans)";"Cluster_4";8,4131;8,4107;8,2044;8,4737;8,8205;8,8914;8,8746;8,7419;8,7318;8,7382;8,4916;8,4185;8,1504;9,009;0,8586;6,1e-06;8,7e-05
"101358";"Fbxl14";"6";"F-box and leucine-rich repeat protein 14";"Cluster_4";7,7112;7,6974;7,6755;7,7461;7,7213;7,7416;7,939;7,9108;7,8608;7,7691;7,8124;7,7154;7,6103;8,1311;0,5208;0,0077;0,025
"110532";"Adarb1";"10";"adenosine deaminase, RNA-specific, B1";"Cluster_4";7,0316;7,0082;6,99;6,9915;7,0836;7,2144;7,1946;7,2031;7,2708;7,2479;7,1082;7,0117;6,9;7,3118;0,4118;1,1e-06;2,1e-05
"117198";"Ivns1abp";"1";"influenza virus NS1A binding protein";"Cluster_4";7,1758;7,2082;7,0662;7,0839;7,2067;7,2879;7,5387;7,829;7,4676;7,4104;7,2916;7,1473;6,972;7,8817;0,9097;5,7e-06;8,1e-05
"170460";"Stard5";"7";"StAR-related lipid transfer (START) domain containing 5";"Cluster_4";8,9816;9,0437;8,9602;9,1119;9,3052;9,4448;9,5031;9,3607;9,2281;9,2537;9,0539;9,0532;8,8007;9,6734;0,8728;8,9e-05;0,00071
"209760";"Tmc7";"7";"transmembrane channel-like gene family 7";"Cluster_4";6,8261;6,8181;6,8005;6,8526;6,9057;7,1153;7,031;7,1101;7,1108;7,0965;6,9505;6,8562;6,7494;7,2374;0,4879;0,00055;0,003
"211401";"Mtss1";"15";"metastasis suppressor 1";"Cluster_4";7,0907;7,0658;7,0446;7,0651;7,3796;7,5374;7,615;7,7327;7,4344;7,4265;7,207;7,1458;6,9056;7,7851;0,8796;4,2e-07;9,7e-06
"213056";"Fam126b";"1";"family with sequence similarity 126, member B";"Cluster_4";7,1958;7,1229;7,3138;7,3248;7,3904;7,4498;7,5824;7,6263;7,4698;7,3681;7,3202;7,2197;7,1001;7,7949;0,6949;0,00032;0,0019
"215929";"AI317395";"10";"expressed sequence AI317395";"Cluster_4";8,1351;8,2216;8,2348;8,2133;8,4254;8,2447;8,5434;8,4827;8,4565;8,3335;8,1686;8,2433;7,9186;8,6946;0,7759;0,0062;0,021
"226418";"Yod1";"1";"YOD1 OTU deubiquitinating enzyme 1 homologue (S. cerevisiae)";"Cluster_4";7,0292;6,9329;6,9642;6,9514;7,0352;7,1332;7,25;7,2568;7,0708;7,0868;7,0602;7,043;6,896;7,366;0,47;3,1e-05;0,00032
"228357";"Lrp4";"2";"low density lipoprotein receptor-related protein 4";"Cluster_4";7,2087;7,1832;7,1852;7,2558;7,5253;7,6608;7,6606;7,648;7,8207;7,6801;7,5003;7,4937;7,1387;7,8572;0,7185;2,6e-10;3,1e-08
"232087";"Mat2a";"6";"methionine adenosyltransferase II, alpha";"Cluster_4";9,2791;9,1543;9,254;9,375;9,4924;9,5098;9,7041;9,6815;9,6375;9,5682;9,3683;9,3223;9,0177;9,8656;0,8479;0,00067;0,0035
"321022";"Cdv3";"9";"carnitine deficiency-associated gene expressed in ventricle 3";"Cluster_4";9,3891;9,4306;9,3024;9,296;9,4832;9,587;9,5714;9,6433;9,5868;9,5523;9,5595;9,4089;9,1878;9,7824;0,5946;0,0023;0,0096
"27362";"Dnajb9";"12";"DnaJ (Hsp40) homolog, subfamily B, member 9";"Cluster_5";9,648;9,354;8,5429;8,4286;8,6113;8,9987;9,1006;9,4921;9,2091;8,8581;8,3377;8,743;8,1955;9,7893;1,5938;0,00043;0,0024
"67846";"Tmem39a";"16";"transmembrane protein 39a";"Cluster_5";8,5243;8,097;7,7788;7,8052;7,6981;7,9584;7,8992;8,3255;7,9477;7,8129;7,5648;7,9389;7,3702;8,7538;1,3836;0,00089;0,0044
"328162";"Trmt61a";"12";"tRNA methyltransferase 61A";"Cluster_5";8,0077;7,6709;7,5894;7,5572;7,4318;7,769;7,8327;8,3569;7,9808;7,8787;7,5778;7,8724;7,213;8,4607;1,2477;0,0011;0,0052
"69237";"Gtpbp4";"13";"GTP binding protein 4";"Cluster_5";8,8723;8,5742;8,544;8,4894;8,5209;8,7405;8,8343;9,2066;8,7912;8,7515;8,576;8,7987;8,2067;9,3137;1,107;0,0024;0,01
"54399";"Bet1l";"7";"blocked early in transport 1 homolog (S. cerevisiae)-like";"Cluster_5";8,9618;8,5263;8,5283;8,6206;8,4367;8,7151;8,5765;9,193;8,7143;8,6461;8,4216;8,6032;8,204;9,2708;1,0668;0,0021;0,009
"30877";"Gnl3";"14";"guanine nucleotide binding protein-like 3 (nucleolar)";"Cluster_5";8,1303;7,952;8,0084;7,9436;8,1841;8,241;8,3036;8,593;8,0423;7,8934;7,8409;8,104;7,648;8,6956;1,0476;0,00046;0,0026
"13198";"Ddit3";"10";"DNA-damage inducible transcript 3";"Cluster_5";7,0162;6,8176;6,7248;6,7487;6,7744;6,7669;6,7422;7,0354;6,9503;6,8545;6,8514;6,7619;6,6928;7,1119;0,4192;2,1e-05;0,00024
"15547";"Trmt2a";"16";"TRM2 tRNA methyltransferase 2A";"Cluster_5";7,6774;7,5047;7,5142;7,5424;7,4286;7,4972;7,4942;7,7305;7,6807;7,564;7,429;7,5548;7,3537;7,8395;0,4858;0,0072;0,024
"56737";"Alg2";"4";"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)";"Cluster_5";7,5627;7,4513;7,1347;7,1475;7,2286;7,2864;7,2785;7,4577;7,3489;7,1692;7,1098;7,3176;6,9452;7,6586;0,7135;0,006;0,021
"66409";"Rsl1d1";"16";"ribosomal L1 domain containing 1";"Cluster_5";8,0759;7,9873;7,9357;7,93;7,9896;7,9942;8,0368;8,3262;8,0786;7,9065;7,8875;7,9145;7,7769;8,3844;0,6075;0,0043;0,016
"66583";"Exosc1";"19";"exosome component 1";"Cluster_5";8,3827;8,1601;8,0976;8,0076;7,9768;8,0468;8,147;8,4656;8,2626;8,2116;8,1117;8,1667;7,902;8,5498;0,6478;0,00011;0,00082
"67619";"Nob1";"8";"NIN1/RPN12 binding protein 1 homolog (S. cerevisiae)";"Cluster_5";7,0836;7,0666;7,0269;6,961;6,9578;7,0631;7,1126;7,3018;7,1529;7,0888;7,0792;7,1387;6,9012;7,3323;0,4311;2e-04;0,0013
"67832";"Brix1";"15";"BRX1, biogenesis of ribosomes, homolog (S. cerevisiae)";"Cluster_5";8,786;8,7203;8,6638;8,6671;8,7277;8,6832;8,751;9,0102;8,5167;8,5173;8,4853;8,6545;8,3625;9,0868;0,7243;0,001;0,0048
"67920";"Mak16";"8";"MAK16 homolog (S. cerevisiae)";"Cluster_5";7,3178;7,1714;7,094;7,1493;7,1362;7,226;7,3267;7,5018;7,2516;7,1857;7,1389;7,2501;7,0418;7,5382;0,4964;0,00022;0,0014
"68147";"Gar1";"3";"GAR1 ribonucleoprotein homolog (yeast)";"Cluster_5";8,2647;8,0486;8,0323;7,9496;7,889;7,8846;8,1428;8,4234;8,1842;8,0393;7,9993;8,1905;7,8118;8,4654;0,6536;0,0052;0,018
"70333";"Cd3eap";"7";"CD3E antigen, epsilon polypeptide associated protein";"Cluster_5";6,9463;6,9373;6,9364;6,9985;7,0084;6,9855;7,0831;7,3076;7,0177;6,9869;6,9552;6,9942;6,8384;7,4083;0,5699;0,0012;0,0058
"70369";"Bag5";"12";"BCL2-associated athanogene 5";"Cluster_5";7,4682;7,2751;7,3434;7,2981;7,3568;7,4143;7,4221;7,6773;7,4251;7,3635;7,2587;7,348;7,1971;7,7393;0,5422;0,001;0,0048
"75678";"Ippk";"13";"inositol 1,3,4,5,6-pentakisphosphate 2-kinase";"Cluster_5";7,4371;7,3933;7,2646;7,3272;7,3012;7,3547;7,4368;7,717;7,4065;7,4587;7,3804;7,3862;7,2039;7,7706;0,5666;0,00066;0,0035
