"";"Symbol";"Type";"Title";"Cluster";"Breast";"CNS";"Colon";"Blood";"Skin";"Lung";"Ovary";"Prostate";"Kidney";"Min";"Max";"Range";"pANOVA";"FDR"
"3148";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3148"" target=""_blank"">HMGB2</a>";"protein-coding";"high mobility group box 2";"Cluster_5";8,17;8,0883;8,5271;9,1617;7,245;7,6789;7,7457;7,545;7,9538;6,07;9,6;3,53;5,4e-06;4,8e-05
"4001";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=4001"" target=""_blank"">LMNB1</a>";"protein-coding";"lamin B1";"Cluster_5";7,482;7,515;7,6629;8,115;6,939;7,2278;7,5971;6,965;7,3775;6,08;8,8;2,72;0,002;0,0059
"4085";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=4085"" target=""_blank"">MAD2L1</a>";"protein-coding";"MAD2 mitotic arrest deficient-like 1 (yeast)";"Cluster_5";4,972;5,18;5,5014;5,5783;4,605;5,01;5,2914;4,615;5,0075;3,72;6,1;2,38;0,0042;0,011
"4171";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=4171"" target=""_blank"">MCM2</a>";"protein-coding";"minichromosome maintenance complex component 2";"Cluster_5";8,456;8,6567;9,1757;9,2383;8,087;8,3567;8,7114;8,54;8,5262;7,24;9,74;2,5;1,4e-05;1e-04
"4953";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=4953"" target=""_blank"">ODC1</a>";"protein-coding";"ornithine decarboxylase 1";"Cluster_5";8,514;9,11;9,4986;9,795;8,207;9,3644;8,98;9,805;8,8038;6,75;10,63;3,88;0,00078;0,0028
"6636";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=6636"" target=""_blank"">SNRPF</a>";"protein-coding";"small nuclear ribonucleoprotein polypeptide F";"Cluster_5";8,242;7,855;8,5957;8,78;7,865;8,3911;8,6757;8,605;8,4275;7,15;9,36;2,21;0,0039;0,01
"7570";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=7570"" target=""_blank"">ZNF22</a>";"protein-coding";"zinc finger protein 22";"Cluster_5";6,034;6,3083;5,5429;7,865;4,905;5,7033;6,6386;6,43;5,7088;3,85;8,43;4,58;3,9e-06;3,7e-05
"7884";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=7884"" target=""_blank"">SLBP</a>";"protein-coding";"stem-loop binding protein";"Cluster_5";5,274;5,4267;6,0243;5,9933;4,884;5,4022;5,39;5,46;5,5812;3,99;6,59;2,6;0,0017;0,005
"10606";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=10606"" target=""_blank"">PAICS</a>";"protein-coding";"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase";"Cluster_5";6,568;6,9883;7,4357;7,5233;6,414;6,8611;7,0743;6,615;6,7038;5,47;7,88;2,41;0,00037;0,0015
"11051";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=11051"" target=""_blank"">NUDT21</a>";"protein-coding";"nudix (nucleoside diphosphate linked moiety X)-type motif 21";"Cluster_5";5,624;6,275;6,5057;6,69;5,613;5,8689;6,1757;5,955;6,3825;4,65;7,13;2,48;0,001;0,0034
"11157";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=11157"" target=""_blank"">LSM6</a>";"protein-coding";"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated";"Cluster_5";4,99;4,7283;5,3543;5,9033;4,549;5,16;5,4757;5,255;5,0525;3,54;6,56;3,02;0,00013;0,00066
"11340";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=11340"" target=""_blank"">EXOSC8</a>";"protein-coding";"exosome component 8";"Cluster_5";7,382;7,1383;7,9857;8,0567;6,956;7,4089;7,3671;7,445;7,1762;6,08;8,75;2,67;0,001;0,0034
"22934";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=22934"" target=""_blank"">RPIA</a>";"protein-coding";"ribose 5-phosphate isomerase A";"Cluster_5";4,226;4,22;5,0071;5,49;4,464;4,7278;4,5843;4,09;4,4125;3,61;6,12;2,51;1,3e-05;9,7e-05
"23642";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=23642"" target=""_blank"">SNHG1</a>";"ncRNA";"small nucleolar RNA host gene 1";"Cluster_5";9,266;9,0367;9,6371;10,1583;8,962;9,4067;9,5471;9,64;9,0475;7,27;10,54;3,27;0,0049;0,012
"26271";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=26271"" target=""_blank"">FBXO5</a>";"protein-coding";"F-box protein 5";"Cluster_5";5,97;6,2867;6,2014;6,9617;5,655;5,9256;6,06;5,84;5,855;4,95;7,64;2,69;0,00055;0,0021
"26354";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=26354"" target=""_blank"">GNL3</a>";"protein-coding";"guanine nucleotide binding protein-like 3 (nucleolar)";"Cluster_5";4,98;5,045;5,5657;6,0567;5,115;4,9344;5,0857;5,495;5,1025;3,91;6,51;2,6;0,0044;0,011
"29896";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=29896"" target=""_blank"">TRA2A</a>";"protein-coding";"transformer 2 alpha homolog (Drosophila)";"Cluster_5";4,412;4,685;4,8943;4,9;3,88;4,6267;4,8214;4,42;4,345;2,82;5,5;2,68;0,00061;0,0023
"51053";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=51053"" target=""_blank"">GMNN</a>";"protein-coding";"geminin, DNA replication inhibitor";"Cluster_5";7,2;6,9967;6,9457;7,9917;7,087;7,1522;7,4471;6,96;6,9737;5,92;8,51;2,59;0,0065;0,015
"54107";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=54107"" target=""_blank"">POLE3</a>";"protein-coding";"polymerase (DNA directed), epsilon 3, accessory subunit";"Cluster_5";7,016;7,09;7,1457;7,595;6,465;6,7211;6,5829;7,185;6,7912;5,94;8,15;2,21;0,00032;0,0014
"80155";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=80155"" target=""_blank"">NAA15</a>";"protein-coding";"N(alpha)-acetyltransferase 15, NatA auxiliary subunit";"Cluster_5";5,134;5,3433;5,1043;6,005;4,835;5,1222;5,34;4,76;5,335;4,14;6,84;2,7;0,0022;0,0063
"80306";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=80306"" target=""_blank"">MED28</a>";"protein-coding";"mediator complex subunit 28";"Cluster_5";4,352;4,18;4,8743;5,3467;4,279;4,4656;4,4514;4,145;4,4725;3,7;5,96;2,26;0,00041;0,0017
"100093630";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=100093630"" target=""_blank"">SNHG8</a>";"ncRNA";"small nucleolar RNA host gene 8";"Cluster_5";8,156;7,6717;8,37;8,9083;7,562;8,0511;7,9914;7,56;7,8087;6,59;9,6;3,01;0,005;0,012
"302";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=302"" target=""_blank"">ANXA2</a>";"protein-coding";"annexin A2";"Cluster_6";8,628;9,415;9,2671;6,895;8,882;10,01;9,5171;9,885;9,48;4,91;11,29;6,38;2,1e-05;0,00014
"303";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=303"" target=""_blank"">ANXA2P1</a>";"pseudo";"annexin A2 pseudogene 1";"Cluster_6";7,084;7,6533;7,41;6,0967;6,87;7,68;7,62;7,885;7,575;5,66;8,36;2,7;4,7e-09;1,8e-07
"308";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=308"" target=""_blank"">ANXA5</a>";"protein-coding";"annexin A5";"Cluster_6";7,154;7,6817;6,6014;5,6567;8,043;7,1789;7,6629;7,525;7,4838;4,26;8,53;4,27;1,5e-07;3e-06
"351";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=351"" target=""_blank"">APP</a>";"protein-coding";"amyloid beta (A4) precursor protein";"Cluster_6";8,392;8,2217;8,0657;5,6667;8,645;7,9822;8,4714;8,415;8,625;3,39;9,4;6,01;6,2e-05;0,00035
"389";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=389"" target=""_blank"">RHOC</a>";"protein-coding";"ras homolog family member C";"Cluster_6";10,138;10,1683;9,3071;8,3517;9,921;9,8944;9,8571;10,245;10,2075;7,12;11,15;4,03;2,1e-05;0,00014
"444";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=444"" target=""_blank"">ASPH</a>";"protein-coding";"aspartate beta-hydroxylase";"Cluster_6";5,49;7,145;7,0957;3,91;6,04;6,9567;7,1743;7,885;6,9325;2,82;9,27;6,45;0,00012;0,00061
"481";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=481"" target=""_blank"">ATP1B1</a>";"protein-coding";"ATPase, Na+/K+ transporting, beta 1 polypeptide";"Cluster_6";9,224;10,1533;10,0529;7,86;8,971;10,0456;9,9429;9,495;9,9912;7,33;11,77;4,44;1,7e-06;1,9e-05
"595";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=595"" target=""_blank"">CCND1</a>";"protein-coding";"cyclin D1";"Cluster_6";7,806;8,0417;7,7843;5,4933;8,427;8,7222;8,37;8,54;8,3663;5,26;10,36;5,1;1,5e-06;1,8e-05
"824";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=824"" target=""_blank"">CAPN2</a>";"protein-coding";"calpain 2, (m/II) large subunit";"Cluster_6";8,036;8,6517;8,2;5,7883;8,099;8,8067;8,6171;9,395;9,1562;4,78;9,86;5,08;5e-08;1,2e-06
"950";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=950"" target=""_blank"">SCARB2</a>";"protein-coding";"scavenger receptor class B, member 2";"Cluster_6";7,05;7,5117;7,1729;5,3383;7,402;6,8567;6,8043;6,505;6,995;4,52;8,28;3,76;7e-07;9,8e-06
"1471";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1471"" target=""_blank"">CST3</a>";"protein-coding";"cystatin C";"Cluster_6";9,362;9,455;9,74;7,325;9,879;9,7311;9,0429;9,19;9,4162;4,57;11,74;7,17;0,00069;0,0025
"1488";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1488"" target=""_blank"">CTBP2</a>";"protein-coding";"C-terminal binding protein 2";"Cluster_6";7,552;7,4417;8,3743;4,2167;7,301;7,8344;7,8986;7,83;7,725;2,74;9,16;6,42;1,1e-10;7e-09
"1495";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1495"" target=""_blank"">CTNNA1</a>";"protein-coding";"catenin (cadherin-associated protein), alpha 1, 102kDa";"Cluster_6";8,118;8,205;8,0143;6,3217;8,137;8,4244;8,3657;6,425;8,2175;4,51;9,08;4,57;1,6e-06;1,8e-05
"2017";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=2017"" target=""_blank"">CTTN</a>";"protein-coding";"cortactin";"Cluster_6";8,524;8,1983;8,8829;6,995;8,918;8,71;8,5029;8,985;8,6788;6,31;9,83;3,52;2e-08;5,6e-07
"3693";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3693"" target=""_blank"">ITGB5</a>";"protein-coding";"integrin, beta 5";"Cluster_6";7,612;7,675;7,2043;5,0967;7,511;7,5889;7,0614;6,785;7,3712;4,43;9,15;4,72;5,4e-06;4,8e-05
"3912";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3912"" target=""_blank"">LAMB1</a>";"protein-coding";"laminin, beta 1";"Cluster_6";5,458;5,7933;4,8886;3,3683;5,632;5,8478;5,6857;4,74;6,1037;3,04;7,49;4,45;1,4e-05;1e-04
"4071";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=4071"" target=""_blank"">TM4SF1</a>";"protein-coding";"transmembrane 4 L six family member 1";"Cluster_6";6,124;6,8117;7,06;4,0017;6,804;6,85;6,4614;8,035;8,285;3,06;9,48;6,42;0,0026;0,0072
"5217";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=5217"" target=""_blank"">PFN2</a>";"protein-coding";"profilin 2";"Cluster_6";8,118;9,6;7,4057;4,46;8,263;9,2078;8,5629;9,185;9,0412;3,31;10,35;7,04;5,5e-09;2e-07
"5339";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=5339"" target=""_blank"">PLEC</a>";"protein-coding";"plectin";"Cluster_6";8,752;8,7317;8,6871;7,2567;8,669;8,9933;8,8086;9,895;8,9675;6,72;10,28;3,56;0,00018;0,00085
"5445";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=5445"" target=""_blank"">PON2</a>";"protein-coding";"paraoxonase 2";"Cluster_6";5,3;6,0633;5,7286;4,565;6,198;6,4756;5,6814;5,875;6,54;4,13;8,45;4,32;0,00011;0,00057
"5621";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=5621"" target=""_blank"">PRNP</a>";"protein-coding";"prion protein";"Cluster_6";5,618;6,64;5,6486;4,29;6,753;6,5656;5,4543;5,795;5,925;2,83;8,51;5,68;0,0022;0,0063
"5782";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=5782"" target=""_blank"">PTPN12</a>";"protein-coding";"protein tyrosine phosphatase, non-receptor type 12";"Cluster_6";6,242;7,005;6,3557;5,1233;6,534;6,9744;6,6357;6,485;6,6513;3,71;7,77;4,06;0,00027;0,0012
"6281";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=6281"" target=""_blank"">S100A10</a>";"protein-coding";"S100 calcium binding protein A10";"Cluster_6";9,834;10,0267;10,3643;7,0917;9,449;10,3722;10,43;10,835;10,3712;5,39;11,21;5,82;5,4e-09;2e-07
"6284";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=6284"" target=""_blank"">S100A13</a>";"protein-coding";"S100 calcium binding protein A13";"Cluster_6";8,456;8,465;7,7729;5,5483;8,939;7,9844;9,0343;9,515;8,6125;4,87;10,06;5,19;3,5e-11;2,8e-09
"6993";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=6993"" target=""_blank"">DYNLT1</a>";"protein-coding";"dynein, light chain, Tctex-type 1";"Cluster_6";7,872;8,1933;8,2171;6,6517;7,31;8,1456;8,4229;7,83;8,2625;5,51;9,1;3,59;3,8e-06;3,6e-05
"8795";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=8795"" target=""_blank"">TNFRSF10B</a>";"protein-coding";"tumor necrosis factor receptor superfamily, member 10b";"Cluster_6";6,84;7,4683;7,5471;5,815;7,444;7,1311;7,1186;7,375;7,6113;4,42;8,42;4;0,00031;0,0013
"8853";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=8853"" target=""_blank"">ASAP2</a>";"protein-coding";"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2";"Cluster_6";3,106;3,055;3,1143;2,1967;3,074;3,4144;3,25;3,04;3,3862;2,06;4,89;2,83;0,0023;0,0065
"8870";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=8870"" target=""_blank"">IER3</a>";"protein-coding";"immediate early response 3";"Cluster_6";8,38;6,22;7,8843;4,72;8,076;7,8089;7,6129;7,41;7,6;3,5;9,47;5,97;2,7e-06;2,8e-05
"10413";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=10413"" target=""_blank"">YAP1</a>";"protein-coding";"Yes-associated protein 1";"Cluster_6";6,704;7,0283;6,7871;3,5233;6,165;6,9556;6,9986;6,515;6,34;2,75;10,04;7,29;2,7e-06;2,7e-05
"10787";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=10787"" target=""_blank"">NCKAP1</a>";"protein-coding";"NCK-associated protein 1";"Cluster_6";5,18;5,5567;5,3557;3,745;5,544;5,6911;5,4143;5,075;5,52;2,66;6,24;3,58;8,5e-07;1,1e-05
"11034";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=11034"" target=""_blank"">DSTN</a>";"protein-coding";"destrin (actin depolymerizing factor)";"Cluster_6";9,184;8,775;8,6014;7,2067;8,823;8,7789;8,7486;7,985;8,7725;6,66;10,18;3,52;6,5e-05;0,00036
"23191";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=23191"" target=""_blank"">CYFIP1</a>";"protein-coding";"cytoplasmic FMR1 interacting protein 1";"Cluster_6";6,658;6,7283;7,2786;5,905;7,007;7,3322;7,24;7,385;7,07;4,71;8,12;3,41;1,8e-05;0,00013
"23677";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=23677"" target=""_blank"">SH3BP4</a>";"protein-coding";"SH3-domain binding protein 4";"Cluster_6";5,96;7,405;6,1514;4,2767;6,711;5,8289;6,1971;5,435;6,3863;4,1;8,26;4,16;5,5e-09;2e-07
"25829";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=25829"" target=""_blank"">TMEM184B</a>";"protein-coding";"transmembrane protein 184B";"Cluster_6";7,21;7,3617;6,8557;6,0133;7,505;7,0378;7,5586;7,08;7,215;5,45;8,28;2,83;1e-04;0,00054
"25937";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=25937"" target=""_blank"">WWTR1</a>";"protein-coding";"WW domain containing transcription regulator 1";"Cluster_6";5,266;6,3717;3,8414;2,645;7,322;5,8644;6,2114;6,59;7,275;2,41;8,29;5,88;8,1e-12;9e-10
"26010";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=26010"" target=""_blank"">SPATS2L</a>";"protein-coding";"spermatogenesis associated, serine-rich 2-like";"Cluster_6";4,43;4,915;4,8771;3,695;4,557;4,5633;4,7643;4,41;5,21;3,34;6,1;2,76;0,00031;0,0013
"27020";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=27020"" target=""_blank"">NPTN</a>";"protein-coding";"neuroplastin";"Cluster_6";7,682;8,205;7,8529;6,9;7,853;8,22;7,9143;7,29;7,7775;6,43;9,08;2,65;0,00088;0,0031
"54206";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=54206"" target=""_blank"">ERRFI1</a>";"protein-coding";"ERBB receptor feedback inhibitor 1";"Cluster_6";5,946;6,8267;6,6786;4,15;5,414;6,2267;6,2271;7,97;6,3325;3,4;8,78;5,38;0,0016;0,005
"55353";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=55353"" target=""_blank"">LAPTM4B</a>";"protein-coding";"lysosomal protein transmembrane 4 beta";"Cluster_6";10,484;10,085;9,6286;6,4533;10,569;10,4656;11,0386;10,28;11,0787;2,78;11,57;8,79;4,5e-07;7,2e-06
"55884";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=55884"" target=""_blank"">WSB2</a>";"protein-coding";"WD repeat and SOCS box containing 2";"Cluster_6";6,2;6,9667;6,3671;4,8667;6,347;6,3633;6,2114;6,22;6,4437;3,53;7,72;4,19;0,00046;0,0018
"64114";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=64114"" target=""_blank"">TMBIM1</a>";"protein-coding";"transmembrane BAX inhibitor motif containing 1";"Cluster_6";7,234;7,37;7,83;6,7183;7,75;7,6167;7,4114;7,13;7,415;6,12;8,75;2,63;0,00068;0,0025
"64855";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=64855"" target=""_blank"">FAM129B</a>";"protein-coding";"family with sequence similarity 129, member B";"Cluster_6";8,61;8,7533;8,3043;7,2933;8,42;8,3333;8,6043;8,96;8,7912;6,85;9,67;2,82;5,3e-05;0,00031
"80381";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=80381"" target=""_blank"">CD276</a>";"protein-coding";"CD276 molecule";"Cluster_6";7,498;8,11;7,1314;6,1883;8,115;7,7444;7,5857;7,425;7,9075;5,68;9,2;3,52;3,5e-07;6e-06
"151011";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=151011"" target=""_blank"">SEPT10</a>";"protein-coding";"septin 10";"Cluster_6";5,602;6,485;6,5986;3,9733;6,499;6,9244;7,1557;6,605;7,1587;3,08;8,39;5,31;6,7e-07;9,5e-06
"162073";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=162073"" target=""_blank"">ITPRIPL2</a>";"protein-coding";"inositol 1,4,5-trisphosphate receptor interacting protein-like 2";"Cluster_6";6,342;6,6617;5,9229;4,93;6,832;6,7122;6,7586;6,32;6,995;4,51;7,98;3,47;0,00011;0,00056
"375790";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=375790"" target=""_blank"">AGRN</a>";"protein-coding";"agrin";"Cluster_6";8,256;8,475;8,11;6,605;7,809;8,7367;9,1157;8,555;9,0625;5,69;10,07;4,38;9,4e-08;2,1e-06
"404093";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=404093"" target=""_blank"">CUEDC1</a>";"protein-coding";"CUE domain containing 1";"Cluster_6";6,406;7,0233;6,3386;5,3583;6,362;6,8467;6,2343;6,44;6,6275;5,29;7,63;2,34;2,6e-06;2,7e-05
"54";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=54"" target=""_blank"">ACP5</a>";"protein-coding";"acid phosphatase 5, tartrate resistant";"Cluster_7";4,896;4,745;4,8457;4,7567;7,073;4,7978;4,7814;4,645;4,8012;4,36;8,36;4;3e-13;4,9e-11
"347";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=347"" target=""_blank"">APOD</a>";"protein-coding";"apolipoprotein D";"Cluster_7";4,294;3,7717;3,9357;3,8067;6,222;3,7522;3,7814;3,995;3,84;3,48;11,06;7,58;3,1e-05;2e-04
"427";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=427"" target=""_blank"">ASAH1</a>";"protein-coding";"N-acylsphingosine amidohydrolase (acid ceramidase) 1";"Cluster_7";5,784;5,79;6,1271;5,26;7,442;5,5822;5,9743;5,605;5,5012;3,71;9,17;5,46;2,8e-05;0,00018
"475";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=475"" target=""_blank"">ATOX1</a>";"protein-coding";"antioxidant 1 copper chaperone";"Cluster_7";8,85;8,5283;8,1429;8,395;10,492;8,9344;9,0157;8,35;8,9913;7,83;11,3;3,47;8,8e-14;1,8e-11
"476";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=476"" target=""_blank"">ATP1A1</a>";"protein-coding";"ATPase, Na+/K+ transporting, alpha 1 polypeptide";"Cluster_7";9,064;9,9567;9,65;9,0083;10,599;9,0233;9,2829;8,98;8,7338;7,86;11,52;3,66;2,3e-08;6,4e-07
"526";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=526"" target=""_blank"">ATP6V1B2</a>";"protein-coding";"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2";"Cluster_7";5,848;5,9817;5,6814;5,9367;6,984;5,3022;5,3371;5,215;5,8537;4,69;7,86;3,17;3,2e-06;3,1e-05
"529";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=529"" target=""_blank"">ATP6V1E1</a>";"protein-coding";"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1";"Cluster_7";8,892;8,97;8,8957;8,6533;9,815;9,0744;8,8929;9,62;9,0638;7,43;10,76;3,33;0,00054;0,0021
"590";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=590"" target=""_blank"">BCHE</a>";"protein-coding";"butyrylcholinesterase";"Cluster_7";2,666;2,9383;2,6429;3,1033;4,333;2,9;2,6314;3,65;2,8512;2,32;4,97;2,65;7,2e-09;2,4e-07
"597";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=597"" target=""_blank"">BCL2A1</a>";"protein-coding";"BCL2-related protein A1";"Cluster_7";2,76;2,6433;2,7386;3,1633;5,442;2,8456;2,7286;2,96;2,6775;2,4;7,24;4,84;3e-12;3,4e-10
"634";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=634"" target=""_blank"">CEACAM1</a>";"protein-coding";"carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)";"Cluster_7";3,864;3,8317;4,6514;3,935;5,231;3,8822;3,9929;3,94;3,9312;3,62;8,07;4,45;0,0016;0,0048
"767";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=767"" target=""_blank"">CA8</a>";"protein-coding";"carbonic anhydrase VIII";"Cluster_7";3,536;3,0833;3,2557;3,7767;4,62;2,9944;3,0871;2,83;3,1313;2,61;6,18;3,57;0,00027;0,0012
"874";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=874"" target=""_blank"">CBR3</a>";"protein-coding";"carbonyl reductase 3";"Cluster_7";5,368;5,4483;4,6771;4,8517;5,887;5,0044;4,5343;5,335;4,9275;4,07;6,71;2,64;8,8e-07;1,2e-05
"949";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=949"" target=""_blank"">SCARB1</a>";"protein-coding";"scavenger receptor class B, member 1";"Cluster_7";7,468;7,1883;7,8814;7,6867;8,537;7,5411;7,38;7,94;7,5462;6,48;9,37;2,89;2e-04;0,00093
"1017";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1017"" target=""_blank"">CDK2</a>";"protein-coding";"cyclin-dependent kinase 2";"Cluster_7";7,404;7,3683;7,3286;7,4017;8,34;7,2211;7,6243;7,51;7,1775;6,78;10,23;3,45;0,0018;0,0053
"1200";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1200"" target=""_blank"">TPP1</a>";"protein-coding";"tripeptidyl peptidase I";"Cluster_7";5,102;5,4183;5,4986;5,3417;6,398;5,2467;5,2686;5,49;5,3275;3,98;7,19;3,21;6e-04;0,0023
"1593";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1593"" target=""_blank"">CYP27A1</a>";"protein-coding";"cytochrome P450, family 27, subfamily A, polypeptide 1";"Cluster_7";6,138;6,0033;6,2871;5,9933;7,098;5,8033;5,7;5,97;6,0512;5,55;8,36;2,81;8,9e-06;7,1e-05
"1638";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1638"" target=""_blank"">DCT</a>";"protein-coding";"dopachrome tautomerase";"Cluster_7";3,322;3,2983;3,3186;3,4183;6,319;3,2567;3,24;3,265;3,2912;3,02;8,85;5,83;1,6e-13;2,8e-11
"1780";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1780"" target=""_blank"">DYNC1I1</a>";"protein-coding";"dynein, cytoplasmic 1, intermediate chain 1";"Cluster_7";3,834;4,545;3,7243;3,8633;4,95;3,6944;3,8186;3,925;3,6975;3,38;6,27;2,89;1,2e-05;9,3e-05
"1846";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1846"" target=""_blank"">DUSP4</a>";"protein-coding";"dual specificity phosphatase 4";"Cluster_7";4,98;4,7017;5,6686;4,5083;6,747;5,3511;4,6357;5,215;4,2562;3,73;8,53;4,8;2,1e-06;2,3e-05
"1893";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1893"" target=""_blank"">ECM1</a>";"protein-coding";"extracellular matrix protein 1";"Cluster_7";6,144;6,1033;5,8314;5,65;7,553;5,5633;5,8471;5,555;6,0713;5,26;8,41;3,15;1,2e-08;3,9e-07
"2020";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=2020"" target=""_blank"">EN2</a>";"protein-coding";"engrailed homeobox 2";"Cluster_7";2,848;2,7933;3,4414;2,6217;4,177;2,73;2,5986;2,715;2,8012;2,22;7,07;4,85;0,0018;0,0053
"2118";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=2118"" target=""_blank"">ETV4</a>";"protein-coding";"ets variant 4";"Cluster_7";7,184;7,0267;7,7914;7,34;8,224;7,7989;7,3829;7,79;7,105;6,71;9,01;2,3;1,9e-08;5,2e-07
