"";"Symbol";"Type";"Title";"Cluster";"Breast_GSM133995";"Breast_GSM134000";"Breast_GSM134005";"Breast_GSM134010";"Breast_GSM134015";"CNS_GSM134020";"CNS_GSM134025";"CNS_GSM134030";"CNS_GSM134035";"CNS_GSM134040";"CNS_GSM134045";"Colon_GSM134050";"Colon_GSM134055";"Colon_GSM134060";"Colon_GSM134065";"Colon_GSM134070";"Colon_GSM134075";"Colon_GSM134080";"Blood_GSM134085";"Blood_GSM134090";"Blood_GSM134095";"Blood_GSM134100";"Blood_GSM134105";"Blood_GSM134110";"Skin_GSM134115";"Skin_GSM134120";"Skin_GSM134125";"Skin_GSM134130";"Skin_GSM134135";"Skin_GSM134140";"Skin_GSM134145";"Skin_GSM134150";"Skin_GSM134155";"Skin_GSM134160";"Lung_GSM134165";"Lung_GSM134170";"Lung_GSM134175";"Lung_GSM134180";"Lung_GSM134185";"Lung_GSM134190";"Lung_GSM134195";"Lung_GSM134200";"Lung_GSM134209";"Ovary_GSM134214";"Ovary_GSM134219";"Ovary_GSM134224";"Ovary_GSM134229";"Ovary_GSM134234";"Ovary_GSM134239";"Ovary_GSM134244";"Prostate_GSM134249";"Prostate_GSM134254";"Kidney_GSM134259";"Kidney_GSM134264";"Kidney_GSM134269";"Kidney_GSM134274";"Kidney_GSM134279";"Kidney_GSM134284";"Kidney_GSM134289";"Kidney_GSM134294"
"27020";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=27020"" target=""_blank"">NPTN</a>";"protein-coding";"neuroplastin";"Cluster_6";-0,2547;-0,1039;1,0021;-1,7461;0,0134;0,5832;1,1194;1,5551;-0,4726;-0,1207;1,287;1,2702;0,5999;-0,2044;-0,9585;1,1026;-0,439;-0,8915;-1,5115;-0,6066;-2,2991;-2,3159;-1,1093;-1,3272;0,248;1,4378;0,4994;0,0469;0,5832;-0,0034;-0,5396;-0,1709;-0,4726;-0,9418;0,4491;1,6221;0,801;0,7842;1,488;0,9853;2,1248;0,2145;-2,3159;0,3988;-0,2547;0,0134;1,2702;-0,4223;0,2145;-0,0201;-1,4277;-0,3217;0,1977;-0,8245;-0,5899;0,2648;0,5329;-0,6234;0,3318;0,248
"54206";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=54206"" target=""_blank"">ERRFI1</a>";"protein-coding";"ERBB receptor feedback inhibitor 1";"Cluster_6";-1,2785;1,1464;-0,0624;0,912;-1,0807;0,5457;0,2306;0,846;-0,0844;0,5676;1,3295;-0,077;-0,2162;1,5859;-0,2089;0,5164;1,564;0,0841;-1,4836;-1,9378;-1,8865;-1,4909;-1,762;0,2306;1,813;-0,9195;-1,0221;-0,0624;-0,5386;-1,3225;-1,3884;-0,2236;-0,3408;-0,6192;0,3698;-0,0038;0,9632;-0,5899;-1,1686;2,0035;1,5054;-0,6558;-1,2272;-0,3261;-0,2968;-0,2089;1,542;0,2013;-0,1869;0,2087;1,7691;1,0511;0,8753;0,0841;-0,414;0,0402;1,3662;0,0548;0,0915;-0,414
"55353";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=55353"" target=""_blank"">LAPTM4B</a>";"protein-coding";"lysosomal protein transmembrane 4 beta";"Cluster_6";0,4571;-0,3007;0,5091;0,4744;1e-04;0,0348;0,3067;0,1042;-0,7519;0,1042;0,1852;-0,723;-0,5726;0,6769;-0,5494;-0,1561;-0,6998;0,1563;-4,1879;-0,3528;0,3992;-1,1741;-3,0772;-4,2283;0,4281;0,243;-0,0057;0,2141;-0,1156;0,6769;0,2488;0,4686;0,405;0,2083;0,1447;0,4108;0,7579;0,3761;-0,8097;0,6306;0,5265;-0,0404;-0,0404;0,6653;0,4166;0,7;0,5207;0,4281;0,6075;0,5033;-0,023;0,243;0,4744;0,4686;0,7984;0,8562;0,6711;0,0637;0,5033;0,7405
"55884";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=55884"" target=""_blank"">WSB2</a>";"protein-coding";"WD repeat and SOCS box containing 2";"Cluster_6";-1,5404;0,5447;0,5824;-0,1838;0,3061;1,8511;0,6201;1,0974;0,3438;0,08;1,4366;1,2356;0,2307;-0,2466;0,1679;-0,1712;0,3563;-0,5104;-1,1887;-3,3869;0,1679;-2,2313;-3,412;-0,3471;0,9592;0,4945;-0,6737;-0,9249;0,796;0,2056;1,4366;0,2181;-0,2089;-1,038;-0,7993;-0,1461;0,9844;-0,3848;0,5573;0,8336;0,3563;0,2684;-0,3471;-1,2389;-0,3471;0,2181;0,0046;0,4442;0,7206;-0,1084;0,3689;-0,435;-0,4476;-0,3722;0,796;0,7834;-0,2592;1,2105;-0,7365;1,0095
"64114";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=64114"" target=""_blank"">TMBIM1</a>";"protein-coding";"transmembrane BAX inhibitor motif containing 1";"Cluster_6";-2,1147;0,478;0,5977;-0,5192;-0,599;0,4381;0,2985;-0,3597;-0,579;-0,1602;-0,599;1,9339;1,0564;-0,1203;0,3783;2,0137;1,4552;-1,4167;-2,374;-1,676;0,0791;-2,6532;-1,4167;-0,7186;2,0536;0,7971;0,4979;0,0791;1,7145;-0,5591;0,1788;0,6575;0,3583;0,1988;-0,3597;-0,1403;0,6575;0,7971;-0,1802;-0,1802;2,5921;-0,1802;-0,0206;-0,4993;0,0392;0,5378;-0,4394;-0,2001;0,0991;-0,0804;-0,8782;-0,3995;-1,0577;0,0193;0,0592;0,0193;-0,1802;0,9367;-0,4394;0,0791
"64855";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=64855"" target=""_blank"">FAM129B</a>";"protein-coding";"family with sequence similarity 129, member B";"Cluster_6";-0,9147;2,011;0,0338;0,7571;-0,352;0,0659;0,4839;0,0981;0,2427;1,4644;0,8696;0,8053;-0,2395;-0,352;-1,5737;1,2876;0,082;-1,3004;-2,5221;-2,2649;-1,9113;-2,2971;-1,2683;-0,5932;1,3197;-0,4967;0,725;0,1784;0,5642;-1,5416;-0,7057;-0,5449;0,3713;0,1463;-0,6092;-0,2717;0,1945;-0,0948;1,1268;-1,2362;0,9018;0,1463;-1,3969;0,4196;-0,1109;0,7089;0,6124;-0,4324;1,368;-0,4806;0,7732;0,9661;0,1624;1,0786;0,4517;0,307;0,1945;0,9339;1,1751;0,4839
"80381";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=80381"" target=""_blank"">CD276</a>";"protein-coding";"CD276 molecule";"Cluster_6";0,2705;-0,5449;0,1769;-0,1038;-0,3979;-0,1707;0,7249;1,2596;0,2705;0,6447;1,4601;-1,9217;0,0031;-0,0904;0,1635;0,471;-2,5499;-0,3444;-2,2425;-2,3093;-1,3737;-1,8549;-1,494;-1,9484;-0,6251;1,6205;2,1552;-0,4246;1,3799;0,1502;0,471;1,0457;0,6848;0,5913;-0,5048;1,3264;-0,3311;-0,3043;0,5779;-0,5449;1,0591;0,4843;0,1234;0,5378;0,5913;-0,2241;0,3774;-0,7321;0,0031;-0,5717;-0,184;-0,2509;0,4843;1,0457;0,1368;1,0858;0,6046;-0,5717;0,471;0,1635
"151011";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=151011"" target=""_blank"">SEPT10</a>";"protein-coding";"septin 10";"Cluster_6";-2,1881;1,057;0,0778;-0,9823;-1,2494;0,9437;-1,0632;0,353;-0,3996;0,3287;0,183;0,0293;-0,084;0,7333;0,1507;0,5553;0,4501;-0,7881;-2,4714;-2,3257;-2,698;-2,4066;-2,0344;0,0859;1,3727;0,6848;-0,1973;-0,1973;0,3611;-1,2817;0,3125;-0,2863;-0,0274;-0,0517;-0,0274;0,6119;0,4096;0,0859;0,62;0,2235;-0,0112;0,8709;0,9356;0,5553;-0,8447;0,272;0,5148;1,3888;0,7171;1,5992;-0,1569;0,4663;-0,2135;0,5472;1,0489;0,442;0,79;1,0813;0,5229;0,6038
"162073";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=162073"" target=""_blank"">ITPRIPL2</a>";"protein-coding";"inositol 1,4,5-trisphosphate receptor interacting protein-like 2";"Cluster_6";-0,6947;0,0266;0,4928;0,2375;-0,6947;0,3596;0,6481;1,1365;-1,1942;0,6592;-0,2397;-2,1597;-0,8057;0,1376;0,2153;-0,2397;-0,8057;-0,4839;-2,0376;-1,8046;-2,1597;-2,1486;-1,738;-0,273;1,0144;0,6481;1,6359;-0,3174;-0,384;-0,9833;-0,5283;1,4028;1,2696;0,4151;-0,6171;1,0255;-0,1065;-0,4728;0,3929;1,536;1,2696;0,0044;-0,4728;-0,0178;-1,4272;0,515;0,293;0,4928;1,6914;0,8035;0,6259;-0,9278;0,4373;0,6481;0,5704;1,3029;0,637;0,5261;-0,5505;1,2141
"375790";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=375790"" target=""_blank"">AGRN</a>";"protein-coding";"agrin";"Cluster_6";-0,2443;0,1573;0,0305;-1,0159;0,7809;0,0305;0,0305;0,4955;-0,2866;0,3793;0,3898;-1,1111;0,1467;-0,8997;0,1362;1,7216;-0,9737;-0,5086;-2,6437;-2,2949;-0,2021;-2,7705;-0,9631;-1,9461;-0,0329;0,1679;-0,6249;-1,3119;-0,2972;-1,3964;0,1045;-0,6143;-0,4346;-0,868;0,1679;0,5378;0,8655;0,5167;1,098;0,7492;1,1932;-0,1598;-0,9208;1,3517;1,8591;0,7281;1,0769;-0,0541;0,8972;0,0939;-0,0858;0,6012;0,8866;0,5061;1,2354;0,6647;1,4151;0,0199;0,4216;1,2037
"404093";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=404093"" target=""_blank"">CUEDC1</a>";"protein-coding";"CUE domain containing 1";"Cluster_6";-1,4067;0,1258;0,1591;-1,0402;2,008;0,209;1,6249;0,9419;1,6582;0,5588;0,9919;0,2923;-1,2401;0,3256;-1,0902;1,7581;-0,5405;-0,5072;-1,7065;-1,8231;-1,8897;-1,6399;-1,8731;-1,7231;0,1091;-0,2573;0,9753;0,0092;0,0591;-0,3906;-0,5738;-0,0741;-0,4073;-0,4905;1,0919;1,6582;1,0919;0,792;1,1918;-1,1735;0,9586;-0,0575;0,7754;-0,7737;-0,9569;-0,5239;0,6754;-0,7904;0,3756;-0,224;0,209;-0,1574;0,6255;0,7087;0,7087;0,792;0,1258;-1,0069;0,7254;0,0258
"54";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=54"" target=""_blank"">ACP5</a>";"protein-coding";"acid phosphatase 5, tartrate resistant";"Cluster_7";0,0052;-0,4415;-0,4821;-0,3095;-0,1877;-0,3603;-0,5329;-0,4111;-0,1775;-0,5837;-0,5532;0,1271;-0,6446;-0,4009;-0,3298;-0,472;-0,3908;-0,2283;-0,4821;-0,7055;-0,604;-0,2791;-0,0354;-0,4415;-0,7258;1,4776;2,1477;1,9853;2,7265;0,9293;2,6047;1,7923;3,1022;3,2342;-0,34;-0,3705;-0,5735;-0,2892;-0,4821;-0,2486;-0,4415;-0,5837;-0,1166;-0,5431;-0,1268;-0,5228;-0,1978;-0,5532;-0,4923;-0,3603;-0,6548;-0,4212;-0,2181;-0,5532;-0,5938;-0,8274;-0,2384;-0,3298;-0,0151;-0,2588
"347";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=347"" target=""_blank"">APOD</a>";"protein-coding";"apolipoprotein D";"Cluster_7";-0,3854;-0,5161;-0,2777;-0,3238;1,6299;-0,4315;-0,6007;-0,37;-0,1238;-0,2392;-0,493;0,0915;-0,2623;-0,3546;-0,4238;-0,2238;-0,27;-0,3084;-0,5853;-0,5469;-0,3623;-0,1931;0,0223;-0,4315;-0,4546;5,2295;0,3607;2,9528;2,7759;0,1684;0,9991;1,9837;0,7069;0,3607;-0,2931;-0,5084;-0,4546;-0,393;-0,3161;-0,4238;-0,3854;-0,4315;-0,3161;-0,5084;-0,47;-0,2931;-0,2315;-0,3238;-0,4084;-0,3469;-0,1238;-0,2854;-0,1315;-0,2161;-0,47;-0,3854;-0,3777;-0,3238;-0,2931;-0,393
"427";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=427"" target=""_blank"">ASAH1</a>";"protein-coding";"N-acylsphingosine amidohydrolase (acid ceramidase) 1";"Cluster_7";-0,9098;-0,7709;0,1619;0,0131;0,4497;-0,2549;-0,0068;0,4497;-1,0091;-0,2251;-0,1854;0,6283;0,3009;0,2016;0,0627;-0,3144;0,2711;-0,2449;-1,2968;-0,4434;-0,1854;-0,8304;-0,8602;-0,7709;-1,4854;3,1489;1,1047;1,452;2,6627;2,1268;2,4245;0,6978;1,2932;0,9161;-0,2053;0,4596;-0,8007;-0,235;-1,1182;-0,4831;0,8963;0,0528;-2,2694;-0,4732;1,1841;0,5589;-0,9297;-0,2152;0,3703;-0,6518;-0,8999;0,1222;-0,5129;-0,8602;-0,1854;-0,5228;0,1619;-0,5625;-0,6717;-0,7808
"475";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=475"" target=""_blank"">ATOX1</a>";"protein-coding";"antioxidant 1 copper chaperone";"Cluster_7";-0,8798;0,4321;-0,5458;0,0147;0,0982;-0,4624;0,0386;-0,2954;-1,1779;-0,5816;-0,8798;-1,3211;-1,0348;-0,7128;-0,7486;-0,9394;-1,3926;-0,9871;-0,8679;-0,4385;-0,8917;-1,1302;-0,522;-0,4624;0,4202;1,1597;2,1376;2,4119;2,7459;2,5551;1,7679;2,1615;1,1716;1,2908;-0,6174;-0,4743;-0,0449;1,1477;0,0505;0,0147;-0,1523;-0,3073;-0,2954;-0,6651;-0,8559;0,3725;0,4918;0,4202;-0,0807;0,4679;-0,677;-0,8679;-0,5697;0,456;-0,0091;-0,1523;-0,5578;0,8496;-0,1761;0,0982
"476";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=476"" target=""_blank"">ATP1A1</a>";"protein-coding";"ATPase, Na+/K+ transporting, alpha 1 polypeptide";"Cluster_7";-0,7042;0,9175;-0,8289;-0,28;-1,4776;0,2813;0,0942;0,1566;1,3541;0,7553;1,1919;1,3666;-0,043;-0,3549;0,194;-0,6418;1,2792;-0,0056;-1,4402;-0,1803;0,5058;-0,9287;-0,3923;-0,8289;0,693;1,1795;1,9529;0,5308;2,5891;1,7283;1,5911;1,3915;1,4414;1,3042;-1,4152;-0,6917;0,431;0,0318;-0,1054;-0,6792;0,0193;-0,779;-1,54;-0,7291;0,7678;-0,7541;0,1067;0,3686;-0,8414;-0,3299;-0,2302;-0,9287;-0,305;-0,8164;-1,3903;-0,1179;-0,4796;-1,9766;-1,3029;-0,7042
"526";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=526"" target=""_blank"">ATP6V1B2</a>";"protein-coding";"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2";"Cluster_7";-1,5243;0,3385;-0,1789;0,7524;0,4161;0,6231;-0,3342;1,438;-0,9292;-0,4506;0,4549;0,6748;-0,2048;-0,5153;-0,2954;-1,0586;-0,3342;-0,0496;-0,1401;-0,5411;0,8818;0,3514;-1,4855;1,3863;-0,1919;2,5634;0,9982;1,7485;2,253;0,4161;1,2828;1,6709;2,0978;1,4639;-0,4377;-1,2656;-0,6964;-0,5929;-0,3342;-0,2566;-1,4596;-0,7093;-0,9551;-0,4506;-0,1531;-0,3212;-1,5372;-0,2048;-0,8775;-1,3561;-1,0586;-0,6576;-0,0367;-0,567;0,4937;-1,1879;-0,0367;-0,6188;0,3126;1,3863
"529";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=529"" target=""_blank"">ATP6V1E1</a>";"protein-coding";"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1";"Cluster_7";-0,7942;-0,5672;0,4106;-0,3751;-0,5323;-0,8466;0,4979;-0,1132;-0,7069;-0,5847;0,3408;-0,218;0,1487;0,1836;-0,2704;-1,0561;-0,3402;-1,0038;-0,6371;-0,8117;0,3932;-0,5148;-2,9245;-0,2354;-1,0561;1,8949;0,2709;0,5853;2,8902;1,0567;1,7203;1,825;1,4234;1,7901;-0,9339;1,4234;0,2884;0,1487;-0,1656;-0,9863;1,5631;-1,2657;-0,5498;-0,5672;-0,0783;0,3233;-1,126;-0,2529;-0,218;-0,672;-0,2005;1,9997;0,0439;0,1662;0,6027;-1,1609;-0,4974;0,3757;-0,2878;0,1836
"590";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=590"" target=""_blank"">BCHE</a>";"protein-coding";"butyrylcholinesterase";"Cluster_7";-0,7523;-0,6047;-0,1753;-0,4705;-0,9133;-0,5108;-0,8865;0,4017;-0,5645;-0,2693;0,5224;-0,4034;-1,0475;-0,9268;-0,7389;-0,5376;-0,2558;-0,39;1,0457;-0,8194;-0,8194;-0,0948;1,1262;-0,4169;1,8777;1,9179;1,247;2,3205;1,7301;0,3614;0,7505;1,4751;2,3473;2,5083;-0,7121;0,67;-0,9268;0,6029;-0,7657;-0,484;-0,8462;0,9518;-0,9133;-0,645;-0,4705;-0,7926;-0,5645;-0,5108;-0,6584;-0,7657;-0,3095;1,7837;-0,6986;-0,7926;0,7505;0,8847;-0,7657;-0,806;-0,9133;-0,3363
"597";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=597"" target=""_blank"">BCL2A1</a>";"protein-coding";"BCL2-related protein A1";"Cluster_7";-0,3824;-0,4848;-0,4336;-0,3909;-0,3482;-0,5701;-0,3397;-0,3482;-0,4336;-0,7152;-0,6384;-0,4592;-0,3482;-0,3653;-0,3141;-0,4165;-0,5787;-0,5018;-0,2202;-0,5018;-0,4677;-0,2629;-0,2543;1,3246;1,9391;3,4156;2,0159;0,0102;3,3644;2,1269;2,5792;2,1098;1,0515;0,198;-0,0666;-0,5616;-0,3226;-0,3055;-0,0666;-0,7152;-0,5787;-0,3653;-0,0324;-0,5872;-0,5189;-0,1775;-0,4421;-0,4848;-0,4592;-0,3738;-0,536;0,0614;-0,2543;-0,5189;-0,5701;-0,6811;-0,3824;-0,5445;-0,3824;-0,4933
"634";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=634"" target=""_blank"">CEACAM1</a>";"protein-coding";"carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)";"Cluster_7";-0,4207;-0,4915;-0,5386;-0,4089;-0,2203;-0,5858;-0,5033;-0,6683;-0,3618;-0,0906;-0,515;1,1592;0,5343;-0,3854;-0,2674;2,0199;0,4282;0,0981;-0,6447;-0,3264;-0,633;-0,0906;0,0509;-0,35;-0,4561;0,3457;-0,1142;0,6286;4,5431;2,8099;3,7885;0,4871;0,1452;-0,2203;-0,3618;-0,4797;-0,7037;-0,5033;-0,2674;0,1688;-0,3618;-0,5622;-0,4797;-0,5386;-0,4561;-0,2557;0,9823;-0,6801;-0,515;-0,3854;-0,35;-0,3028;-0,1142;-0,3382;-0,3264;-0,515;-0,4797;-0,2674;-0,3146;-0,3382
"767";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=767"" target=""_blank"">CA8</a>";"protein-coding";"carbonic anhydrase VIII";"Cluster_7";0,3454;-0,9428;1,2864;-0,1027;-0,1139;-0,5844;-0,3827;-0,562;-0,3827;-0,4163;-0,1475;1,6112;-0,3827;-0,562;-0,6404;-0,73;-0,3939;-0,4387;-0,1923;1,4432;2,3394;-0,5172;-0,2035;-0,6852;-0,6964;3,0563;0,1998;2,8883;1,6224;2,765;2,2273;0,2334;0,0429;0,7487;0,0765;-0,4724;-0,8084;-0,562;-0,6852;-0,5844;-0,3715;-0,8308;-0,3715;-0,618;-0,3379;-0,562;-0,5508;-0,2259;-0,2371;-0,3267;-0,562;-0,8308;-0,1587;-0,5732;-0,5956;0,8831;-0,5956;-0,8644;-0,3939;-0,5732
"874";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=874"" target=""_blank"">CBR3</a>";"protein-coding";"carbonyl reductase 3";"Cluster_7";-0,5679;1,0083;1,0586;0,8742;-0,2828;0,0022;1,2096;-0,2493;0,5556;1,6288;0,1699;-1,356;0,3041;-0,853;-0,6685;-0,7188;-0,7356;-1,1548;-1,2554;-0,6182;-1,0206;-0,484;1,0586;-0,3667;-0,4673;1,6959;0,7568;0,5053;2,0312;1,4108;0,74;0,8742;2,6684;2,6684;0,1867;-0,4337;-0,6685;-0,2828;0,3208;-0,6182;0,2538;0,7065;-1,1883;-0,5847;-0,8865;-0,3331;-1,7585;-1,0877;-0,7356;-1,4734;0,6059;0,1196;-0,1151;0,6059;0,4214;-0,635;0,019;-0,8362;-1,2051;-0,8194
"949";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=949"" target=""_blank"">SCARB1</a>";"protein-coding";"scavenger receptor class B, member 1";"Cluster_7";0,0545;-0,822;-1,182;-0,7751;0,7902;-1,542;-0,509;-0,9942;-0,7907;-0,7281;-0,3837;1,5728;0,2267;0,2267;0,2267;-0,1646;0,1641;-0,4307;-0,6811;0,6024;0,7589;-0,8533;0,5084;-0,6029;-0,6968;1,6041;1,2284;2,0424;0,9154;2,5276;0,5554;2,5902;0,6963;1,4006;0,0702;-0,5246;0,3206;0,0232;-0,8533;-0,9629;-1,9333;2,2615;-0,8533;0,3989;-0,3055;-0,8533;-0,9003;-0,055;-1,1351;-0,822;0,5241;0,1797;-0,3994;-0,6498;-1,1977;1,1971;0,0076;-0,0081;-0,6342;-0,4307
"1017";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1017"" target=""_blank"">CDK2</a>";"protein-coding";"cyclin-dependent kinase 2";"Cluster_7";-0,5544;0,2795;-0,7397;0,3722;-0,2456;0,1251;-0,2301;-0,3073;-0,6162;-0,4926;0,1251;-0,539;-0,7397;0,0633;-0,4926;-0,3537;-0,0293;0,0324;0,1096;-0,5544;-0,0602;0,0788;-0,7397;0,0788;0,2795;4,1867;-0,2919;1,2061;2,5806;2,5652;3,2138;-0,6625;0,017;-0,4154;-0,9096;-0,817;-0,5235;-0,6934;-0,1683;0,2795;-0,539;-0,122;-0,6471;-0,1066;-0,9714;0,9127;-0,6008;1,2216;-0,1992;0,8818;-0,3382;0,3104;-0,8787;-0,6625;-0,3073;-0,3382;-1,1413;0,4494;-0,8633;-0,4772
"1200";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1200"" target=""_blank"">TPP1</a>";"protein-coding";"tripeptidyl peptidase I";"Cluster_7";-1,2197;-0,0364;-1,1287;-0,2791;-0,3853;1,1469;-0,264;-0,355;-1,2652;0,7221;-0,7646;0,7069;-0,264;-0,3702;-0,2185;0,2215;-0,5522;0,4187;-0,8253;0,6918;-0,3398;-1,1893;0,6463;-0,4612;1,1469;2,2998;0,9041;0,98;2,3908;2,5577;2,0874;-0,0971;1,0103;0,2822;-1,2349;-1,0376;-0,6432;0,9041;1,5261;-0,5219;-0,8404;-2,3119;0,6463;-0,4308;-0,7191;-0,7797;1,5261;-0,7342;-1,0832;-0,2791;0,0546;-0,0971;-1,4169;-0,1881;-0,0819;-0,2336;-0,3246;0,3884;-0,5522;0,267
"1593";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1593"" target=""_blank"">CYP27A1</a>";"protein-coding";"cytochrome P450, family 27, subfamily A, polypeptide 1";"Cluster_7";0,5203;-0,2499;-0,3914;-0,1713;0,0487;-0,5486;-0,8315;-0,8943;0,5831;0,0959;0,033;3,4438;-0,5171;-0,5643;-0,3914;-0,6429;-0,1713;0,143;-0,7057;-0,1556;-0,7214;0,0487;0,1273;-0,2499;-0,8158;2,1549;1,2276;0,9446;3,1609;1,5419;1,7934;2,375;0,7875;1,4319;-0,3285;-0,4385;-0,2971;-0,2185;-0,9729;-0,8629;-0,9258;-0,8943;-0,2342;-0,8315;-0,3914;-0,5171;-0,7686;-0,9572;-0,9415;-0,7529;-0,5014;-0,1242;-0,3914;-0,4542;0,3159;-0,187;-0,7686;-0,7843;-0,0299;0,8189
"1638";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1638"" target=""_blank"">DCT</a>";"protein-coding";"dopachrome tautomerase";"Cluster_7";-0,264;-0,4102;-0,4256;-0,3332;-0,4179;-0,4179;-0,5025;-0,5179;-0,0331;-0,4179;-0,441;-0,4025;-0,3948;-0,3409;-0,3794;-0,4179;-0,4025;-0,2717;-0,3794;-0,2717;-0,5025;-0,2409;-0,0793;-0,3025;-0,5487;1,8524;1,8755;1,8062;2,3681;3,0838;3,8842;0,6442;2,3527;2,0448;-0,2255;-0,4872;-0,5949;-0,6026;-0,5256;-0,3255;-0,3255;-0,4256;-0,2717;-0,4179;-0,3486;-0,3871;-0,3563;-0,5718;-0,5487;-0,4025;-0,4949;-0,3332;-0,2563;-0,5256;-0,441;-0,4025;-0,4102;-0,4025;-0,264;-0,4487
"1780";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1780"" target=""_blank"">DYNC1I1</a>";"protein-coding";"dynein, cytoplasmic 1, intermediate chain 1";"Cluster_7";0,4401;-0,4648;-0,4648;-0,5539;-0,5094;-0,8061;-0,2126;0,0841;3,3034;-0,1681;2,2649;-0,45;-0,45;-0,4203;-0,3462;-0,7764;-0,0198;-0,8506;-0,4797;-0,5687;-0,5539;0,2918;0,0396;-0,3313;-0,5984;1,1522;1,2857;0,3659;1,5528;2,977;1,8198;0,0247;2,3687;2,5022;-0,1533;-0,8506;-0,5687;-0,5984;-0,183;-0,7912;-0,6577;-0,4648;-0,3907;0,6478;0,0544;-0,4055;-0,8506;-0,1385;-0,9841;-0,6577;-0,0049;-0,3462;-0,5835;-0,4648;-0,5687;-0,717;-0,3907;-0,2423;-0,45;-0,6874
"1846";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1846"" target=""_blank"">DUSP4</a>";"protein-coding";"dual specificity phosphatase 4";"Cluster_7";-0,3534;0,2079;-0,9861;0,297;-0,1752;0,3683;-0,2822;-1,0128;-0,7009;-0,4515;-0,6208;0,8851;0,101;0,4039;-0,7277;-0,3089;1,6959;0,8316;-0,7544;-1,0841;-0,9593;-0,8435;-0,202;0,1099;-1,3158;2,9612;1,9187;1,8029;2,2395;1,1613;1,3484;0,9831;1,2059;1,4197;0,8138;0,5019;0,0921;-0,202;-1,0128;-0,2733;0,2257;1,491;-0,4782;-0,1752;-0,6386;-0,8613;0,6267;-1,093;-0,3445;-1,0752;1,0989;-1,0841;-0,8168;-0,8257;-0,7633;-0,8168;-1,0395;-0,8524;-0,9148;-0,7455
"1893";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1893"" target=""_blank"">ECM1</a>";"protein-coding";"extracellular matrix protein 1";"Cluster_7";-0,3521;0,8183;0,901;-0,6949;-0,6358;-0,2457;-0,1393;1,1847;-0,3994;-0,3048;-0,3403;1,0192;-0,754;-0,7659;-0,6476;-0,6713;-0,0447;-0,6713;-0,8131;-0,6831;-0,0329;-0,6831;-0,5767;-0,6713;0,8656;2,2487;0,9483;0,2626;1,1966;2,1423;2,6861;1,8704;2,2605;2,2487;-0,6122;-0,5767;-0,8604;-0,3757;-0,7777;-0,9077;-0,9195;-0,5294;-0,5531;-0,9077;-0,5649;-0,5058;-0,1511;0,1444;-1,0378;0,6173;-0,6122;-0,7659;-0,4467;-0,1275;0,2626;-0,6476;-0,624;2,2014;-0,4585;-0,7895
