"","Collection","Gene_set","Size","NES_b_cell","PValue_b_cell","FDR_b_cell","SLE>Control","NES_t_cell","PValue_t_cell","FDR_t_cell","SLE>Control"
"11643","C7_Immunologic_signatures","C7_ALL_872_GSE20151_CTRL_VS_FUSOBACT_NUCLEATUM_NEUTROPHIL_DN",197,-1.065,0.33,0.43,"No",1.4107,0,0.034,"Yes"
"11644","GO_BP","515997_GO_0071071_REGULATION_OF_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS",11,-1.065,0.38,0.53,"No",0.8305,0.64,1,"Yes"
"11645","GO_MF","487204_GO_0000980_RNA_POLYMERASE_II_DISTAL_ENHANCER_SEQUENCE_SPECIFIC_DNA_BINDING",57,-1.0649,0.36,0.57,"No",-1.2709,0.12,0.82,"No"
"11646","GO_BP","510766_GO_0048711_POSITIVE_REGULATION_OF_ASTROCYTE_DIFFERENTIATION",10,-1.0649,0.4,0.53,"No",-1.1967,0.25,0.89,"No"
"11647","GO_CC","513634_GO_0060076_EXCITATORY_SYNAPSE",22,-1.0649,0.38,0.65,"No",-1.3237,0.13,0.65,"No"
"11648","KEGG_compound","C04570_REDUCED_ELECTRON_TRANSFERRING_FLAVOPROTEIN_REDUCED_ELECTRON_TRANSFER_FLAVOPROTEIN",5,-1.0648,0.41,0.54,"No",0.6764,0.85,1,"Yes"
"11649","C3_TF_targets","C3_TFT_464_V_SP1_Q4_01",256,-1.0647,0.34,0.42,"No",-1.3772,0.015,0.19,"No"
"11650","OMIM_gene","OMIM602621_COXSACKIEVIRUS_AND_ADENOVIRUS_RECEPTOR_CXADR",6,-1.0647,0.39,0.83,"No",-1.0454,0.42,0.76,"No"
"11651","GO_BP","494866_GO_0010801_NEGATIVE_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION",13,-1.0646,0.39,0.53,"No",1.1918,0.24,0.79,"Yes"
"11652","C4_Cancer_gene_neighborhoods","C4_CGN_279_CAR_MYST2",26,-1.0645,0.37,0.57,"No",-1.1806,0.23,0.69,"No"
"11653","GO_BP","518470_GO_0090330_REGULATION_OF_PLATELET_AGGREGATION",12,-1.0644,0.4,0.53,"No",1.2828,0.17,0.7,"Yes"
"11654","C2_Chemical_and_genetic_perturbations","C2_CGP_915_FURUKAWA_DUSP6_TARGETS_PCI35_UP",72,-1.0644,0.36,0.46,"No",0.9931,0.43,0.81,"Yes"
"11655","GO_BP","504928_GO_0035751_REGULATION_OF_LYSOSOMAL_LUMEN_PH",5,-1.0644,0.42,0.53,"No",-0.5898,0.93,1,"No"
"11656","GO_BP","503962_GO_0034763_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT",62,-1.0643,0.35,0.53,"No",1.0747,0.33,0.93,"Yes"
"11657","GO_MF","754628_GO_1901677_PHOSPHATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",24,-1.0641,0.36,0.57,"No",-0.8241,0.74,1,"No"
"11658","GO_BP","1129564_GO_1903749_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION",92,-1.0641,0.37,0.53,"No",1.24,0.11,0.75,"Yes"
"11659","GO_CC","492610_GO_0008287_PROTEIN_SERINE_THREONINE_PHOSPHATASE_COMPLEX",45,-1.0641,0.37,0.65,"No",-0.7856,0.83,1,"No"
"11660","C1_Positional","C1_ALL_89_CHR14Q23",47,-1.064,0.36,0.88,"No",0.7579,0.87,0.98,"Yes"
"11661","GO_BP","488703_GO_0002830_POSITIVE_REGULATION_OF_TYPE_2_IMMUNE_RESPONSE",12,-1.064,0.38,0.54,"No",0.9332,0.53,1,"Yes"
"11662","GO_MF","487449_GO_0004197_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY",102,-1.0639,0.34,0.57,"No",-0.7741,0.92,1,"No"
"11663","C3_TF_targets","C3_TFT_491_GTCNYYATGR_UNKNOWN",111,-1.0639,0.34,0.43,"No",-0.9901,0.48,0.78,"No"
"11664","C2_Chemical_and_genetic_perturbations","C2_CGP_908_KREPPEL_CD99_TARGETS_DN",8,-1.0639,0.39,0.47,"No",-0.5918,0.93,1,"No"
"11665","REACTOME","530745_REACT_115828_DOWNREGULATION_OF_ERBB4_SIGNALING",8,-1.0638,0.38,0.56,"No",1.5016,0.057,0.14,"Yes"
"11666","C2_Chemical_and_genetic_perturbations","C2_CGP_1396_CHEOK_RESPONSE_TO_MERCAPTOPURINE_AND_LD_MTX_DN",21,-1.0637,0.36,0.47,"No",1.4119,0.089,0.29,"Yes"
"11667","GO_BP","494886_GO_0010822_POSITIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION",136,-1.0637,0.35,0.54,"No",1.2799,0.051,0.7,"Yes"
"11668","C1_Positional","C1_ALL_186_CHR4P15",47,-1.0634,0.36,0.87,"No",0.8136,0.77,0.93,"Yes"
"11669","GO_MF","489282_GO_0003755_PEPTIDYL_PROLYL_CIS_TRANS_ISOMERASE_ACTIVITY",41,-1.0634,0.37,0.57,"No",1.3064,0.09,0.6,"Yes"
"11670","C4_Cancer_modules","C4_CM_137_MODULE_145",108,-1.0633,0.34,0.48,"No",0.9299,0.64,0.8,"Yes"
"11671","GO_BP","495191_GO_0014743_REGULATION_OF_MUSCLE_HYPERTROPHY",30,-1.0633,0.38,0.54,"No",-0.6677,0.93,1,"No"
"11672","C2_Chemical_and_genetic_perturbations","C2_CGP_194_OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_DN",267,-1.0632,0.33,0.47,"No",1.2434,0.042,0.45,"Yes"
"11673","GO_MF","490375_GO_0005109_FRIZZLED_BINDING",37,-1.0632,0.38,0.57,"No",-1.4007,0.058,0.63,"No"
"11674","GO_MF","490288_GO_0005001_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_PHOSPHATASE_ACTIVITY",17,-1.0631,0.38,0.57,"No",1.4346,0.062,0.45,"Yes"
"11675","C1_Positional","C1_ALL_116_CHR13Q34",37,-1.0631,0.36,0.87,"No",-1.1937,0.2,1,"No"
"11676","GO_MF","501684_GO_0032452_HISTONE_DEMETHYLASE_ACTIVITY",33,-1.0628,0.36,0.57,"No",-1.6181,0.015,0.45,"No"
"11677","C2_Chemical_and_genetic_perturbations","C2_CGP_1489_BROWN_MYELOID_CELL_DEVELOPMENT_DN",129,-1.0626,0.35,0.47,"No",1.0638,0.29,0.69,"Yes"
"11678","OMIM_gene","OMIM103220_SOLUTE_CARRIER_FAMILY_25_MITOCHONDRIAL_CARRIER_ADENINE_NUCLEOTIDE_TRANSLOCATOR_MEMBER_4_SLC25A4",5,-1.0625,0.42,0.81,"No",-0.7545,0.75,1,"No"
"11679","GO_BP","946557_GO_0098900_REGULATION_OF_ACTION_POTENTIAL",30,-1.0625,0.39,0.54,"No",-1.2332,0.14,0.9,"No"
"11680","GO_MF","496624_GO_0016702_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_SINGLE_DONORS_WITH_INCORPORATION_OF_MOLECULAR_OXYGEN_INCORPORATION_OF_TWO_ATOMS_OF_OXYGEN",25,-1.0625,0.36,0.57,"No",-0.8256,0.74,1,"No"
"11681","C2_Chemical_and_genetic_perturbations","C2_CGP_2639_MEISSNER_NPC_ICP_WITH_H3_UNMETHYLATED",23,-1.0625,0.38,0.47,"No",-1.1864,0.21,0.81,"No"
"11682","C7_Immunologic_signatures","C7_ALL_476_GSE17721_CTRL_VS_POLYIC_12H_BMDM_DN",198,-1.0624,0.31,0.44,"No",0.7867,0.98,1,"Yes"
"11683","GO_BP","488951_GO_0003157_ENDOCARDIUM_DEVELOPMENT",11,-1.0624,0.4,0.54,"No",-0.7311,0.81,1,"No"
"11684","GO_BP","491991_GO_0007191_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY",11,-1.0623,0.39,0.54,"No",1.3347,0.15,0.62,"Yes"
"11685","GO_CC","496436_GO_0016459_MYOSIN_COMPLEX",62,-1.0623,0.36,0.65,"No",-1.0746,0.34,0.81,"No"
"11686","C2_Chemical_and_genetic_perturbations","C2_CGP_2405_KUUSELO_PANCREATIC_CANCER_19Q13_AMPLIFICATION",32,-1.0623,0.37,0.47,"No",0.9283,0.57,0.89,"Yes"
"11687","GO_BP","498079_GO_0019227_NEURONAL_ACTION_POTENTIAL_PROPAGATION",8,-1.0623,0.39,0.54,"No",-0.7336,0.82,1,"No"
"11688","GO_BP","492888_GO_0008645_HEXOSE_TRANSPORT",72,-1.0623,0.38,0.54,"No",0.9207,0.62,1,"Yes"
"11689","C3_TF_targets","C3_TFT_172_CATRRAGC_UNKNOWN",133,-1.0622,0.37,0.43,"No",0.9946,0.5,1,"Yes"
"11690","C3_TF_targets","C3_TFT_280_V_AP2GAMMA_01",248,-1.062,0.31,0.43,"No",-1.2605,0.047,0.26,"No"
"11691","GO_BP","492267_GO_0048535_LYMPH_NODE_DEVELOPMENT",17,-1.0619,0.37,0.54,"No",0.6584,0.92,1,"Yes"
"11692","C1_Positional","C1_ALL_137_CHR13Q22",16,-1.0619,0.37,0.86,"No",-0.8909,0.61,1,"No"
"11693","GO_MF","504438_GO_0035254_GLUTAMATE_RECEPTOR_BINDING",31,-1.0619,0.36,0.57,"No",-1.3576,0.081,0.69,"No"
"11694","KEGG_pathway","HSA05210_COLORECTAL_CANCER",62,-1.0619,0.36,0.42,"No",-0.8035,0.85,0.99,"No"
"11695","C4_Cancer_gene_neighborhoods","C4_CGN_159_MORF_PTPN9",58,-1.0618,0.35,0.58,"No",-0.8414,0.74,1,"No"
"11696","C4_Cancer_gene_neighborhoods","C4_CGN_226_GCM_DLG1",77,-1.0617,0.37,0.57,"No",0.7324,0.96,1,"Yes"
"11697","GO_BP","492035_GO_0007256_ACTIVATION_OF_JNKK_ACTIVITY",6,-1.0617,0.41,0.54,"No",-0.892,0.59,1,"No"
"11698","GO_MF","490520_GO_0005313_L_GLUTAMATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",13,-1.0617,0.38,0.57,"No",0.9664,0.47,0.91,"Yes"
"11699","GO_CC","503566_GO_0034364_HIGH_DENSITY_LIPOPROTEIN_PARTICLE",25,-1.0616,0.35,0.65,"No",0.9658,0.51,0.83,"Yes"
"11700","C2_Chemical_and_genetic_perturbations","C2_CGP_2035_LOPES_METHYLATED_IN_COLON_CANCER_DN",28,-1.0616,0.38,0.47,"No",0.9366,0.52,0.88,"Yes"
"11701","REACTOME","161061_REACT_19140_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1",24,-1.0616,0.38,0.57,"No",0.7713,0.84,1,"Yes"
"11702","C3_MicroRNA_targets","C3_MIR_190_CAGTCAC_MIR_134",52,-1.0616,0.35,0.52,"No",0.6372,0.97,1,"Yes"
"11703","C2_Chemical_and_genetic_perturbations","C2_CGP_82_TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_UP",43,-1.0615,0.36,0.47,"No",0.6967,0.95,1,"Yes"
"11704","GO_BP","491515_GO_0006622_PROTEIN_TARGETING_TO_LYSOSOME",13,-1.0615,0.39,0.54,"No",0.7813,0.78,1,"Yes"
"11705","KEGG_pathway","HSA00532_GLYCOSAMINOGLYCAN_BIOSYNTHESIS",20,-1.0614,0.35,0.42,"No",0.4552,1,1,"Yes"
"11706","C2_Chemical_and_genetic_perturbations","C2_CGP_739_AIYAR_COBRA1_TARGETS_DN",28,-1.0614,0.37,0.47,"No",0.9465,0.52,0.87,"Yes"
"11707","C2_Chemical_and_genetic_perturbations","C2_CGP_2967_MURAKAMI_UV_RESPONSE_1HR_UP",15,-1.0614,0.38,0.47,"No",1.6139,0.02,0.13,"Yes"
"11708","GO_BP","487981_GO_0002092_POSITIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION",20,-1.0613,0.38,0.54,"No",-0.6726,0.91,1,"No"
"11709","C7_Immunologic_signatures","C7_ALL_511_GSE17721_CTRL_VS_GARDIQUIMOD_0_5H_BMDM_UP",200,-1.061,0.33,0.44,"No",1.0706,0.25,0.52,"Yes"
"11710","GO_BP","507418_GO_0045008_DEPYRIMIDINATION",5,-1.061,0.43,0.54,"No",1.3812,0.13,0.57,"Yes"
"11711","GO_BP","491954_GO_0007141_MALE_MEIOSIS_I",16,-1.0607,0.38,0.54,"No",-0.757,0.8,1,"No"
"11712","GO_BP","499620_GO_0030210_HEPARIN_BIOSYNTHETIC_PROCESS",8,-1.0606,0.38,0.54,"No",0.8056,0.72,1,"Yes"
"11713","GO_MF","496868_GO_0017046_PEPTIDE_HORMONE_BINDING",35,-1.0604,0.37,0.57,"No",1.5603,0.028,0.33,"Yes"
"11714","C1_Positional","C1_ALL_44_CHR3P14",41,-1.0604,0.37,0.86,"No",1.2979,0.087,0.53,"Yes"
"11715","C2_Chemical_and_genetic_perturbations","C2_CGP_1924_NIELSEN_LEIOMYOSARCOMA_CNN1_UP",19,-1.0601,0.37,0.47,"No",-0.8852,0.61,1,"No"
"11716","C3_MicroRNA_targets","C3_MIR_124_GCAAGAC_MIR_431",45,-1.06,0.36,0.52,"No",0.7629,0.88,1,"Yes"
"11717","C4_Cancer_gene_neighborhoods","C4_CGN_144_MORF_PML",140,-1.0599,0.35,0.57,"No",-0.9875,0.51,0.87,"No"
"11718","C2_Chemical_and_genetic_perturbations","C2_CGP_2196_OSADA_ASCL1_TARGETS_UP",43,-1.0598,0.36,0.47,"No",-0.781,0.84,1,"No"
"11719","C2_Chemical_and_genetic_perturbations","C2_CGP_2127_KONDO_EZH2_TARGETS",239,-1.0598,0.33,0.47,"No",1.1649,0.11,0.53,"Yes"
"11720","GO_CC","502240_GO_0033018_SARCOPLASMIC_RETICULUM_LUMEN",8,-1.0598,0.38,0.65,"No",-0.8317,0.69,0.99,"No"
"11721","REACTOME","645327_REACT_121280_SYNTHESIS_OF_PG",8,-1.0597,0.38,0.57,"No",0.8025,0.73,1,"Yes"
"11722","C7_Immunologic_signatures","C7_ALL_455_GSE17721_CTRL_VS_LPS_6H_BMDM_UP",200,-1.0595,0.35,0.45,"No",1.1107,0.18,0.42,"Yes"
"11723","C2_Chemical_and_genetic_perturbations","C2_CGP_2493_JU_AGING_TERC_TARGETS_UP",9,-1.0595,0.4,0.47,"No",0.9214,0.54,0.9,"Yes"
"11724","GO_BP","753037_GO_1900040_REGULATION_OF_INTERLEUKIN_2_SECRETION",7,-1.0595,0.4,0.54,"No",-0.9476,0.53,1,"No"
"11725","C4_Cancer_modules","C4_CM_57_MODULE_61",50,-1.0593,0.35,0.49,"No",1.2374,0.13,0.34,"Yes"
"11726","GO_BP","496864_GO_0046886_POSITIVE_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS",9,-1.0591,0.38,0.54,"No",1.0941,0.35,0.91,"Yes"
"11727","C2_Chemical_and_genetic_perturbations","C2_CGP_1145_AMIT_SERUM_RESPONSE_20_MCF10A",21,-1.0589,0.37,0.47,"No",1.1543,0.22,0.55,"Yes"
"11728","GO_CC","501370_GO_0032133_CHROMOSOME_PASSENGER_COMPLEX",5,-1.0589,0.41,0.65,"No",-1.0007,0.49,0.87,"No"
"11729","C7_Immunologic_signatures","C7_ALL_1738_GSE5463_CTRL_VS_DEXAMETHASONE_TREATED_THYMOCYTE_DN",197,-1.0589,0.34,0.45,"No",1.8129,0,2.9e-05,"Yes"
"11730","GO_BP","491687_GO_0006818_HYDROGEN_TRANSPORT",119,-1.0588,0.35,0.54,"No",1.7812,0,0.12,"Yes"
"11731","C7_Immunologic_signatures","C7_ALL_1589_GSE3982_EOSINOPHIL_VS_MAC_UP",193,-1.0587,0.35,0.45,"No",-0.7768,0.97,1,"No"
"11732","C4_Cancer_modules","C4_CM_44_MODULE_48",317,-1.0585,0.34,0.49,"No",-0.9344,0.65,0.88,"No"
"11733","GO_MF","492536_GO_0008194_UDP_GLYCOSYLTRANSFERASE_ACTIVITY",133,-1.0585,0.35,0.57,"No",1.1568,0.14,0.74,"Yes"
"11734","C7_Immunologic_signatures","C7_ALL_633_GSE17721_POLYIC_VS_CPG_24H_BMDM_UP",194,-1.0584,0.36,0.45,"No",1.3894,0.012,0.041,"Yes"
"11735","C2_Chemical_and_genetic_perturbations","C2_CGP_1989_SUZUKI_RESPONSE_TO_TSA",21,-1.0584,0.41,0.47,"No",0.6851,0.9,1,"Yes"
"11736","GO_CC","486679_GO_0000145_EXOCYST",17,-1.0583,0.39,0.65,"No",-0.8926,0.63,0.95,"No"
"11737","GO_BP","1129254_GO_0089711_L_GLUTAMATE_TRANSMEMBRANE_TRANSPORT",13,-1.0583,0.4,0.54,"No",0.9759,0.46,1,"Yes"
"11738","GO_MF","500947_GO_0031701_ANGIOTENSIN_RECEPTOR_BINDING",11,-1.0582,0.41,0.57,"No",1.4035,0.091,0.47,"Yes"
"11739","C7_Immunologic_signatures","C7_ALL_414_GSE15930_STIM_VS_STIM_AND_IFNAB_24H_CD8_T_CELL_DN",196,-1.0581,0.34,0.45,"No",1.1501,0.14,0.32,"Yes"
"11740","C1_Positional","C1_ALL_280_CHR8Q11",22,-1.0581,0.37,0.86,"No",0.7581,0.85,0.98,"Yes"
"11741","GO_BP","489306_GO_0030042_ACTIN_FILAMENT_DEPOLYMERIZATION",8,-1.058,0.4,0.54,"No",-1.0876,0.36,0.95,"No"
"11742","C3_TF_targets","C3_TFT_211_V_ZF5_B",233,-1.0579,0.34,0.44,"No",-1.1692,0.13,0.41,"No"
"11743","GO_BP","505330_GO_0042168_HEME_METABOLIC_PROCESS",30,-1.0579,0.39,0.54,"No",1.0745,0.36,0.93,"Yes"
"11744","GO_BP","493568_GO_0009395_PHOSPHOLIPID_CATABOLIC_PROCESS",25,-1.0578,0.38,0.54,"No",-0.6312,0.95,1,"No"
"11745","C2_Chemical_and_genetic_perturbations","C2_CGP_697_LUI_THYROID_CANCER_CLUSTER_1",51,-1.0578,0.37,0.48,"No",-1.1727,0.21,0.82,"No"
"11746","C7_Immunologic_signatures","C7_ALL_524_GSE17721_CTRL_VS_GARDIQUIMOD_12H_BMDM_DN",192,-1.0578,0.34,0.45,"No",1.1936,0.095,0.24,"Yes"
"11747","C2_Chemical_and_genetic_perturbations","C2_CGP_1511_WANG_TARGETS_OF_MLL_CBP_FUSION_DN",45,-1.0578,0.36,0.47,"No",1.1402,0.26,0.57,"Yes"
"11748","C2_Chemical_and_genetic_perturbations","C2_CGP_1894_BURTON_ADIPOGENESIS_11",57,-1.0575,0.36,0.48,"No",0.839,0.77,0.98,"Yes"
"11749","C3_TF_targets","C3_TFT_469_GGCNNMSMYNTTG_UNKNOWN",75,-1.0575,0.37,0.44,"No",1.3486,0.042,0.4,"Yes"
"11750","GO_MF","492492_GO_0008138_PROTEIN_TYROSINE_SERINE_THREONINE_PHOSPHATASE_ACTIVITY",42,-1.0574,0.36,0.57,"No",0.8186,0.77,1,"Yes"
"11751","GO_MF","509161_GO_0046970_NAD_DEPENDENT_HISTONE_DEACETYLASE_ACTIVITY_H4_K16_SPECIFIC_",12,-1.0574,0.4,0.57,"No",-1.1912,0.27,0.79,"No"
"11752","C7_Immunologic_signatures","C7_ALL_778_GSE17974_0H_VS_24H_IN_VITRO_ACT_CD4_TCELL_DN",199,-1.0573,0.36,0.45,"No",-1.0277,0.39,1,"No"
"11753","GO_BP","499239_GO_0021960_ANTERIOR_COMMISSURE_MORPHOGENESIS",6,-1.0573,0.41,0.55,"No",1.0017,0.45,0.98,"Yes"
"11754","GO_BP","487613_GO_0001710_MESODERMAL_CELL_FATE_COMMITMENT",13,-1.0573,0.4,0.55,"No",1.3568,0.11,0.6,"Yes"
"11755","GO_BP","491265_GO_0006306_DNA_METHYLATION",71,-1.0572,0.36,0.55,"No",-1.714,0,0.72,"No"
"11756","C1_Positional","C1_ALL_310_CHR6P",8,-1.0572,0.39,0.85,"No",-1.5383,0.045,0.59,"No"
"11757","C7_Immunologic_signatures","C7_ALL_411_GSE15930_STIM_VS_STIM_AND_IL_12_24H_CD8_T_CELL_UP",198,-1.0572,0.36,0.45,"No",1.7088,0,0.00056,"Yes"
"11758","C3_TF_targets","C3_TFT_357_V_TEL2_Q6",233,-1.057,0.34,0.44,"No",0.8065,0.97,1,"Yes"
"11759","GO_BP","502835_GO_0033619_MEMBRANE_PROTEIN_PROTEOLYSIS",34,-1.057,0.38,0.55,"No",0.5907,0.99,1,"Yes"
"11760","C2_Chemical_and_genetic_perturbations","C2_CGP_622_BAKER_HEMATOPOIESIS_STAT3_TARGETS",16,-1.057,0.39,0.48,"No",1.3396,0.13,0.35,"Yes"
"11761","GO_MF","490465_GO_0005223_INTRACELLULAR_CGMP_ACTIVATED_CATION_CHANNEL_ACTIVITY",7,-1.0567,0.4,0.57,"No",0.6895,0.85,1,"Yes"
"11762","GO_MF","500669_GO_0031418_L_ASCORBIC_ACID_BINDING",21,-1.0564,0.38,0.57,"No",-1.0652,0.39,0.86,"No"
"11763","GO_BP","508440_GO_0051197_POSITIVE_REGULATION_OF_COENZYME_METABOLIC_PROCESS",13,-1.0564,0.38,0.55,"No",1.2097,0.22,0.78,"Yes"
"11764","KEGG_reaction","R00089_ATP_DIPHOSPHATE_LYASE_CYCLIZING_3_5_CYCLIC_AMP_FORMING_ATP_3_5_CYCLIC_AMP_DIPHOSPHATE",10,-1.0563,0.4,0.54,"No",-1.0947,0.35,0.68,"No"
"11765","C2_Chemical_and_genetic_perturbations","C2_CGP_1456_VERNELL_RETINOBLASTOMA_PATHWAY_DN",22,-1.0562,0.38,0.48,"No",-0.6123,0.95,1,"No"
"11766","OMIM_gene","OMIM600538_PEROXIREDOXIN_2_PRDX2",5,-1.0561,0.43,0.79,"No",1.3339,0.15,0.84,"Yes"
"11767","C2_Chemical_and_genetic_perturbations","C2_CGP_2195_FUJII_YBX1_TARGETS_DN",201,-1.0561,0.36,0.48,"No",1.1001,0.19,0.63,"Yes"
"11768","C2_Chemical_and_genetic_perturbations","C2_CGP_1604_BROWNE_HCMV_INFECTION_20HR_UP",240,-1.0561,0.34,0.48,"No",-1.0569,0.3,0.97,"No"
"11769","C6_Oncogenic_signatures","C6_ALL_95_ESC_J1_UP_LATE_V1_DN",174,-1.056,0.34,0.41,"No",-0.9107,0.68,0.87,"No"
"11770","C2_Chemical_and_genetic_perturbations","C2_CGP_2492_LUDWICZEK_TREATING_IRON_OVERLOAD",7,-1.0559,0.42,0.48,"No",1.1834,0.27,0.51,"Yes"
"11771","C7_Immunologic_signatures","C7_ALL_1243_GSE2826_XID_VS_BTK_KO_BCELL_UP",196,-1.0558,0.38,0.45,"No",1.509,0.0072,0.011,"Yes"
"11772","GO_BP","518410_GO_0090270_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_PRODUCTION",5,-1.0557,0.43,0.55,"No",-1.0489,0.39,0.97,"No"
"11773","GO_BP","509093_GO_0046880_REGULATION_OF_FOLLICLE_STIMULATING_HORMONE_SECRETION",5,-1.0556,0.42,0.55,"No",0.8903,0.57,1,"Yes"
"11774","C7_Immunologic_signatures","C7_ALL_714_GSE17721_0_5H_VS_24H_LPS_BMDM_DN",199,-1.0554,0.33,0.45,"No",0.906,0.73,1,"Yes"
"11775","C2_Chemical_and_genetic_perturbations","C2_CGP_2330_MATZUK_EARLY_ANTRAL_FOLLICLE",13,-1.0554,0.41,0.48,"No",1.0405,0.42,0.73,"Yes"
"11776","WikiPathways","198858_WP1602_NICOTINE_ACTIVITY_ON_DOPAMINERGIC_NEURONS",21,-1.0552,0.38,0.49,"No",-0.8872,0.64,1,"No"
"11777","KEGG_compound","C16608_DEMETHYLCITALOPRAM",5,-1.0551,0.41,0.56,"No",-0.9719,0.5,1,"No"
"11778","C3_MicroRNA_targets","C3_MIR_210_TGCAAAC_MIR_452",106,-1.0551,0.36,0.53,"No",-0.9071,0.67,1,"No"
"11779","GO_BP","499629_GO_0030219_MEGAKARYOCYTE_DIFFERENTIATION",21,-1.055,0.4,0.55,"No",0.9875,0.47,0.99,"Yes"
"11780","GO_BP","509676_GO_0047497_MITOCHONDRION_TRANSPORT_ALONG_MICROTUBULE",9,-1.055,0.39,0.55,"No",-0.9283,0.54,1,"No"
"11781","GO_BP","504215_GO_0035025_POSITIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION",11,-1.0549,0.41,0.55,"No",0.724,0.82,1,"Yes"
"11782","GO_MF","490460_GO_0005218_INTRACELLULAR_LIGAND_GATED_CALCIUM_CHANNEL_ACTIVITY",10,-1.0548,0.4,0.58,"No",-0.9224,0.54,0.96,"No"
"11783","C2_Chemical_and_genetic_perturbations","C2_CGP_2206_DAIRKEE_CANCER_PRONE_RESPONSE_E2",28,-1.0547,0.41,0.48,"No",-0.8527,0.71,1,"No"
"11784","GO_BP","516987_GO_0072070_LOOP_OF_HENLE_DEVELOPMENT",10,-1.0547,0.38,0.55,"No",-1.3101,0.16,0.87,"No"
"11785","GO_BP","518364_GO_0090224_REGULATION_OF_SPINDLE_ORGANIZATION",24,-1.0546,0.37,0.55,"No",1.0897,0.34,0.92,"Yes"
"11786","C7_Immunologic_signatures","C7_ALL_1042_GSE24142_ADULT_VS_FETAL_EARLY_THYMIC_PROGENITOR_DN",197,-1.0545,0.35,0.46,"No",1.4859,0,0.015,"Yes"
"11787","GO_BP","494936_GO_0010872_REGULATION_OF_CHOLESTEROL_ESTERIFICATION",10,-1.0545,0.41,0.55,"No",0.9,0.57,1,"Yes"
"11788","REACTOME","106540_REACT_7970_TELOMERE_MAINTENANCE",78,-1.0545,0.36,0.58,"No",-1.0494,0.36,0.94,"No"
"11789","KEGG_pathway","HSA00310_LYSINE_DEGRADATION",52,-1.0544,0.38,0.43,"No",-1.387,0.05,0.36,"No"
"11790","GO_BP","499853_GO_0030514_NEGATIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY",42,-1.0544,0.38,0.55,"No",0.7232,0.93,1,"Yes"
"11791","C2_Chemical_and_genetic_perturbations","C2_CGP_3124_BHAT_ESR1_TARGETS_VIA_AKT1_UP",276,-1.0543,0.35,0.48,"No",-1.3113,0.018,0.69,"No"
"11792","GO_BP","493348_GO_0009151_PURINE_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS",16,-1.0543,0.4,0.55,"No",0.827,0.72,1,"Yes"
"11793","GO_MF","496670_GO_0016757_TRANSFERASE_ACTIVITY_TRANSFERRING_GLYCOSYL_GROUPS",269,-1.0542,0.34,0.58,"No",1.1301,0.14,0.75,"Yes"
"11794","C2_Chemical_and_genetic_perturbations","C2_CGP_2348_GRADE_COLON_VS_RECTAL_CANCER_DN",55,-1.0541,0.36,0.48,"No",-0.9592,0.52,1,"No"
"11795","GO_BP","508144_GO_0045821_POSITIVE_REGULATION_OF_GLYCOLYTIC_PROCESS",13,-1.0541,0.42,0.55,"No",1.1653,0.26,0.82,"Yes"
"11796","REACTOME","106056_REACT_15381_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS",15,-1.0541,0.41,0.58,"No",1.853,0.0021,0.013,"Yes"
"11797","GO_CC","506357_GO_0043296_APICAL_JUNCTION_COMPLEX",123,-1.0538,0.37,0.66,"No",-0.9982,0.45,0.86,"No"
"11798","C7_Immunologic_signatures","C7_ALL_1314_GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_MDC_DN",197,-1.0538,0.35,0.46,"No",-0.8964,0.75,1,"No"
"11799","GO_BP","491378_GO_0006476_PROTEIN_DEACETYLATION",43,-1.0537,0.39,0.55,"No",-1.2722,0.13,0.89,"No"
"11800","C2_Chemical_and_genetic_perturbations","C2_CGP_2360_NAKAMURA_METASTASIS_MODEL_UP",42,-1.0536,0.37,0.48,"No",0.9575,0.53,0.86,"Yes"
