"","ND410-B","ND422-B","ND426-B","SLE1077-B","SLE1169-B","SLE985-B","ND410-T","ND422-T","ND426-T","SLE1077-T","SLE1169-T","SLE985-T","ND410-M","ND422-M","ND430-M","SLE1077-M","SLE1169-M","SLE985-M"
"55855",1,0,4,1,0,0,1,2,0,0,5,1,6,11,6,0,2,1
"55856",176,200,360,77,142,76,521,621,1156,75,177,76,168,155,185,111,180,152
"55857",73,74,53,42,39,37,89,67,31,53,95,50,26,54,46,25,11,21
"55858",92,135,94,40,86,46,51,53,43,26,51,28,213,212,170,77,137,94
"55859",8,4,0,9,4,6,1,2,0,7,2,10,6,2,12,20,30,19
"55860",56,57,74,112,140,121,37,31,20,43,130,71,83,83,97,69,126,83
"55861",0,0,0,0,1,4,4,0,2,1,3,0,1,0,1,0,1,1
"55862",98,114,104,51,84,70,41,38,25,73,138,57,194,287,273,59,78,84
"55863",45,46,35,42,62,60,35,20,56,51,93,45,75,70,112,32,41,44
"55867",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"55869",61,60,50,34,42,18,22,22,9,22,36,24,63,72,94,48,107,73
"55870",2330,1613,1847,1122,1676,1085,2597,1747,1238,948,1590,876,1845,922,2222,984,1578,1003
"55871",82,58,21,35,37,31,37,24,11,30,78,34,123,145,141,44,62,73
"55872",3,1,4,1,0,1,0,0,0,2,1,2,0,0,0,0,0,0
"55876",125,48,94,18,46,42,225,177,37,43,98,57,16,4,27,11,3,3
"55879",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"55884",94,94,122,63,51,39,51,42,45,48,67,53,205,123,145,161,187,175
"55885",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"55888",3,1,5,5,23,13,5,3,1,15,14,12,1,2,2,0,2,3
"55889",0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"55890",1,3,0,0,0,0,0,0,1,0,0,0,5,2,6,4,3,2
"55891",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
"55892",222,159,307,208,225,182,308,229,222,180,276,201,129,137,219,138,95,136
"55893",405,89,244,328,305,351,75,58,55,74,175,90,85,40,91,66,63,59
"55897",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"55898",67,39,23,18,55,9,54,53,36,13,26,19,57,50,86,16,15,19
"55900",18,19,0,29,52,30,42,17,9,35,60,23,15,27,9,27,32,21
"55901",0,0,14,3,1,0,5,5,9,1,3,2,0,0,1,0,2,0
"55902",29,53,29,5,9,5,31,32,17,13,20,13,117,98,137,33,42,53
"55904",6780,4893,5412,5009,4620,5042,5507,3751,2731,2867,4412,2559,3224,3477,4239,2069,2860,2619
"55905",690,617,818,258,427,302,300,319,138,281,818,265,451,557,708,321,391,265
"55906",41,21,47,54,58,22,30,25,32,21,44,17,13,14,40,4,3,8
"55907",65,65,126,63,115,50,34,26,16,40,123,49,85,112,166,42,92,72
"55908",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55909",49,30,64,43,44,51,24,17,17,31,40,26,47,50,55,66,45,59
"55911",68,169,106,42,25,16,22,38,77,42,16,37,279,176,327,218,358,230
"55914",2146,2208,1638,1396,1057,1255,1383,961,733,892,1150,916,2168,2818,2601,957,1566,1113
"55915",120,142,155,198,196,196,127,84,77,179,148,156,204,203,195,263,204,286
"55916",62,98,43,29,30,25,13,23,7,23,44,27,86,174,102,29,46,81
"55917",172,111,55,95,165,58,45,29,22,35,13,30,321,118,164,192,407,210
"55920",759,951,635,358,456,343,424,468,287,177,248,226,1009,795,1269,636,814,707
"55922",357,265,318,112,207,130,314,203,246,98,258,115,118,146,251,48,43,48
"55924",119,48,83,54,130,55,31,36,27,17,79,24,99,66,132,84,79,76
"55929",44,43,37,57,60,44,58,36,34,28,91,30,20,34,34,22,22,12
"55930",89,27,12,66,88,52,11,10,9,21,7,5,26,14,31,15,8,13
"55937",9,7,1,22,21,20,1,2,6,11,9,7,14,7,4,8,17,9
"55954",5,13,4,5,1,2,3,0,0,0,4,2,11,30,23,3,3,8
"55957",8,6,17,16,6,4,14,15,10,9,12,3,20,13,11,8,8,3
"55958",112,82,66,99,104,103,143,112,47,174,323,131,147,135,149,224,263,235
"55959",408,1025,842,106,90,38,47,150,147,114,12,51,1036,1899,2404,580,919,619
"55964",2,15,3,1,1,1,1,0,1,0,2,0,3,2,1,1,0,0
"55966",0,5,8,0,0,0,2,3,0,1,0,0,1,0,0,0,0,0
"55967",58,71,76,46,62,43,45,9,7,40,81,62,290,112,120,45,46,97
"55968",64,72,91,81,118,106,71,46,51,51,104,78,80,123,205,91,149,113
"55969",3,2,2,0,0,1,2,0,1,1,2,1,0,3,4,4,3,4
"55970",0,3,0,9,4,6,1,3,0,1,6,1,9,0,0,0,4,2
"55971",30,47,31,55,48,32,20,23,4,20,9,10,96,82,177,87,74,54
"55972",98,122,69,35,58,32,50,42,9,21,80,38,105,208,184,35,62,42
"55973",78,109,104,120,99,50,63,43,17,48,53,54,126,71,102,51,79,82
"55974",166,172,207,239,227,239,28,61,22,52,33,47,97,249,158,80,76,82
"55975",126,110,143,70,95,71,113,68,83,55,130,61,100,71,99,35,43,29
"55998",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"55999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0
"56005",26,51,52,28,25,20,10,16,9,20,43,15,79,126,60,42,62,47
"56006",79,44,54,33,59,38,49,51,9,20,43,26,51,92,36,42,96,60
"56033",0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0
"56034",23,23,5,3,4,5,3,3,0,8,1,11,76,30,69,21,28,30
"56052",15,13,23,22,54,14,13,11,4,10,54,23,6,26,26,11,6,9
"56061",54,55,51,71,109,51,102,64,24,68,191,57,56,40,86,29,22,36
"56062",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"56063",27,19,15,56,80,38,17,17,15,17,37,17,18,9,30,30,31,47
"56097",3,0,2,1,2,2,2,0,2,3,0,2,1,0,3,0,0,0
"56098",0,0,0,1,2,1,4,2,0,0,0,1,1,1,4,0,2,5
"56099",3,2,7,1,4,1,6,0,6,2,0,2,1,0,1,1,1,4
"56100",3,0,2,2,6,1,0,0,3,5,2,3,1,2,0,1,1,3
"56101",1,0,0,1,4,1,4,1,6,1,1,4,0,0,0,1,0,1
"56102",4,1,0,5,5,3,2,1,7,2,1,5,1,0,4,0,0,0
"56103",2,1,8,6,6,0,2,1,3,3,0,2,0,0,0,3,0,1
"56104",0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1
"56105",2,0,0,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0
"56106",2,3,5,4,9,3,2,2,12,0,1,4,0,0,0,0,1,4
"56107",0,0,1,3,2,1,1,0,1,1,0,0,0,0,0,1,1,0
"56108",5,0,0,0,1,0,1,1,1,0,1,3,0,1,0,1,0,0
"56109",2,0,0,3,2,1,0,0,0,0,1,1,0,0,0,1,0,5
"56110",2,1,4,0,3,0,0,2,1,1,0,1,0,0,0,0,0,0
"56111",0,0,8,0,0,0,0,0,1,0,1,4,0,0,0,1,0,0
"56112",1,0,0,0,0,0,3,2,2,3,0,3,0,0,0,0,0,0
"56113",0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,2,0,0
"56114",0,0,0,1,1,0,0,0,3,0,1,1,0,0,0,0,0,0
"56120",3,2,1,3,0,0,1,0,9,0,1,2,0,0,0,0,0,2
"56121",0,0,2,0,3,0,1,0,0,2,0,3,0,0,0,0,0,0
"56122",0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0
"56123",0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,1,0,3
"56124",0,0,0,1,1,0,0,0,1,2,0,2,0,0,0,0,0,4
"56125",0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0
"56126",0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1
"56127",1,0,1,0,1,2,0,0,0,2,0,1,0,0,0,1,0,3
"56128",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"56129",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"56130",0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0
"56131",0,1,3,2,0,0,0,1,1,0,1,2,0,0,0,0,0,2
"56132",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"56133",0,1,3,1,1,0,0,1,1,2,0,4,0,0,0,1,0,1
"56134",0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"56135",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
"56136",0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0
"56137",0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0
"56138",0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
"56139",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"56140",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
"56141",0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"56142",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,2
"56143",0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0
"56144",0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,3
"56145",0,0,4,1,0,0,0,0,1,1,0,3,0,0,0,0,0,2
"56146",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
"56147",0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"56154",0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1
"56155",29,22,18,69,36,33,44,23,37,14,9,5,40,47,42,32,25,12
"56156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"56158",0,0,0,2,0,1,0,0,0,1,0,1,1,2,1,1,1,0
"56160",150,88,139,74,79,111,60,36,22,100,228,112,51,42,59,31,35,34
"56163",0,0,1,1,1,0,1,0,0,0,11,0,0,0,0,0,0,0
"56164",4,2,0,0,1,1,2,1,0,1,0,1,0,2,0,1,2,0
"56165",0,1,6,3,2,1,1,0,0,1,4,0,0,0,0,0,2,1
"56169",0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
"56171",2,4,4,0,5,0,5,7,11,2,2,3,1,2,1,1,0,3
"56172",346,326,414,194,363,134,736,466,182,262,675,253,521,94,231,395,788,394
"56180",18,14,17,14,18,18,6,6,9,14,35,12,14,15,18,8,19,9
"56181",56,53,103,21,40,36,45,35,72,37,43,35,63,83,97,25,32,44
"56203",18,34,13,9,13,3,130,128,41,6,31,4,8,12,30,1,4,0
"56204",501,364,356,476,706,373,968,408,206,318,720,276,204,156,242,166,142,150
"56241",1,9,9,0,1,1,8,9,0,0,3,1,0,4,9,1,0,2
"56242",50,11,78,38,98,43,68,40,41,43,117,33,4,7,9,9,2,4
"56243",0,2,0,1,0,0,0,1,0,1,3,5,1,1,0,1,0,1
"56244",2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"56245",1,0,0,0,2,1,1,2,3,3,4,1,1,0,0,0,0,0
"56246",3,1,6,1,1,1,2,3,0,0,2,3,0,0,1,0,0,0
"56252",960,738,817,631,1111,714,1253,838,408,502,1221,513,818,597,888,371,580,359
"56253",31,66,35,6,0,4,60,71,17,89,12,92,149,81,65,49,33,58
"56254",187,191,151,188,346,155,151,106,96,151,414,171,140,212,417,100,147,110
"56255",320,293,315,272,253,175,137,75,133,142,222,157,445,361,355,236,261,261
"56256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56257",441,266,502,156,179,136,216,241,365,65,135,53,165,213,195,103,80,82
"56259",230,193,162,69,72,42,19,41,21,50,50,57,244,227,293,208,394,374
"56260",4,3,6,2,14,1,15,14,1,4,15,6,4,4,2,7,16,2
"56261",1935,1240,1000,1227,950,865,944,659,622,1727,2446,1285,4410,1763,4284,4509,4760,4816
"56262",144,207,372,114,79,73,200,164,236,58,115,63,149,213,144,91,63,89
"56265",1,4,0,6,4,2,0,0,0,1,1,2,2,1,0,1,1,6
"56267",54,57,28,59,59,55,37,40,29,43,80,45,66,94,100,32,26,32
"56269",0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0
"56270",507,231,311,191,205,198,150,117,89,110,180,125,450,316,452,229,257,264
"56271",66,86,67,110,81,113,39,38,6,79,159,84,82,126,107,78,76,79
"56287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56288",6,2,0,11,8,9,4,2,1,21,0,14,8,3,1,0,0,0
"56300",1,1,0,0,0,0,0,3,0,0,0,0,2,13,0,2,9,9
"56301",0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
"56302",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"56311",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"56339",75,48,49,95,130,71,84,72,67,46,125,62,47,65,44,50,37,46
"56341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56342",4,4,15,21,12,14,5,3,0,6,11,10,4,4,7,5,7,11
"56344",2,0,0,2,3,4,1,1,0,8,1,4,4,3,2,1,0,1
"56413",4,2,7,5,3,3,3,4,25,2,4,3,7,6,10,3,1,10
"56474",47,30,41,73,114,77,26,20,8,10,59,23,29,25,46,6,13,22
"56475",0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"56477",11,7,19,73,27,49,12,8,45,19,39,21,0,3,3,2,1,3
"56478",81,53,73,122,142,81,67,64,26,51,80,43,50,39,88,42,61,55
"56479",85,43,96,28,59,37,29,32,18,16,11,19,5,3,7,2,1,5
"56521",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56547",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56548",71,101,15,19,5,10,16,21,2,18,2,20,117,208,52,109,88,111
"56603",1,3,0,0,0,5,1,3,1,1,1,3,1,0,6,0,0,0
"56605",384,362,519,162,164,172,510,338,277,146,163,72,203,217,280,91,104,125
"56606",39,31,23,2,1,1,3,14,7,4,0,3,82,106,99,14,23,38
"56616",90,50,109,80,99,95,58,37,45,62,110,62,68,74,58,67,71,82
"56623",31,19,33,22,45,26,49,24,47,17,22,20,14,14,22,10,5,6
"56624",0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"56647",175,148,181,173,200,168,111,71,36,131,242,136,157,172,280,179,188,183
"56648",48,43,110,49,63,30,39,37,28,38,119,56,29,23,28,19,34,17
"56649",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"56650",683,594,683,321,297,257,709,348,195,477,662,429,944,936,495,453,592,408
"56652",41,22,18,48,101,67,39,21,2,19,71,58,5,6,20,10,7,11
"56654",1,1,2,0,0,2,19,14,8,4,3,19,2,2,2,4,0,0
"56655",100,64,148,35,110,60,47,31,19,27,122,53,102,172,119,73,68,130
"56658",1046,471,375,442,368,518,776,505,430,155,340,192,250,285,352,159,163,140
"56659",1,4,0,2,0,0,0,0,0,0,0,1,8,4,12,4,17,1
"56660",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"56664",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56666",13,10,22,7,1,4,3,3,0,2,0,2,28,19,21,36,31,28
"56667",0,0,2,0,0,0,0,2,0,0,1,2,1,0,1,0,0,2
"56670",1,6,1,4,0,0,0,1,12,3,0,4,5,2,3,5,4,4
"56672",15,4,11,1,9,2,16,9,1,6,26,4,6,11,16,1,3,4
"56673",1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"56674",221,283,177,303,321,284,81,53,51,191,240,171,455,404,572,477,465,530
"56675",249,415,107,133,38,28,131,174,170,142,48,84,1279,1219,1138,1449,1057,1526
"56676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56681",554,507,1168,389,361,521,263,209,404,487,594,392,736,854,615,506,567,665
"56683",114,105,92,50,50,47,65,45,20,29,62,48,45,116,112,19,32,40
"56704",0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"56729",3,5,2,2,1,0,0,1,3,4,0,3,16,15,78,6,6,16
"56731",21,29,84,15,16,6,39,30,19,16,40,28,25,24,41,19,31,13
"56751",0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
"56776",0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
"56829",2371,2606,4213,1033,826,1073,3036,2593,2337,1349,2941,1253,1008,1155,1682,422,264,366
"56832",17,6,5,4,9,4,1,8,3,4,10,0,9,2,11,22,8,9
"56833",3,17,10,6,1,1,4,4,13,1,0,1,13,21,39,4,17,11
"56834",13,4,0,15,16,12,7,4,22,10,6,6,8,15,8,5,2,6
"56848",7,10,10,1,11,10,10,16,0,2,10,4,10,13,20,3,6,3
"56849",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56850",117,112,69,147,186,113,128,92,59,81,116,80,161,132,160,99,125,87
"56851",255,232,333,273,295,275,109,77,98,252,360,236,348,364,345,300,293,435
"56852",146,95,168,134,222,153,214,117,53,140,194,136,49,71,66,26,43,36
"56853",8,3,20,1,4,5,21,26,42,1,6,1,2,5,13,0,0,0
"56882",1450,1458,1481,774,635,808,885,594,501,832,1484,814,1292,1531,1547,1128,1317,1272
"56884",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"56886",334,402,435,319,489,319,265,216,265,199,631,246,505,467,567,187,307,300
"56888",436,362,413,328,357,259,326,241,99,182,315,170,482,402,464,240,284,257
"56889",526,549,435,387,467,390,508,290,243,492,908,562,1196,588,747,472,838,605
"56890",74,62,29,52,65,59,62,20,35,25,47,44,47,57,76,28,10,27
"56891",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"56892",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"56893",73,42,87,30,42,18,92,61,68,22,20,20,27,49,79,48,32,33
"56894",121,197,135,89,136,65,120,96,98,58,133,48,249,267,397,100,79,175
"56895",329,250,77,94,116,55,216,155,260,133,104,107,671,206,677,166,387,222
"56897",174,183,258,167,184,154,165,92,57,100,203,120,109,166,329,83,83,71
"56898",22,16,8,47,43,41,22,1,12,29,97,35,16,14,17,12,12,7
"56899",25,41,27,5,19,10,4,11,3,1,20,3,8,18,43,6,27,4
"56900",359,340,347,308,244,249,138,84,41,256,351,232,642,539,496,501,595,689
"56901",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"56902",113,106,221,123,179,192,67,70,139,97,156,134,75,95,89,99,92,105
"56903",1,1,0,0,0,1,1,0,0,2,1,0,1,0,0,0,0,0
"56904",32,31,27,16,18,15,26,19,13,5,17,17,30,40,37,18,7,19
"56905",251,430,171,250,144,212,68,113,110,170,75,153,850,1084,721,996,721,1350
"56906",1,3,6,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
"56907",51,45,54,56,31,9,26,10,29,64,17,29,157,53,93,241,401,271
"56910",1129,954,1056,867,1168,995,662,471,350,887,1492,843,959,916,1247,452,491,469
"56911",70,34,18,50,83,32,27,26,1,195,9,54,109,128,72,55,40,52
"56912",12,23,30,12,10,7,12,9,11,8,17,9,8,22,18,9,4,5
"56913",250,245,298,181,208,179,230,126,186,150,171,131,181,193,352,132,84,101
"56914",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56915",1,2,4,2,2,8,2,0,0,1,10,1,2,6,3,2,0,5
"56916",172,147,220,199,287,187,179,120,113,186,402,176,96,121,164,70,119,77
"56917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"56918",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"56919",72,36,130,80,131,88,54,42,62,29,74,46,23,15,75,22,29,15
"56920",0,1,1,0,0,0,7,3,36,0,4,4,1,1,4,1,0,0
"56922",46,80,73,29,28,23,36,39,54,34,62,36,46,80,97,31,12,22
"56924",3,5,17,6,1,3,1,2,0,0,0,7,0,0,2,3,0,1
"56925",6,9,15,2,6,2,8,3,1,7,12,5,7,12,18,2,4,1
"56926",55,56,71,34,35,38,36,32,34,22,83,24,66,93,98,29,26,45
"56927",127,97,141,37,41,48,48,34,53,35,31,36,121,249,147,57,53,88
"56928",41,20,42,62,133,58,23,14,83,24,14,13,15,13,18,7,6,12
"56929",760,1037,567,470,343,374,305,258,200,312,294,299,1267,949,1282,897,624,1137
"56931",13,15,25,28,24,34,19,10,5,21,16,20,14,24,14,17,12,14
"56934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56935",21,32,11,4,6,0,3,6,24,3,0,3,47,59,47,6,33,38
"56936",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
"56937",685,445,535,1179,1154,1117,544,255,58,354,771,207,397,146,177,232,234,419
"56938",27,10,1,19,19,23,2,2,1,2,4,9,32,18,49,17,47,43
"56940",338,206,153,140,255,125,76,72,39,55,70,93,291,261,308,111,223,205
"56941",127,142,211,98,69,52,167,136,64,85,232,87,94,122,116,85,62,61
"56942",171,147,130,84,80,77,68,47,53,88,163,111,113,184,166,72,51,98
"56943",454,464,632,450,388,474,257,181,268,279,574,291,477,679,553,352,492,339
"56944",1,4,2,2,2,0,23,4,43,1,1,2,0,1,0,1,0,1
"56945",62,65,69,77,95,102,43,32,18,64,105,77,93,95,105,77,95,104
"56946",294,210,199,186,332,152,355,229,169,100,304,130,205,182,256,88,149,92
"56947",86,79,162,102,104,98,52,36,68,78,100,87,110,141,117,80,125,162
"56948",70,41,66,69,67,52,92,56,33,45,76,41,66,45,50,25,30,36
"56949",77,43,68,97,106,96,62,45,21,74,130,53,78,48,57,67,38,71
"56950",91,68,93,30,37,46,66,40,36,51,74,70,66,96,98,42,47,75
"56951",191,152,81,176,208,151,109,76,74,112,252,115,231,227,267,81,143,151
"56952",2,2,0,2,2,0,1,1,0,5,2,3,3,1,2,0,0,0
"56953",2,2,5,1,2,2,3,1,0,4,0,2,2,2,1,0,0,0
"56954",60,50,144,49,75,45,62,30,65,23,55,40,41,59,43,22,20,18
"56955",0,0,1,0,0,0,0,2,0,0,1,0,8,24,2,2,6,7
"56956",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"56957",4,22,16,8,11,6,18,13,15,10,25,17,3,11,15,3,0,1
"56961",2,3,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0
"56963",0,0,1,2,0,0,0,0,0,3,1,1,1,6,2,1,0,1
"56964",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"56965",179,189,255,218,161,192,144,98,142,144,249,148,257,298,246,209,203,230
"56967",1,2,1,4,3,1,26,25,5,3,9,1,0,0,0,1,0,0
"56969",0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0
"56970",185,145,147,141,97,81,113,109,79,62,77,47,167,205,182,78,84,97
"56971",1,3,0,0,0,0,1,4,0,0,0,1,7,3,9,3,0,2
"56975",20,15,1,27,8,1,0,4,2,18,0,12,72,56,123,208,131,171
"56977",3,3,0,6,0,1,1,0,0,5,0,1,21,0,1,6,7,11
"56978",59,25,15,58,40,29,63,21,16,34,18,24,145,76,73,91,211,105
"56979",0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2
"56980",108,120,87,42,99,49,121,86,55,56,96,53,174,62,144,38,74,60
"56981",91,70,73,88,105,61,92,72,40,17,40,23,48,31,61,28,19,18
"56983",99,75,144,66,130,73,129,78,44,81,139,49,53,64,115,18,31,30
"56984",55,61,80,68,66,64,31,22,40,59,73,50,64,84,102,59,73,57
"56985",45,21,34,38,50,39,36,34,48,54,131,40,12,14,14,17,24,32
"56986",10,11,30,22,48,37,16,10,2,24,57,27,6,17,23,4,8,23
"56987",1199,829,925,611,677,638,536,426,355,587,871,550,645,464,714,404,539,319
"56990",2105,1638,2494,2804,2867,2738,1810,980,824,2947,5610,2494,1500,1031,1450,1261,1107,898
"56992",16,7,29,9,25,10,9,7,3,7,6,12,8,8,19,2,11,5
"56993",165,179,249,126,158,168,125,147,157,95,194,115,135,203,247,127,107,160
"56994",165,89,435,280,247,303,17,10,16,28,29,21,74,77,89,34,39,55
"56995",610,460,716,320,490,420,586,356,346,257,660,246,445,339,439,217,318,249
"56996",76,87,69,18,25,21,36,45,17,18,28,19,92,108,156,68,49,72
"56997",128,116,200,113,143,110,218,122,67,103,278,121,123,124,152,159,80,116
"56998",15,32,21,3,8,6,5,8,6,8,12,8,51,65,60,14,26,53
"56999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57000",5,2,2,1,10,2,2,3,2,1,5,8,7,4,14,17,19,7
"57001",14,14,19,5,13,6,4,1,4,5,21,9,4,20,18,2,6,4
"57002",11,17,18,20,31,20,9,7,4,29,38,25,20,12,14,25,21,24
"57003",589,477,508,410,515,372,236,213,188,333,622,302,548,603,572,288,478,280
"57007",8,5,5,3,11,6,2,2,5,7,14,10,14,6,10,30,27,30
"57010",50,32,43,25,51,27,39,40,22,6,67,14,8,11,8,2,1,5
"57016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57017",14,23,21,27,38,17,18,10,1,25,51,23,18,30,40,17,19,12
"57018",3759,3258,3542,3348,1866,3323,4144,2788,2336,2038,2389,2186,4414,3482,5797,2728,2996,3886
"57019",34,26,29,60,69,35,19,8,10,40,79,27,38,40,56,53,47,42
"57020",118,138,128,51,54,59,76,92,130,30,98,59,129,226,275,60,95,86
"57026",17,2,33,3,13,6,8,5,2,2,5,4,2,13,8,7,0,3
"57030",0,0,1,0,0,0,0,0,2,1,2,1,0,1,1,0,0,0
"57035",855,875,1433,283,215,239,1143,1216,1158,206,488,208,738,886,518,279,352,237
"57037",44,61,43,25,15,20,52,27,26,32,24,30,51,36,78,40,25,28
"57038",84,66,113,154,187,168,127,68,91,118,273,83,84,63,112,111,105,111
"57045",74,67,68,50,38,32,42,44,29,31,32,58,98,59,67,62,47,55
"57047",0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0
"57048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57050",328,243,159,192,284,227,222,172,85,206,404,245,364,366,351,367,414,498
"57053",16,19,4,16,14,4,21,15,11,5,11,7,27,22,13,6,8,6
"57057",1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
"57060",7,0,5,3,2,2,5,5,4,5,1,3,3,2,2,2,0,0
"57061",26,10,14,7,19,2,3,1,2,7,1,1,8,2,23,17,22,9
"57062",811,654,790,908,825,1180,582,380,425,826,1259,871,418,418,444,437,342,424
"57082",122,85,77,126,161,81,88,42,20,63,45,49,42,51,43,26,35,30
"57084",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"57085",26,47,13,8,1,3,5,5,9,6,2,9,99,142,167,44,33,108
"57088",0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1
"57089",99,221,124,60,107,49,105,72,77,67,134,62,209,105,223,112,423,197
"57091",18,73,33,8,3,5,49,29,24,48,178,62,51,34,87,57,25,53
"57092",320,243,179,399,353,349,194,142,60,193,354,226,345,286,264,189,268,241
"57093",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57094",1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1
"57095",208,139,302,140,149,151,180,99,159,124,283,84,156,120,141,89,92,69
