"","Collection","Gene_set","Size","NES_B_Cell","PValue_B_Cell","FDR_B_Cell","NES_T_Cell","PValue_T_Cell","FDR_T_Cell","NES_Monocyte","PValue_Monocyte","FDR_Monocyte"
"KEGG_compound:C01185_NICOTINATE_D_RIBONUCLEOTIDE_BETA_NICOTINATE_D_RIBONUCLEOTIDE_NICOTINATE_RIBONUCLEOTIDE_NICOTINIC_ACID_RIBONUCLEOTIDE","KEGG_compound","C01185_NICOTINATE_D_RIBONUCLEOTIDE_BETA_NICOTINATE_D_RIBONUCLEOTIDE_NICOTINATE_RIBONUCLEOTIDE_NICOTINIC_ACID_RIBONUCLEOTIDE",19,-0.9903,0.46,0.64,0.8728,0.64,1,-1.8973,0,0.11
"C4_Cancer_gene_neighborhoods:C4_CGN_357_GNF2_HLA_C","C4_Cancer_gene_neighborhoods","C4_CGN_357_GNF2_HLA_C",47,-0.9903,0.48,0.73,1.1922,0.19,0.23,-1.0921,0.31,0.63
"C2_Chemical_and_genetic_perturbations:C2_CGP_2193_RIZKI_TUMOR_INVASIVENESS_2D_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_2193_RIZKI_TUMOR_INVASIVENESS_2D_DN",62,-0.9903,0.49,0.59,1.3436,0.07,0.35,-1.2119,0.14,0.51
"REACTOME:1127548_REACT_263908_DEPOLYMERISATION_OF_THE_NUCLEAR_LAMINA","REACTOME","1127548_REACT_263908_DEPOLYMERISATION_OF_THE_NUCLEAR_LAMINA",15,-0.9903,0.49,0.66,0.5634,0.99,1,-0.8323,0.7,1
"C2_Chemical_and_genetic_perturbations:C2_CGP_2256_SMID_BREAST_CANCER_RELAPSE_IN_BRAIN_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_2256_SMID_BREAST_CANCER_RELAPSE_IN_BRAIN_UP",38,-0.9901,0.49,0.59,1.2195,0.18,0.47,-1.3526,0.07,0.39
"GO_BP:518302_GO_0090162_ESTABLISHMENT_OF_EPITHELIAL_CELL_POLARITY","GO_BP","518302_GO_0090162_ESTABLISHMENT_OF_EPITHELIAL_CELL_POLARITY",16,-0.9899,0.48,0.64,1.1842,0.22,0.8,-0.9275,0.57,0.9
"GO_MF:489329_GO_0003828_ALPHA_N_ACETYLNEURAMINATE_ALPHA_2_8_SIALYLTRANSFERASE_ACTIVITY","GO_MF","489329_GO_0003828_ALPHA_N_ACETYLNEURAMINATE_ALPHA_2_8_SIALYLTRANSFERASE_ACTIVITY",5,-0.9899,0.48,0.67,0.7618,0.77,1,0.6952,0.83,1
"C1_Positional:C1_ALL_193_CHR3P21","C1_Positional","C1_ALL_193_CHR3P21",229,-0.9899,0.5,0.88,0.9299,0.7,0.83,-0.8359,0.92,0.99
"C4_Cancer_modules:C4_CM_311_MODULE_361","C4_Cancer_modules","C4_CM_311_MODULE_361",144,-0.9898,0.5,0.59,1.3245,0.049,0.25,-1.2998,0.038,0.3
"GO_BP:492034_GO_0007254_JNK_CASCADE","GO_BP","492034_GO_0007254_JNK_CASCADE",83,-0.9898,0.48,0.64,0.7157,0.97,1,-1.1245,0.25,0.75
"GO_BP:509060_GO_0046838_PHOSPHORYLATED_CARBOHYDRATE_DEPHOSPHORYLATION","GO_BP","509060_GO_0046838_PHOSPHORYLATED_CARBOHYDRATE_DEPHOSPHORYLATION",11,-0.9898,0.46,0.64,0.5721,0.97,1,0.6591,0.9,1
"GO_BP:508291_GO_0045991_CARBON_CATABOLITE_ACTIVATION_OF_TRANSCRIPTION","GO_BP","508291_GO_0045991_CARBON_CATABOLITE_ACTIVATION_OF_TRANSCRIPTION",5,-0.9898,0.51,0.64,-0.9241,0.56,1,0.628,0.89,1
"GO_CC:501143_GO_0031902_LATE_ENDOSOME_MEMBRANE","GO_CC","501143_GO_0031902_LATE_ENDOSOME_MEMBRANE",100,-0.9897,0.47,0.73,1.6482,0,0.087,0.8156,0.87,1
"GO_BP:501526_GO_0032291_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM","GO_BP","501526_GO_0032291_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM",15,-0.9895,0.47,0.64,-0.7652,0.79,1,-0.917,0.6,0.91
"REACTOME:187097_REACT_25359_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS","REACTOME","187097_REACT_25359_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS",76,-0.9894,0.48,0.66,1.1114,0.23,0.56,-1.4621,0.026,0.38
"REACTOME:1183573_REACT_355514_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR3","REACTOME","1183573_REACT_355514_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR3",44,-0.9894,0.48,0.66,-1.1685,0.2,0.85,-1.4149,0.034,0.4
"GO_CC:496487_GO_0016528_SARCOPLASM","GO_CC","496487_GO_0016528_SARCOPLASM",64,-0.9892,0.48,0.73,-1.3683,0.057,0.61,-0.9768,0.49,1
"GO_MF:490006_GO_0004683_CALMODULIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY","GO_MF","490006_GO_0004683_CALMODULIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY",30,-0.989,0.5,0.67,-1.0925,0.3,0.84,-0.9793,0.51,0.8
"GO_BP:488705_GO_0002832_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS","GO_BP","488705_GO_0002832_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS",27,-0.9889,0.48,0.64,1.1867,0.22,0.8,0.5805,0.99,1
"GO_BP:513562_GO_0060004_REFLEX","GO_BP","513562_GO_0060004_REFLEX",19,-0.9889,0.48,0.64,0.9448,0.54,1,-0.945,0.52,0.89
"C2_Chemical_and_genetic_perturbations:C2_CGP_1756_RODWELL_AGING_KIDNEY_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_1756_RODWELL_AGING_KIDNEY_DN",143,-0.9889,0.48,0.59,1.5706,0.0023,0.16,-1.1869,0.13,0.53
"GO_BP:491853_GO_0007023_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY","GO_BP","491853_GO_0007023_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY",5,-0.9889,0.5,0.64,-0.7603,0.75,1,-0.9469,0.56,0.89
"GO_BP:496219_GO_0016126_STEROL_BIOSYNTHETIC_PROCESS","GO_BP","496219_GO_0016126_STEROL_BIOSYNTHETIC_PROCESS",41,-0.9888,0.47,0.64,0.8613,0.7,1,0.7984,0.81,1
"C6_Oncogenic_signatures:C6_ALL_32_PIGF_UP_V1_UP","C6_Oncogenic_signatures","C6_ALL_32_PIGF_UP_V1_UP",189,-0.9887,0.5,0.54,1.0746,0.27,0.6,-0.8386,0.9,0.89
"GO_BP:489126_GO_0003334_KERATINOCYTE_DEVELOPMENT","GO_BP","489126_GO_0003334_KERATINOCYTE_DEVELOPMENT",9,-0.9887,0.48,0.64,-0.514,0.98,1,0.5176,0.98,1
"GO_BP:492419_GO_0030534_ADULT_BEHAVIOR","GO_BP","492419_GO_0030534_ADULT_BEHAVIOR",130,-0.9886,0.49,0.64,-1.3437,0.029,0.92,1.1945,0.11,0.72
"C4_Cancer_modules:C4_CM_389_MODULE_489","C4_Cancer_modules","C4_CM_389_MODULE_489",30,-0.9885,0.48,0.59,-1.1206,0.29,0.66,-1.3763,0.086,0.23
"GO_CC:1184380_GO_0098791_GOLGI_SUBCOMPARTMENT","GO_CC","1184380_GO_0098791_GOLGI_SUBCOMPARTMENT",273,-0.9885,0.52,0.73,1.0216,0.36,0.75,0.8911,0.82,1
"C2_Chemical_and_genetic_perturbations:C2_CGP_2289_MCGARVEY_SILENCED_BY_METHYLATION_IN_COLON_CANCER","C2_Chemical_and_genetic_perturbations","C2_CGP_2289_MCGARVEY_SILENCED_BY_METHYLATION_IN_COLON_CANCER",41,-0.9884,0.49,0.59,-1.1819,0.2,0.82,-0.9269,0.59,0.84
"GO_BP:516695_GO_0071772_RESPONSE_TO_BMP","GO_BP","516695_GO_0071772_RESPONSE_TO_BMP",20,-0.9884,0.47,0.64,-0.9509,0.53,1,1.6609,0.017,0.39
"C7_Immunologic_signatures:C7_ALL_1329_GSE30083_SP1_VS_SP4_THYMOCYTE_UP","C7_Immunologic_signatures","C7_ALL_1329_GSE30083_SP1_VS_SP4_THYMOCYTE_UP",196,-0.9884,0.51,0.6,0.7185,1,1,-1.1962,0.092,0.29
"GO_BP:496847_GO_0017015_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY","GO_BP","496847_GO_0017015_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY",101,-0.9883,0.5,0.64,1.0118,0.44,0.97,0.7693,0.93,1
"GO_BP:516746_GO_0071824_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION","GO_BP","516746_GO_0071824_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION",201,-0.9882,0.51,0.64,-1.1529,0.14,0.92,-1.4529,0.0064,0.54
"C7_Immunologic_signatures:C7_ALL_1105_GSE26928_NAIVE_VS_CXCR5_POS_CD4_TCELL_UP","C7_Immunologic_signatures","C7_ALL_1105_GSE26928_NAIVE_VS_CXCR5_POS_CD4_TCELL_UP",191,-0.9882,0.51,0.6,1.0247,0.39,0.66,-1.3665,0.02,0.084
"C7_Immunologic_signatures:C7_ALL_752_GSE17721_12H_VS_24H_CPG_BMDM_DN","C7_Immunologic_signatures","C7_ALL_752_GSE17721_12H_VS_24H_CPG_BMDM_DN",197,-0.9882,0.51,0.6,1.5974,0,0.0031,-1.289,0.036,0.15
"REACTOME:530753_REACT_115639_SULFUR_AMINO_ACID_METABOLISM","REACTOME","530753_REACT_115639_SULFUR_AMINO_ACID_METABOLISM",22,-0.9881,0.47,0.66,0.4288,1,1,-1.7341,0.002,0.19
"KEGG_compound:C16681_9_CIS_RETINAL","KEGG_compound","C16681_9_CIS_RETINAL",9,-0.988,0.48,0.64,0.9554,0.5,1,-0.8752,0.65,0.78
"GO_BP:504541_GO_0035357_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY","GO_BP","504541_GO_0035357_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY",6,-0.9878,0.51,0.65,0.95,0.51,1,0.9193,0.55,0.92
"C1_Positional:C1_ALL_23_CHRYP11","C1_Positional","C1_ALL_23_CHRYP11",6,-0.9877,0.49,0.88,-0.7527,0.77,0.97,1.0345,0.43,0.73
"C7_Immunologic_signatures:C7_ALL_297_GSE1448_ANTI_VALPHA2_VS_VBETA5_DP_THYMOCYTE_UP","C7_Immunologic_signatures","C7_ALL_297_GSE1448_ANTI_VALPHA2_VS_VBETA5_DP_THYMOCYTE_UP",198,-0.9877,0.52,0.6,1.351,0.0024,0.061,-0.9497,0.61,0.85
"GO_BP:496063_GO_0015942_FORMATE_METABOLIC_PROCESS","GO_BP","496063_GO_0015942_FORMATE_METABOLIC_PROCESS",6,-0.9877,0.49,0.65,0.7696,0.76,1,1.1118,0.36,0.75
"C1_Positional:C1_ALL_271_CHR20Q11","C1_Positional","C1_ALL_271_CHR20Q11",109,-0.9876,0.5,0.88,0.8561,0.82,0.9,0.7755,0.94,0.94
"REACTOME:771587_REACT_160214_SIGNALING_BY_NOTCH1_IN_CANCER","REACTOME","771587_REACT_160214_SIGNALING_BY_NOTCH1_IN_CANCER",57,-0.9876,0.49,0.67,-0.6809,0.97,1,-1.2937,0.1,0.54
"C3_TF_targets:C3_TFT_128_ATCMNTCCGY_UNKNOWN","C3_TF_targets","C3_TFT_128_ATCMNTCCGY_UNKNOWN",51,-0.9875,0.48,0.59,-0.7904,0.84,1,-1.0611,0.36,0.63
"KEGG_compound:C05703_METHANESELENOL_METHYLSELENOL","KEGG_compound","C05703_METHANESELENOL_METHYLSELENOL",6,-0.9875,0.52,0.64,0.7508,0.75,1,-1.4338,0.084,0.26
"C2_Chemical_and_genetic_perturbations:C2_CGP_917_WANG_RESPONSE_TO_PACLITAXEL_VIA_MAPK8_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_917_WANG_RESPONSE_TO_PACLITAXEL_VIA_MAPK8_UP",13,-0.9875,0.45,0.59,0.7819,0.77,1,1.0413,0.42,0.93
"GO_BP:509152_GO_0046958_NONASSOCIATIVE_LEARNING","GO_BP","509152_GO_0046958_NONASSOCIATIVE_LEARNING",5,-0.9873,0.5,0.65,1.0694,0.37,0.93,1.0712,0.39,0.78
"GO_BP:514127_GO_0060572_MORPHOGENESIS_OF_AN_EPITHELIAL_BUD","GO_BP","514127_GO_0060572_MORPHOGENESIS_OF_AN_EPITHELIAL_BUD",8,-0.9873,0.48,0.65,-0.9547,0.51,1,-0.7469,0.79,1
"C1_Positional:C1_ALL_175_CHR1P34","C1_Positional","C1_ALL_175_CHR1P34",162,-0.9873,0.52,0.87,-0.9628,0.54,1,-0.9625,0.56,0.95
"GO_CC:752726_GO_0097225_SPERM_MIDPIECE","GO_CC","752726_GO_0097225_SPERM_MIDPIECE",10,-0.9873,0.47,0.73,-1.2902,0.17,0.67,-0.9474,0.53,1
"C2_Chemical_and_genetic_perturbations:C2_CGP_1150_AMIT_SERUM_RESPONSE_480_MCF10A","C2_Chemical_and_genetic_perturbations","C2_CGP_1150_AMIT_SERUM_RESPONSE_480_MCF10A",37,-0.9871,0.48,0.59,1.4475,0.039,0.26,0.9398,0.56,1
"GO_BP:511888_GO_0050953_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS","GO_BP","511888_GO_0050953_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS",199,-0.987,0.48,0.65,-1.3504,0.014,0.93,1.0404,0.36,0.82
"C3_TF_targets:C3_TFT_337_CYTAGCAAY_UNKNOWN","C3_TF_targets","C3_TFT_337_CYTAGCAAY_UNKNOWN",147,-0.9869,0.49,0.59,-0.8584,0.8,1,-0.8994,0.7,0.92
"GO_MF:490059_GO_0004745_RETINOL_DEHYDROGENASE_ACTIVITY","GO_MF","490059_GO_0004745_RETINOL_DEHYDROGENASE_ACTIVITY",16,-0.9868,0.49,0.67,1.1587,0.25,0.74,1.0217,0.4,0.86
"GO_CC:982479_GO_1902911_PROTEIN_KINASE_COMPLEX","GO_CC","982479_GO_1902911_PROTEIN_KINASE_COMPLEX",87,-0.9867,0.48,0.73,0.8243,0.86,0.94,0.8272,0.83,1
"C2_Chemical_and_genetic_perturbations:C2_CGP_2202_MCCABE_BOUND_BY_HOXC6","C2_Chemical_and_genetic_perturbations","C2_CGP_2202_MCCABE_BOUND_BY_HOXC6",423,-0.9866,0.52,0.59,1.0421,0.31,0.73,-0.887,0.88,0.9
"C7_Immunologic_signatures:C7_ALL_1735_GSE39820_TGFBETA1_VS_TGFBETA3_IN_IL6_IL23A_TREATED_CD4_TCELL_UP","C7_Immunologic_signatures","C7_ALL_1735_GSE39820_TGFBETA1_VS_TGFBETA3_IN_IL6_IL23A_TREATED_CD4_TCELL_UP",197,-0.9864,0.51,0.6,1.0718,0.28,0.52,-1.0029,0.43,0.72
"GO_BP:503954_GO_0034755_IRON_ION_TRANSMEMBRANE_TRANSPORT","GO_BP","503954_GO_0034755_IRON_ION_TRANSMEMBRANE_TRANSPORT",5,-0.9864,0.49,0.65,0.9875,0.49,0.99,-1.0105,0.45,0.84
"REACTOME:106458_REACT_11046_NGF_INDEPENDANT_TRKA_ACTIVATION","REACTOME","106458_REACT_11046_NGF_INDEPENDANT_TRKA_ACTIVATION",5,-0.9863,0.51,0.67,-0.8969,0.57,1,0.9373,0.53,1
"GO_BP:494042_GO_0009953_DORSAL_VENTRAL_PATTERN_FORMATION","GO_BP","494042_GO_0009953_DORSAL_VENTRAL_PATTERN_FORMATION",94,-0.9863,0.5,0.65,-1.2613,0.085,0.91,1.3302,0.047,0.64
"C2_Chemical_and_genetic_perturbations:C2_CGP_738_AIYAR_COBRA1_TARGETS_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_738_AIYAR_COBRA1_TARGETS_UP",39,-0.9862,0.49,0.59,1.161,0.21,0.54,-0.7143,0.92,0.98
"KEGG_pathway:HSA05033_NICOTINE_ADDICTION","KEGG_pathway","HSA05033_NICOTINE_ADDICTION",38,-0.9862,0.49,0.54,1.1545,0.24,0.66,2.0052,0,0.0042
"GO_BP:519248_GO_2000609_REGULATION_OF_THYROID_HORMONE_GENERATION","GO_BP","519248_GO_2000609_REGULATION_OF_THYROID_HORMONE_GENERATION",5,-0.9862,0.51,0.65,-1.1675,0.3,0.91,0.7098,0.82,1
"C6_Oncogenic_signatures:C6_ALL_147_SIRNA_EIF4GI_DN","C6_Oncogenic_signatures","C6_ALL_147_SIRNA_EIF4GI_DN",96,-0.9861,0.5,0.54,1.2418,0.11,0.35,-1.0116,0.44,0.63
"KEGG_reaction:R01280_PALMITATE_COA_LIGASE_AMP_FORMING_ATP_HEXADECANOIC_ACID_COA_AMP_PALMITOYL_COA_DIPHOSPHATE","KEGG_reaction","R01280_PALMITATE_COA_LIGASE_AMP_FORMING_ATP_HEXADECANOIC_ACID_COA_AMP_PALMITOYL_COA_DIPHOSPHATE",7,-0.9861,0.48,0.64,0.5822,0.96,1,0.714,0.83,0.94
"GO_BP:508348_GO_0046051_UTP_METABOLIC_PROCESS","GO_BP","508348_GO_0046051_UTP_METABOLIC_PROCESS",12,-0.9859,0.48,0.65,-0.845,0.67,1,-1.2275,0.21,0.7
"C3_MicroRNA_targets:C3_MIR_86_GCTCTTG_MIR_335","C3_MicroRNA_targets","C3_MIR_86_GCTCTTG_MIR_335",86,-0.9859,0.48,0.63,0.8055,0.91,1,0.9019,0.68,1
"C2_Chemical_and_genetic_perturbations:C2_CGP_296_SABATES_COLORECTAL_ADENOMA_SIZE_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_296_SABATES_COLORECTAL_ADENOMA_SIZE_UP",23,-0.9859,0.49,0.59,-1.5195,0.047,0.44,-1.1172,0.31,0.61
"C2_Chemical_and_genetic_perturbations:C2_CGP_92_CHANDRAN_METASTASIS_TOP50_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_92_CHANDRAN_METASTASIS_TOP50_UP",38,-0.9858,0.49,0.59,0.8794,0.67,0.94,-1.2177,0.17,0.5
"WikiPathways:198854_WP136_PHASE_I_NON_P450","WikiPathways","198854_WP136_PHASE_I_NON_P450",6,-0.9858,0.49,0.6,1.7057,0.023,0.11,0.6835,0.83,1
"GO_MF:757162_GO_0044769_ATPASE_ACTIVITY_COUPLED_TO_TRANSMEMBRANE_MOVEMENT_OF_IONS_ROTATIONAL_MECHANISM","GO_MF","757162_GO_0044769_ATPASE_ACTIVITY_COUPLED_TO_TRANSMEMBRANE_MOVEMENT_OF_IONS_ROTATIONAL_MECHANISM",25,-0.9856,0.49,0.67,1.7998,0.0041,0.079,0.7928,0.81,1
"GO_MF:492537_GO_0008195_PHOSPHATIDATE_PHOSPHATASE_ACTIVITY","GO_MF","492537_GO_0008195_PHOSPHATIDATE_PHOSPHATASE_ACTIVITY",11,-0.9856,0.48,0.67,0.7997,0.72,1,1.2412,0.19,0.68
"GO_BP:516427_GO_0071503_RESPONSE_TO_HEPARIN","GO_BP","516427_GO_0071503_RESPONSE_TO_HEPARIN",6,-0.9855,0.48,0.65,-1.9435,0.002,0.33,1.1742,0.28,0.72
"GO_CC:490835_GO_0030667_SECRETORY_GRANULE_MEMBRANE","GO_CC","490835_GO_0030667_SECRETORY_GRANULE_MEMBRANE",71,-0.9854,0.49,0.73,1.3975,0.032,0.3,-1.0041,0.43,1
"KEGG_compound:C00407_L_ISOLEUCINE_2_AMINO_3_METHYLVALERIC_ACID","KEGG_compound","C00407_L_ISOLEUCINE_2_AMINO_3_METHYLVALERIC_ACID",5,-0.9853,0.5,0.64,0.7605,0.77,1,0.8321,0.68,0.89
"GO_BP:506943_GO_0043923_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION","GO_BP","506943_GO_0043923_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION",12,-0.9853,0.49,0.65,0.8911,0.58,1,-1.2317,0.21,0.7
"C4_Cancer_modules:C4_CM_178_MODULE_190","C4_Cancer_modules","C4_CM_178_MODULE_190",11,-0.9853,0.49,0.6,1.3393,0.14,0.24,1.3285,0.14,0.4
"C2_Chemical_and_genetic_perturbations:C2_CGP_129_LIU_TARGETS_OF_VMYB_VS_CMYB_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_129_LIU_TARGETS_OF_VMYB_VS_CMYB_UP",19,-0.9852,0.5,0.59,-0.9996,0.45,1,-1.6801,0.0097,0.2
"OMIM_gene:OMIM608160_SRY_BOX_9_SOX9","OMIM_gene","OMIM608160_SRY_BOX_9_SOX9",5,-0.9852,0.49,0.78,-1.488,0.063,1,-1.1307,0.34,1
"C2_Chemical_and_genetic_perturbations:C2_CGP_3365_LIM_MAMMARY_LUMINAL_MATURE_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_3365_LIM_MAMMARY_LUMINAL_MATURE_UP",115,-0.9851,0.5,0.59,-0.8313,0.84,1,0.8036,0.9,1
"GO_BP:499856_GO_0030517_NEGATIVE_REGULATION_OF_AXON_EXTENSION","GO_BP","499856_GO_0030517_NEGATIVE_REGULATION_OF_AXON_EXTENSION",23,-0.985,0.47,0.65,-1.0541,0.39,0.97,0.8998,0.6,0.94
"GO_BP:781979_GO_1901990_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","GO_BP","781979_GO_1901990_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION",214,-0.9848,0.52,0.65,1.4199,0.0023,0.53,-1.2325,0.065,0.7
"C2_Chemical_and_genetic_perturbations:C2_CGP_706_LUI_TARGETS_OF_PAX8_PPARG_FUSION","C2_Chemical_and_genetic_perturbations","C2_CGP_706_LUI_TARGETS_OF_PAX8_PPARG_FUSION",34,-0.9848,0.48,0.59,2.0994,0,0.0019,-1.3169,0.093,0.41
"GO_CC:500777_GO_0031526_BRUSH_BORDER_MEMBRANE","GO_CC","500777_GO_0031526_BRUSH_BORDER_MEMBRANE",45,-0.9848,0.51,0.73,-0.7321,0.91,1,1.2092,0.15,0.82
"GO_BP:515040_GO_0070102_INTERLEUKIN_6_MEDIATED_SIGNALING_PATHWAY","GO_BP","515040_GO_0070102_INTERLEUKIN_6_MEDIATED_SIGNALING_PATHWAY",8,-0.9847,0.47,0.65,0.5868,0.95,1,0.7732,0.73,1
"C4_Cancer_gene_neighborhoods:C4_CGN_274_GCM_VAV1","C4_Cancer_gene_neighborhoods","C4_CGN_274_GCM_VAV1",47,-0.9844,0.49,0.74,-0.6102,0.99,1,-0.8844,0.65,1
"GO_MF:490380_GO_0005114_TYPE_II_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_BINDING","GO_MF","490380_GO_0005114_TYPE_II_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_BINDING",7,-0.9844,0.5,0.67,-1.2597,0.21,0.84,-1.0089,0.44,0.78
"C2_Chemical_and_genetic_perturbations:C2_CGP_834_MANN_RESPONSE_TO_AMIFOSTINE_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_834_MANN_RESPONSE_TO_AMIFOSTINE_DN",10,-0.9844,0.45,0.59,1.9201,0.0039,0.016,0.7179,0.84,1
"GO_MF:492713_GO_0008417_FUCOSYLTRANSFERASE_ACTIVITY","GO_MF","492713_GO_0008417_FUCOSYLTRANSFERASE_ACTIVITY",14,-0.9844,0.5,0.67,0.6706,0.89,1,-1.0986,0.32,0.7
"C2_Chemical_and_genetic_perturbations:C2_CGP_3210_YUAN_ZNF143_PARTNERS","C2_Chemical_and_genetic_perturbations","C2_CGP_3210_YUAN_ZNF143_PARTNERS",21,-0.9843,0.47,0.59,0.5941,0.98,1,-0.9279,0.55,0.84
"GO_BP:751870_GO_0044728_DNA_METHYLATION_OR_DEMETHYLATION","GO_BP","751870_GO_0044728_DNA_METHYLATION_OR_DEMETHYLATION",87,-0.9843,0.5,0.65,-1.481,0.0072,0.84,-1.4443,0.016,0.55
"GO_BP:754152_GO_1901185_NEGATIVE_REGULATION_OF_ERBB_SIGNALING_PATHWAY","GO_BP","754152_GO_1901185_NEGATIVE_REGULATION_OF_ERBB_SIGNALING_PATHWAY",44,-0.9842,0.48,0.65,1.221,0.14,0.77,1.076,0.31,0.78
"GO_BP:494981_GO_0010917_NEGATIVE_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL","GO_BP","494981_GO_0010917_NEGATIVE_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL",5,-0.9842,0.52,0.65,0.8519,0.64,1,-1.1257,0.36,0.75
"C2_Chemical_and_genetic_perturbations:C2_CGP_1724_KRASNOSELSKAYA_ILF3_TARGETS_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_1724_KRASNOSELSKAYA_ILF3_TARGETS_UP",38,-0.9839,0.48,0.6,1.6464,0.009,0.11,-0.8135,0.8,0.94
"C2_Chemical_and_genetic_perturbations:C2_CGP_2626_ELLWOOD_MYC_TARGETS_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_2626_ELLWOOD_MYC_TARGETS_DN",40,-0.9839,0.49,0.6,1.627,0.016,0.12,-0.7427,0.89,0.98
"GO_BP:516654_GO_0071731_RESPONSE_TO_NITRIC_OXIDE","GO_BP","516654_GO_0071731_RESPONSE_TO_NITRIC_OXIDE",12,-0.9837,0.48,0.65,0.774,0.78,1,0.819,0.7,1
"GO_BP:518817_GO_2000169_REGULATION_OF_PEPTIDYL_CYSTEINE_S_NITROSYLATION","GO_BP","518817_GO_2000169_REGULATION_OF_PEPTIDYL_CYSTEINE_S_NITROSYLATION",5,-0.9837,0.51,0.65,0.74,0.8,1,-0.7937,0.73,0.99
"GO_BP:495284_GO_0014891_STRIATED_MUSCLE_ATROPHY","GO_BP","495284_GO_0014891_STRIATED_MUSCLE_ATROPHY",6,-0.9833,0.5,0.65,0.9227,0.56,1,0.7398,0.8,1
"C3_TF_targets:C3_TFT_453_V_E2F_Q6_01","C3_TF_targets","C3_TFT_453_V_E2F_Q6_01",239,-0.983,0.53,0.6,-0.7602,0.98,1,-1.3035,0.015,0.24
"GO_BP:490966_GO_0005978_GLYCOGEN_BIOSYNTHETIC_PROCESS","GO_BP","490966_GO_0005978_GLYCOGEN_BIOSYNTHETIC_PROCESS",27,-0.983,0.48,0.65,0.9135,0.58,1,-1.6696,0.014,0.55
"GO_BP:492369_GO_0007628_ADULT_WALKING_BEHAVIOR","GO_BP","492369_GO_0007628_ADULT_WALKING_BEHAVIOR",34,-0.9829,0.49,0.65,-1.2257,0.17,0.88,0.9813,0.48,0.87
"C2_BioCarta_Pathways:C2_CP_BIOCARTA_165_BIOCARTA_CARDIACEGF_PATHWAY","C2_BioCarta_Pathways","C2_CP_BIOCARTA_165_BIOCARTA_CARDIACEGF_PATHWAY",18,-0.9829,0.48,0.61,1.1651,0.24,0.69,0.9523,0.51,1
"GO_CC:490887_GO_0005881_CYTOPLASMIC_MICROTUBULE","GO_CC","490887_GO_0005881_CYTOPLASMIC_MICROTUBULE",54,-0.9827,0.5,0.73,0.569,1,1,-0.9622,0.51,1
"GO_BP:488982_GO_0003188_HEART_VALVE_FORMATION","GO_BP","488982_GO_0003188_HEART_VALVE_FORMATION",12,-0.9826,0.47,0.65,0.7231,0.84,1,1.0094,0.45,0.85
